parameter,value,se_sa,rse_sa
b1_pop,0.825929369547047,0.0297539556126838,3.60248184769133
Dq_pop,1.66762223630354,0.466983319006283,28.0029438826267
E0_pop,990.299936141473,260.181708209414,26.2730208004623
A0_pop,231.608160382029,137.021486302704,59.1609061082702
beta_pop,-0.369074621009392,0.0154915695392426,4.19740850695026
omega_b1,0.118867873260407,0.0282326497547583,23.7512870217745
omega_Dq,0.948138154622509,0.220142534915072,23.2184027023698
omega_E0,0.857151349101269,0.197711987242065,23.0661699884586
omega_A0,1.46525030713969,0.552923861951921,37.7357956697023
