rep,id,b1,Dq,E0,betat1
1,IDF,2.26748158699657,1.66029109092976,2389.91877986919,-0.270276882040107
2,IDF,2.25556819286086,1.68710906379074,2414.91303952102,-0.270276882040107
3,IDF,2.23142540226894,1.71921647079454,2705.83449720733,-0.270276882040107
4,IDF,2.27494337573829,1.62714174142702,2309.06376538855,-0.270276882040107
5,IDF,2.28442548739439,1.6689755036669,2253.34382305194,-0.270276882040107
6,IDF,2.23587279971239,1.58918254633939,2618.12315296816,-0.270276882040107
7,IDF,2.26091753563146,1.55106490383163,2409.28196389694,-0.270276882040107
8,IDF,2.28388519974545,1.68308811905545,2281.59877307677,-0.270276882040107
9,IDF,2.25865090788369,1.8079413576011,2479.62517280593,-0.270276882040107
10,IDF,2.24736276199277,1.73191108889289,2527.88698513786,-0.270276882040107
1,NAquitaine,2.47568044904391,0.445320630195749,355.625092696867,-0.270276882040107
2,NAquitaine,2.45563284611151,0.613386566529398,404.719015574018,-0.270276882040107
3,NAquitaine,2.590987416749,0.486769974261321,236.796238178163,-0.270276882040107
4,NAquitaine,2.45605813082662,0.520385083868426,371.761173476803,-0.270276882040107
5,NAquitaine,2.45846909610442,0.495591334218461,367.107282805419,-0.270276882040107
6,NAquitaine,2.39656867261744,0.521521561883133,500.41231017252,-0.270276882040107
7,NAquitaine,2.47398640181833,0.46044436404997,374.005187987227,-0.270276882040107
8,NAquitaine,2.44296831237853,0.568057027362592,456.2313905897,-0.270276882040107
9,NAquitaine,2.52789288042045,0.433330865614348,337.647811229086,-0.270276882040107
10,NAquitaine,2.41512068783276,0.358097026903575,449.147427111072,-0.270276882040107
1,AURA,1.97150238244298,1.06307753454421,707.35166714555,-0.270276882040107
2,AURA,1.98640348102444,0.802412072298704,580.260217507683,-0.270276882040107
3,AURA,2.01106894890199,1.00851967295815,424.470144784323,-0.270276882040107
4,AURA,1.99125996151058,0.893451958980812,486.657828673689,-0.270276882040107
5,AURA,1.9870924135259,0.805138328354831,550.802736853629,-0.270276882040107
6,AURA,1.98486832666974,0.974077146624494,568.61517399393,-0.270276882040107
7,AURA,1.97919261416284,0.905110093005305,705.960975196415,-0.270276882040107
8,AURA,1.97202741612398,0.944320888389439,718.172558432022,-0.270276882040107
9,AURA,1.98236113815664,1.05266831967275,680.739436414518,-0.270276882040107
10,AURA,1.95609241452723,0.890715553679688,679.334754798179,-0.270276882040107
1,Centre,2.30218762812923,4.6599379018759,629.912407913452,-0.270276882040107
2,Centre,2.42328947334571,5.44349014663867,360.05713876611,-0.270276882040107
3,Centre,2.44329004098977,4.41916890843762,419.491278379878,-0.270276882040107
4,Centre,2.52439983216214,5.87657388028537,361.238739758674,-0.270276882040107
5,Centre,2.48139328007328,4.87893154810402,307.074452708876,-0.270276882040107
6,Centre,2.44201267332498,4.23304971521075,405.281933345382,-0.270276882040107
7,Centre,2.38437428872308,4.77871070013828,382.569766618914,-0.270276882040107
8,Centre,2.32880171115917,4.83373930849998,504.777542835518,-0.270276882040107
9,Centre,2.4972103721892,3.85086197213609,140.683526268762,-0.270276882040107
10,Centre,2.52479029820264,5.56809857426473,253.977989793423,-0.270276882040107
1,BFC,1.85881994142372,0.814702740872618,919.608745494823,-0.270276882040107
2,BFC,1.86739268230961,0.939643203817254,945.366447407219,-0.270276882040107
3,BFC,1.86298711603553,0.770931096205972,899.26235987571,-0.270276882040107
4,BFC,1.90280535114759,0.799943900350279,848.116294941272,-0.270276882040107
5,BFC,1.84312172687752,1.03519178654492,937.017353761668,-0.270276882040107
6,BFC,1.85048182209464,0.900554995266233,975.442671974594,-0.270276882040107
7,BFC,1.89694976313905,0.463253988821843,832.843803668273,-0.270276882040107
8,BFC,1.90907980370872,0.770133937021854,871.602623483437,-0.270276882040107
9,BFC,1.92772266907877,0.728173465509855,806.469789001989,-0.270276882040107
10,BFC,1.90120466946581,0.836527417405292,875.882035132875,-0.270276882040107
1,Normandie,1.84566223164112,4.42246714518728,2597.14692906735,-0.270276882040107
2,Normandie,1.96689558609448,3.59837146608847,1743.04105523662,-0.270276882040107
3,Normandie,1.90622830990521,3.57780898505344,2210.58648806218,-0.270276882040107
4,Normandie,1.89025092029462,4.83393798297234,2218.13252142061,-0.270276882040107
5,Normandie,1.89178894780358,4.63386713609185,2250.48652127209,-0.270276882040107
6,Normandie,1.88947812793406,3.89069243237113,2152.30313258885,-0.270276882040107
7,Normandie,1.91182272712578,4.42998430119674,2037.46993847778,-0.270276882040107
8,Normandie,1.85922384012749,3.8336723273762,2164.06075670884,-0.270276882040107
9,Normandie,1.79086157306848,4.59623776939702,2944.96504762658,-0.270276882040107
10,Normandie,1.88187796744462,4.62046492621037,2263.33677785202,-0.270276882040107
1,HDF,1.7256915741335,2.66494861922497,1642.44781431071,-0.270276882040107
2,HDF,1.77367554844985,2.96242706744995,1371.41400654855,-0.270276882040107
3,HDF,1.77543936910162,2.61400432872837,1207.4021548142,-0.270276882040107
4,HDF,1.7959250273416,2.31459801314632,937.273858160385,-0.270276882040107
5,HDF,1.76786693602186,2.69161232209116,1506.95012072022,-0.270276882040107
6,HDF,1.76716496691503,2.58517919605387,1251.68301402802,-0.270276882040107
7,HDF,1.81572202347801,2.77784459174552,909.121992423655,-0.270276882040107
8,HDF,1.79003268516569,2.68529388670321,1176.14676361422,-0.270276882040107
9,HDF,1.77009885939171,2.37101760796883,1420.14774867773,-0.270276882040107
10,HDF,1.74253255286002,2.49452405891148,1722.49512219041,-0.270276882040107
1,GrandEst,2.06848981575869,2.14039548153035,2896.95038347315,-0.270276882040107
2,GrandEst,2.051850972199,2.08070702658441,2963.28332498477,-0.270276882040107
3,GrandEst,2.09019196751337,2.13313951436941,2707.14524689271,-0.270276882040107
4,GrandEst,2.08968953862005,2.09883647115213,2743.07362240937,-0.270276882040107
5,GrandEst,2.05280570458317,2.14637197089359,2977.49936892288,-0.270276882040107
6,GrandEst,2.09275103265885,2.03465068378054,2767.55554761956,-0.270276882040107
7,GrandEst,2.05476545004663,2.29898009966446,2964.23866070416,-0.270276882040107
8,GrandEst,2.09363980102629,2.11833700205223,2734.03398033997,-0.270276882040107
9,GrandEst,2.08065042381693,2.30108035979836,2847.13826787416,-0.270276882040107
10,GrandEst,2.0858303755226,2.16644099047201,2760.35546730619,-0.270276882040107
1,PaysLoire,1.96024186053525,0.0373702024782642,1351.7962286258,-0.270276882040107
2,PaysLoire,1.98576364236442,0.0448973689094253,1190.33642307218,-0.270276882040107
3,PaysLoire,1.97168473450504,0.103903261069351,1266.97949676364,-0.270276882040107
4,PaysLoire,1.99950086319632,0.0437422588864399,1073.3930893302,-0.270276882040107
5,PaysLoire,2.17290434932451,0.020854326431281,503.148951594858,-0.270276882040107
6,PaysLoire,2.02272096072337,0.0371283528855582,1047.17310757811,-0.270276882040107
7,PaysLoire,2.08616407949689,0.02343767787692,917.916695409847,-0.270276882040107
8,PaysLoire,2.03868835482976,0.0521877048092113,1045.49872663288,-0.270276882040107
9,PaysLoire,2.09056891044327,0.0210118328422836,848.228015603039,-0.270276882040107
10,PaysLoire,2.18377244940103,0.0366326837100435,402.975835842127,-0.270276882040107
1,Bretagne,1.69976287824151,1.42116622485965,798.557365399993,-0.270276882040107
2,Bretagne,1.76213751469813,1.8511146731274,652.597835436493,-0.270276882040107
3,Bretagne,1.67699443605661,2.16446019290043,931.707293334081,-0.270276882040107
4,Bretagne,1.65147653012315,1.72267916985431,1274.62126996776,-0.270276882040107
5,Bretagne,1.73387257435213,2.15056332618708,747.453376494249,-0.270276882040107
6,Bretagne,1.75580959241092,2.58297586194956,790.903285503509,-0.270276882040107
