id	nameid	date	obs	popsize	epidemicsStart	day	lockdown	timeSinceConf	timeSinceDeConf	rsent	initH	initIref	timelock	obs_id
REG-11	IDF	2020-04-09	930	12278210	2020-03-02	38	1	24	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-10	891	12278210	2020-03-02	39	1	25	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-11	646	12278210	2020-03-02	40	1	26	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-12	478	12278210	2020-03-02	41	1	27	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-13	473	12278210	2020-03-02	42	1	28	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-14	658	12278210	2020-03-02	43	1	29	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-15	579	12278210	2020-03-02	44	1	30	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-16	654	12278210	2020-03-02	45	1	31	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-17	611	12278210	2020-03-02	46	1	32	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-18	343	12278210	2020-03-02	47	1	33	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-19	262	12278210	2020-03-02	48	1	34	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-20	430	12278210	2020-03-02	49	1	35	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-21	470	12278210	2020-03-02	50	1	36	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-22	361	12278210	2020-03-02	51	1	37	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-23	409	12278210	2020-03-02	52	1	38	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-24	375	12278210	2020-03-02	53	1	39	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-25	182	12278210	2020-03-02	54	1	40	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-26	144	12278210	2020-03-02	55	1	41	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-27	299	12278210	2020-03-02	56	1	42	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-28	282	12278210	2020-03-02	57	1	43	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-29	258	12278210	2020-03-02	58	1	44	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-30	243	12278210	2020-03-02	59	1	45	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-01	141	12278210	2020-03-02	60	1	46	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-02	134	12278210	2020-03-02	61	1	47	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-03	102	12278210	2020-03-02	62	1	48	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-04	197	12278210	2020-03-02	63	1	49	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-05	216	12278210	2020-03-02	64	1	50	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-06	190	12278210	2020-03-02	65	1	51	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-07	158	12278210	2020-03-02	66	1	52	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-08	96	12278210	2020-03-02	67	1	53	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-09	105	12278210	2020-03-02	68	1	54	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-10	73	12278210	2020-03-02	69	1	55	0	0.043101077	5	29	15	2
REG-11	IDF	2020-05-11	120	12278210	2020-03-02	70	0	56	1	0.043101077	5	29	15	2
REG-24	Centre	2020-03-05	2	2559073	2020-03-05	0	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-06	9	2559073	2020-03-05	1	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-07	5	2559073	2020-03-05	2	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-08	0	2559073	2020-03-05	3	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-09	0	2559073	2020-03-05	4	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-10	2	2559073	2020-03-05	5	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-11	2	2559073	2020-03-05	6	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-12	10	2559073	2020-03-05	7	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-13	3	2559073	2020-03-05	8	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-14	21	2559073	2020-03-05	9	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-15	17	2559073	2020-03-05	10	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-16	19	2559073	2020-03-05	11	0	0	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-17	13	2559073	2020-03-05	12	1	1	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-18	25	2559073	2020-03-05	13	1	2	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-19	29	2559073	2020-03-05	14	1	3	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-20	62	2559073	2020-03-05	15	1	4	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-21	35	2559073	2020-03-05	16	1	5	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-22	37	2559073	2020-03-05	17	1	6	0	0.028274001	6	4	12	1
