b_pop,0.0060159,-0.0068659,-1.3555,-2.6977,-0.15229,0.0014494,-0.00014406,0.00065253,0.00061748,-0.0018771
Dq_pop,-0.0068659,1.5069,4.7135,9.4039,0.40017,-0.0018961,-0.053588,-0.0020569,-0.002566,0.0056337
E0_pop,-1.3555,4.7135,39699,-1952.6,84.233,-1.5284,-0.15624,-6.15,0.80649,0.0034347
A0_pop,-2.6977,9.4039,-1952.6,81017,127.62,1.6935,-0.24222,-1.3723,-8.524,4.4859
Di_pop,-0.15229,0.40017,84.233,127.62,27.339,-0.005116,0.070123,-0.015614,-0.014293,0.21861
omega_b,0.0014494,-0.0018961,-1.5284,1.6935,-0.005116,0.0082794,0.00058935,0.0015186,-0.0007008,0.0060646
omega_Dq,-0.00014406,-0.053588,-0.15624,-0.24222,0.070123,0.00058935,0.13296,0.00050185,-0.0001293,0.0057235
omega_E0,0.00065253,-0.0020569,-6.15,-1.3723,-0.015614,0.0015186,0.00050185,0.057074,7.7419e-5,0.0023271
omega_A0,0.00061748,-0.002566,0.80649,-8.524,-0.014293,-0.0007008,-0.0001293,7.7419e-5,0.027897,-0.0009233
omega_Di,-0.0018771,0.0056337,0.0034347,4.4859,0.21861,0.0060646,0.0057235,0.0023271,-0.0009233,0.060941
