rep,id,b1,Dq,E0,A0,beta,eta_b1,eta_Dq,eta_E0,eta_A0,eta_beta
1,1,-0.166497190560932,0.902861102293586,7.31853274624881,7.53860651483169,-0.377504212487225,0.0200977279649855,0.381095972777472,0.405293573291055,2.19624807526491,0
2,1,-0.162904876389404,0.796282414019143,7.60176153865877,7.4017622946781,-0.377504212487225,0.0236900421365133,0.274517284503029,0.688522365701012,2.05940385511132,0
3,1,-0.17551683397861,0.861027334813347,7.23762321605011,7.65255143606675,-0.377504212487225,0.0110780845473076,0.339262205297233,0.324384043092354,2.31019299649998,0
4,1,-0.173045656848541,0.858399423685473,7.6564294905433,7.42183329947114,-0.377504212487225,0.0135492616773762,0.33663429416936,0.743190317585539,2.07947485990436,0
5,1,-0.16684154839119,0.863415262965598,7.49489630732876,7.50989044085277,-0.377504212487225,0.0197533701347277,0.341650133449484,0.581657134371007,2.16753200128599,0
1,2,-0.0482002909613486,0.13627773919006,5.86230879166261,5.60849668815394,-0.377504212487225,0.138394627564569,-0.385487390326054,-1.05093038129515,0.266138248587157,0
2,2,-0.0347159544484631,-0.060735101763255,6.3991606099904,4.97672113830741,-0.377504212487225,0.151878964077454,-0.582500231279369,-0.514078562967358,-0.365637301259371,0
3,2,-0.0615725540950886,-0.0312813114818996,6.05076280931964,5.63009896097062,-0.377504212487225,0.125022364430829,-0.553046440998013,-0.862476363638122,0.28774052140384,0
4,2,-0.0230959759592487,-0.228299666262603,6.63590083447152,4.07193945427149,-0.377504212487225,0.163498942566669,-0.750064795778717,-0.277338338486237,-1.27041898529529,0
5,2,-0.0332378208056624,-0.0658014831696188,6.20998211028988,5.21449566260908,-0.377504212487225,0.153357097720255,-0.587566612685732,-0.703257062667881,-0.127862776957695,0
1,3,-0.217205901838318,0.588552772696377,6.96156482913568,5.60507780801285,-0.377504212487225,-0.0306109833124006,0.0667876431802634,0.0483256561779237,0.262719368446072,0
2,3,-0.210476426982157,0.493591544922644,7.08790697294174,5.31881318663315,-0.377504212487225,-0.0238815084562392,-0.0281735845934696,0.174667799983985,-0.0235452529336291,0
3,3,-0.210683782605372,0.662971373923188,6.82425872464926,5.89694669228236,-0.377504212487225,-0.0240888640794545,0.141206244407075,-0.0889804483085026,0.554588252715583,0
