rep,id,initE,b1,betaw1,betaw2,betaw3,betaw4,Dq
1,IDF,4940.59996928503,2.23261299972755,-0.0995625494240144,-0.511181443662027,-1.37782074696022,-1.4508544537132,0.362045776198671
2,IDF,5012.28938985455,2.23261299972755,-0.118537956550074,-0.494346064211577,-1.3773120058803,-1.46109637865275,0.362045776198671
3,IDF,4954.94802390187,2.23261299972755,-0.100727204658081,-0.521599854257019,-1.34145681317478,-1.46416853495161,0.362045776198671
4,IDF,4981.12633433408,2.23261299972755,-0.129759324377128,-0.463811278626297,-1.40343853173132,-1.45820998743613,0.362045776198671
5,IDF,5071.85148143169,2.23261299972755,-0.117910745046525,-0.507603282259827,-1.3758970856502,-1.45880298628736,0.362045776198671
6,IDF,5101.69488449497,2.23261299972755,-0.120085308205644,-0.496111171874912,-1.35888485412395,-1.47104032349104,0.362045776198671
7,IDF,5180.0677247818,2.23261299972755,-0.128486712330165,-0.513443021076363,-1.31835562673119,-1.48652148685689,0.362045776198671
8,IDF,5017.21072266859,2.23261299972755,-0.111969391720472,-0.50387660278869,-1.37457109070861,-1.46972921819748,0.362045776198671
9,IDF,4789.41026624299,2.23261299972755,-0.0949741299911189,-0.48353760647732,-1.41002935835321,-1.46382530821792,0.362045776198671
10,IDF,5031.83694094103,2.23261299972755,-0.125591018470965,-0.496534703239834,-1.36543477860786,-1.46319860458693,0.362045776198671
1,Centre,359.749422636064,2.23261299972755,-0.0567329640664741,-0.283664950324267,-1.30978308203671,-1.38910181278886,0.362045776198671
2,Centre,292.113161526616,2.23261299972755,0.119533307768218,-0.466202473015552,-1.13914700093288,-1.41218060796922,0.362045776198671
3,Centre,285.283418240986,2.23261299972755,0.169582827775829,-0.470626417513352,-1.25172827375252,-1.39630927355417,0.362045776198671
4,Centre,341.570436676859,2.23261299972755,-0.00954722080269232,-0.38653367054433,-1.23304523736312,-1.38798776238001,0.362045776198671
5,Centre,271.086685823139,2.23261299972755,0.0884005975938347,-0.356395818577325,-1.31316885899142,-1.38601694312918,0.362045776198671
