b_pop,1,-0.0065857,-0.00070767,-0.035651,-0.075452,0.0064992,-0.0047389,0.041143
Dq_pop,-0.0065857,1,0.0039477,0.0010823,0.0023801,-0.14474,0.006481,0.0025329
E0_pop,-0.00070767,0.0039477,1,-0.046509,-0.0010373,-0.0055446,-0.22952,0.010573
A0_pop,-0.035651,0.0010823,-0.046509,1,0.04792,0.0081076,-0.015122,-0.31903
omega_b,-0.075452,0.0023801,-0.0010373,0.04792,1,-0.0068431,-0.00123,-0.057143
omega_Dq,0.0064992,-0.14474,-0.0055446,0.0081076,-0.0068431,1,-0.01117,-0.01282
omega_E0,-0.0047389,0.006481,-0.22952,-0.015122,-0.00123,-0.01117,1,0.017885
omega_A0,0.041143,0.0025329,0.010573,-0.31903,-0.057143,-0.01282,0.017885,1
