rep,id,b1,Dq,E0,A0,betat1,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,1,-0.154180649522266,0.53814775768755,7.45937800719102,7.37046584338492,-0.313486509802831,0.0595387733057132,0.436094719726208,0.343009722277696,2.12807258600186,0
2,1,-0.152361378404127,0.403509492989831,7.36214462707674,7.39876027231265,-0.313486509802831,0.0613580444238515,0.30145645502849,0.245776342163412,2.15636701492959,0
3,1,-0.155424337056514,0.587591864271104,7.52795181504663,7.37465441589125,-0.313486509802831,0.0582950857714644,0.485538826309762,0.411583530133306,2.13226115850819,0
4,1,-0.153489418096724,0.553903902702943,7.42569107885034,7.40253611215681,-0.313486509802831,0.0602300047312547,0.451850864741602,0.309322793937016,2.16014285477375,0
5,1,-0.154375319907707,0.534605044559715,7.59693171603802,7.31874784946053,-0.313486509802831,0.0593441029202716,0.432552006598374,0.480563431124694,2.07635459207747,0
1,2,-0.0556003713486752,-0.898748490681438,6.56802511207955,3.60240413184237,-0.313486509802831,0.158119051479304,-1.00080152864278,-0.548343172833777,-1.63998912554069,0
2,2,-0.080314028474737,-0.923757270529775,6.54692406467154,4.3073977363756,-0.313486509802831,0.133405394353242,-1.02581030849112,-0.569444220241788,-0.934995521007456,0
3,2,-0.0840556212724398,-0.333955841188485,6.6526247613271,4.58585856756606,-0.313486509802831,0.129663801555539,-0.436008879149827,-0.46374352358622,-0.656534689816996,0
4,2,-0.0714862382063531,-0.765176171243688,6.41744446008028,4.66230370191703,-0.313486509802831,0.142233184621626,-0.86722920920503,-0.698923824833041,-0.580089555466032,0
5,2,-0.0963245709709902,-0.437726102791484,6.52952460651816,4.81703688920742,-0.313486509802831,0.117394851856989,-0.539779140752826,-0.586843678395168,-0.425356368175644,0
1,3,-0.195082557031969,-0.254373381793993,7.55876153787403,4.8224647122001,-0.313486509802831,0.0186368657960094,-0.356426419755335,0.442393252960705,-0.419928545182958,0
2,3,-0.205341959967849,-0.312807508872068,7.63259252336737,4.66508429409026,-0.313486509802831,0.00837746286012986,-0.414860546833409,0.516224238454049,-0.577308963292801,0
