id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,beta_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,beta_mean,b1_mode,Dq_mode,E0_mode,A0_mode,beta_mode,b1_sd,Dq_sd,E0_sd,A0_sd,beta_sd
IDF,0.838135,2.36374,1752.17,1915.31,-0.368178,0.836956,2.37002,1715.4,1951.45,-0.369075,0.836993,2.37282,1702.28,1955.77,-0.369075,0.0068544,0.106305,276.803,162.212,0
NAquitaine,0.949877,0.907713,538.995,191.581,-0.368178,0.94702,0.946895,618.826,162.277,-0.369075,0.941114,0.950875,544.21,203.766,-0.369075,0.0294907,0.179603,170.097,95.9066,0
AURA,0.791503,1.83949,804.215,501.333,-0.368178,0.790219,1.831,687.586,568.685,-0.369075,0.792058,1.82877,631.431,584.565,-0.369075,0.0140344,0.174139,235.425,151.958,0
Centre,1.07442,4.86612,444.422,30.3038,-0.368178,1.07393,4.87868,439.288,32.1572,-0.369075,1.07799,4.80726,443.957,25.3102,-0.369075,0.0380138,0.846913,80.0438,21.0979,0
BFC,0.733494,1.02241,470.596,395.531,-0.368178,0.734706,1.02647,481.579,386.07,-0.369075,0.733104,1.01825,448.279,405.886,-0.369075,0.0156352,0.134773,147.374,104.648,0
Normandie,0.908776,5.13719,3777.84,173.813,-0.368178,0.900313,5.22635,3796.82,206.822,-0.369075,0.912806,5.06075,3796.35,136.235,-0.369075,0.0351635,0.800321,474.436,243.623,0
HDF,0.780561,3.58322,3460.25,88.8669,-0.368178,0.782559,3.54121,3461.85,70.4863,-0.369075,0.780082,3.55595,3518.46,60.9272,-0.369075,0.0148168,0.311427,284.654,60.9754,0
GrandEst,0.797114,2.92819,740.211,1682.84,-0.368178,0.801283,2.89676,726.365,1645.09,-0.369075,0.800483,2.8932,707.786,1660.96,-0.369075,0.00995054,0.149414,186.16,131.366,0
PaysLoire,0.720892,0.242912,2464.67,371.457,-0.368178,0.720826,0.238742,2606.87,288.633,-0.369075,0.721113,0.256146,2573.45,303.485,-0.369075,0.026546,0.10105,525.677,278.466,0
Bretagne,0.708826,4.04897,1553.15,98.5829,-0.368178,0.723828,3.90301,1439.61,92.0079,-0.369075,0.717429,3.95451,1491.09,84.7929,-0.369075,0.0261528,0.601876,236.667,82.361,0
Occitanie,0.83249,0.660958,560.405,348.418,-0.368178,0.836178,0.659237,552.355,342.995,-0.369075,0.832345,0.672374,538.592,358.179,-0.369075,0.0215097,0.144592,165.191,108.451,0
PACA,0.848207,0.854252,440.942,431.15,-0.368178,0.848589,0.859807,399.224,450.401,-0.369075,0.844489,0.865719,296.964,510.549,-0.369075,0.0179261,0.112617,206.504,120.143,0
