parameter,value,se_sa,rse_sa
b1_pop,0.74131198498668,0.039968544688448,5.39159564365685
Dq_pop,1.08653288569992,0.383281997572529,35.2756923068764
E0_pop,1189.4794599767,307.838631503953,25.880113264838
A0_pop,359.682295099692,149.825881825595,41.6550616660373
betat1_pop,-0.138283938313059,0.0839593982274425,60.7152206190195
omega_b1,0.178170637734609,0.040683475778321,22.8339957108536
omega_Dq,1.19296077813295,0.307269257263114,25.7568616584367
omega_E0,0.829630810154241,0.215751088097912,26.0056745069293
omega_A0,0.686403899835878,0.377749630520249,55.033141654727
omega_betat1,0.277423956763001,0.0590367598088627,21.2803394839102
