rep,id,b1,Dq,E0,A0,betat1
1,IDF,1.01281382680195,1.66029463680206,2601.49827333462,197.907865643086,-0.66080717256724
2,IDF,1.02032373249566,1.81233959269487,2231.08033218013,342.214087814318,-0.678997106246641
3,IDF,0.998820568079144,1.87575135746249,2116.21866504208,555.628040479128,-0.680151140362486
4,IDF,1.01592978527663,1.67375734884789,2614.36133540579,233.975300860585,-0.715138105126297
5,IDF,1.02539814866439,1.74982087380391,2049.67481571205,427.202213602935,-0.711793484884349
6,IDF,0.986118631638871,1.89044156229566,3137.25840943922,140.135277829695,-0.651850147322416
7,IDF,1.04165842454878,1.80193758662454,2237.18859177137,267.872232266088,-0.750664437942652
8,IDF,1.00530493020844,1.66992922872141,2126.24856791169,470.254954342642,-0.661309320955367
9,IDF,1.03190199524814,1.79973502634243,2398.74624625142,227.465940428804,-0.720152580108708
10,IDF,0.997402200340363,1.69246298294196,2150.37099106256,499.025374403537,-0.643549936005805
1,NAquitaine,0.902218214385155,0.29156119253106,603.724734660662,157.584328284593,-0.221369137384593
2,NAquitaine,0.904235715581482,0.406240009233018,269.582567279115,295.107503540851,-0.259520569514386
3,NAquitaine,0.90941828733184,0.743794935056129,218.376513304505,331.035572695785,-0.226717856851924
4,NAquitaine,0.879141286257726,0.490952264088627,481.238890308132,219.333483479124,-0.151289956895033
5,NAquitaine,0.88603368269634,0.402621745893659,584.603963761433,153.537776798797,-0.195464421322413
6,NAquitaine,0.856731498085285,0.693299628059899,512.931437850843,308.680010329783,-0.252925869026292
7,NAquitaine,0.883454038091988,0.447875624971865,208.524016555946,358.772148033741,-0.248211595361409
8,NAquitaine,0.904462284318495,0.575404109744028,109.632735029481,388.236408010585,-0.22216623918206
9,NAquitaine,0.929457011161018,0.546163379406232,446.430070882597,181.986940190676,-0.262960881287853
10,NAquitaine,0.965257392673681,0.487678673192591,392.566290649368,146.411700889885,-0.269692886232737
1,AURA,0.789040093641192,0.84464483107716,2048.323843781,168.862139233892,-0.213225218570886
2,AURA,0.781922362947599,0.769868061892885,1829.95301808771,300.671288128899,-0.195289304476354
3,AURA,0.75173993216034,0.8070462579959,1924.99101268528,424.520288995432,-0.155908789469825
4,AURA,0.790058529173473,0.646271703604403,1960.87684511986,158.437820359399,-0.183018193691575
5,AURA,0.800804250885513,0.764819214156199,1631.29712136009,358.38521781342,-0.268771670482373
6,AURA,0.790795993407924,0.74870064661889,2089.13959607214,148.962876432922,-0.247846966619581
7,AURA,0.799424386421285,0.652981695823858,1939.45840369631,152.908746685069,-0.247143863772475
8,AURA,0.766236836388998,0.812566165813464,2484.47035224355,131.524183115811,-0.212012774252346
9,AURA,0.797583193112098,0.839909605131822,2105.99535597235,90.2082062872168,-0.234317770642715
10,AURA,0.807772975649329,0.72457232842802,1800.23959573027,174.726296145416,-0.237525664111834
1,Centre,0.880787296424938,4.29693074832732,668.515542650935,456.666454937563,-0.035598327580812
2,Centre,0.851118303533211,3.42037470805008,500.440267263269,592.830093283111,-0.0114396195417921
3,Centre,0.875533670733458,2.84676255120345,967.193902745922,219.461969351932,0.00950447210173094
4,Centre,0.88315234480264,4.67751728560402,334.254934529126,740.97961548198,-0.116944589478801
5,Centre,0.90945109746573,4.71930886001243,647.221672720943,423.864481854273,-0.0377927931521209
6,Centre,0.993496272626207,4.49977977345606,413.303137333912,453.110189881067,-0.17059099979126
7,Centre,0.877725730952723,4.86928740628646,800.603132424235,465.376057725879,-0.0666677136823991
8,Centre,0.866527540293036,4.61736433370876,1132.39864924221,395.963101848568,-0.0805436248249105
9,Centre,0.910875995586246,4.07942356149392,233.412760347476,696.91643178699,-0.132404794737233
10,Centre,0.917356002220795,4.69758858667591,504.999638935864,586.976932680827,-0.127720906206851
1,BFC,0.628659372554684,0.781052081555388,343.64949251051,914.342686102429,-0.104563671226428
2,BFC,0.642719811660825,0.846905401763974,598.296129058572,716.356168212018,-0.175500715353451
3,BFC,0.675708209102834,0.568731235396763,444.573708438726,560.862299946298,-0.146072929497966
4,BFC,0.657048630844386,0.790471406594138,497.890026167459,671.25268265053,-0.200948746618066
5,BFC,0.668158441357971,0.692032461524903,307.765255001517,699.969705669997,-0.120612509563014
6,BFC,0.647645461895327,0.806180580584548,302.309013816381,853.704917807222,-0.185041956860727
7,BFC,0.681472384271189,0.67640880748029,841.634294261982,374.108495046787,-0.233064592981152
8,BFC,0.67128881545152,0.880895329356474,623.84401715286,564.260299510416,-0.234582137275185
9,BFC,0.645519006558873,0.838899581198517,388.59452397904,830.018993751463,-0.204894515433878
10,BFC,0.629088613455441,0.617167840195532,432.959803165519,847.550884735822,-0.109282082199232
1,Normandie,0.656692687158934,3.70088069777273,3756.35124427021,242.111086625526,0.0941215557986393
2,Normandie,0.695705231452896,3.8475625918096,3234.5775547055,339.322911239736,-0.025176496912622
3,Normandie,0.604099194500326,4.43489864359411,3146.87686047308,582.593163465372,0.246336422441203
4,Normandie,0.63190484426847,3.67932478756702,3583.3626226157,57.6652053043631,0.215955032560235
5,Normandie,0.746261385237968,4.47136928986198,3441.04984653289,89.4865677314455,-0.123062721714802
6,Normandie,0.667528126827766,3.89151063610278,3684.75063127619,78.1930855427035,0.106532339268219
7,Normandie,0.628936758534255,3.554774334079,3966.08096740994,249.659531031869,0.164737123885543
8,Normandie,0.610781210859048,4.45202346311458,3584.52094232302,432.820592106726,0.193056374841102
9,Normandie,0.658043428951284,4.06611557198887,3706.71294744891,161.14955053113,0.0617083023079108
10,Normandie,0.598500793208484,3.73756494327191,3284.33614080899,520.213562638328,0.236102625849301
1,HDF,0.522357386965696,1.97193976936851,3275.41065843377,679.44566075786,0.537356613252923
2,HDF,0.548462019289354,1.8829005765106,3602.26036266312,163.040863005456,0.473584483200627
3,HDF,0.604102766255681,2.25758755807446,3132.82622561252,146.630449259197,0.295853741087421
4,HDF,0.528010631458493,2.32056979187188,3988.17545104657,213.9954668271,0.53621704955579
5,HDF,0.545772699132801,1.87923736960104,3815.98896593074,67.5172013198853,0.464580097662857
6,HDF,0.533484686664822,2.08477237982157,3784.8238766638,374.384413809891,0.463728492653219
7,HDF,0.534733534365962,1.99580217087139,3906.71071367337,204.952819857364,0.486627295556994
8,HDF,0.560406953877553,2.19110261073484,3658.42824236721,156.841863316623,0.40505736401998
9,HDF,0.55067360827471,2.50633374810882,3755.53428004192,197.629438492748,0.459487367315899
10,HDF,0.561612233065842,1.96264700821694,3420.53031984058,152.957651147719,0.414456637610196
