id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_betat1_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_betat1_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_betat1_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_betat1_sd
IDF,0.309517,0.482763,0.752658,-0.336745,-0.546735,0.31337,0.481466,0.684867,-0.246164,-0.554692,0.312024,0.481555,0.690444,-0.0695078,-0.5509,0.0138913,0.0408088,0.142818,0.630848,0.0273892
NAquitaine,0.200544,-0.771897,-1.33597,-0.375781,-0.124827,0.183192,-0.751195,-1.18494,-0.303388,-0.0987951,0.18864,-0.711004,-1.19295,-0.249752,-0.107966,0.0371466,0.226538,0.370966,0.294649,0.0648948
AURA,0.0512451,-0.412153,0.53174,-0.669498,-0.0757831,0.0710893,-0.406023,0.498279,-0.758635,-0.107419,0.0635185,-0.403613,0.507347,-0.578757,-0.0923387,0.0254627,0.12068,0.101921,0.404731,0.0497225
Centre,0.195103,1.43666,-0.820209,0.267291,0.022698,0.162445,1.44417,-0.769421,0.398878,0.0700034,0.164738,1.44887,-0.804495,0.503084,0.0585739,0.0738805,0.13397,0.430727,0.313357,0.107946
BFC,-0.0978071,-0.350131,-0.79449,0.383306,-0.0580815,-0.115056,-0.371096,-0.939173,0.568916,-0.027999,-0.109618,-0.33378,-0.830245,0.541223,-0.0369057,0.0344751,0.133594,0.330149,0.224336,0.0695973
Normandie,-0.156419,1.22482,1.11421,-0.47915,0.307797,-0.166744,1.22656,1.09894,-0.255272,0.314727,-0.154022,1.23108,1.1154,-0.334092,0.304101,0.0797768,0.113574,0.125639,0.55245,0.116198
HDF,-0.280986,0.696066,1.04918,-0.32728,0.560688,-0.286049,0.684118,1.05721,-0.322775,0.569361,-0.282661,0.691732,1.05487,-0.20744,0.564759,0.0352447,0.0806284,0.08626,0.549638,0.0606347
GrandEst,0.0461308,0.723505,-0.490241,1.35451,-0.163371,0.0461532,0.726896,-0.443873,1.36476,-0.163812,0.0487925,0.722411,-0.514712,1.39174,-0.168943,0.0201452,0.0388269,0.291623,0.14479,0.038247
PaysLoire,-0.0841595,-3.31396,0.517593,0.0566927,0.163004,-0.0811047,-3.31806,0.544233,0.0536367,0.145426,-0.0945515,-3.2392,0.589933,0.254491,0.178108,0.0640746,0.625022,0.220925,0.683048,0.106145
Bretagne,-0.209637,0.499756,0.230461,-0.467497,0.146297,-0.207764,0.488831,0.242349,-0.487078,0.144244,-0.207867,0.51122,0.267735,-0.435853,0.144124,0.0483178,0.133401,0.166043,0.483384,0.0971838
Occitanie,-0.00959924,-0.0951518,-0.247938,0.0390909,-0.160041,-0.00193308,-0.0988498,-0.163084,-0.0828399,-0.16781,-0.00400168,-0.0776825,-0.386978,0.321942,-0.166998,0.0392378,0.136716,0.241656,0.474653,0.072161
PACA,0.00556279,-0.141042,-0.313115,0.194875,-0.0323317,-3.96493e-5,-0.145534,-0.335518,0.244874,-0.0241287,-0.00246331,-0.131686,-0.314356,0.334956,-0.0209404,0.0274724,0.097565,0.286309,0.37315,0.0524875
