b1_pop,1,-0.0021957,0.028037,-0.086657,-0.18301,0.038585,0.002779,-0.055919,0.038594
Dq_pop,-0.0021957,1,-0.0074302,0.020632,-0.0063528,-0.0016104,-0.093993,0.0019231,-0.010959
E0_pop,0.028037,-0.0074302,1,-0.16451,-0.05521,0.028988,0.018725,-0.12151,0.091104
A0_pop,-0.086657,0.020632,-0.16451,1,0.11762,0.00088658,-0.040206,0.11279,-0.41306
betat1_pop,-0.18301,-0.0063528,-0.05521,0.11762,1,-0.02636,0.0084744,0.1025,-0.024997
omega_b1,0.038585,-0.0016104,0.028988,0.00088658,-0.02636,1,-0.00031387,-0.030617,-0.038185
omega_Dq,0.002779,-0.093993,0.018725,-0.040206,0.0084744,-0.00031387,1,0.0026495,0.014642
omega_E0,-0.055919,0.0019231,-0.12151,0.11279,0.1025,-0.030617,0.0026495,1,-0.03822
omega_A0,0.038594,-0.010959,0.091104,-0.41306,-0.024997,-0.038185,0.014642,-0.03822,1
