rep,id,b1,Dq,E0,A0,beta
1,IDF,0.836574447942984,2.28632726441575,1624.4326114045,2014.02124152253,-0.373413840554387
2,IDF,0.849801553383695,2.42090118585269,1893.06877738752,1711.37602690585,-0.373413840554387
3,IDF,0.832095147923998,2.46890054503648,1396.60686498734,2101.89288376692,-0.373413840554387
4,IDF,0.834933567343574,2.22701485499074,1650.57976478401,1971.4209741972,-0.373413840554387
5,IDF,0.850328990002309,2.23599043879036,1924.7156958378,1624.56884679796,-0.373413840554387
6,IDF,0.829111751889587,2.29747610345661,1624.45579014462,2124.83181648133,-0.373413840554387
7,IDF,0.839537579448939,2.39180517727466,1897.50954506034,1825.2611304182,-0.373413840554387
8,IDF,0.8323439688745,2.41533125581722,1572.20505957495,2135.44828037409,-0.373413840554387
9,IDF,0.838261038153757,2.23651807854571,1601.09218162999,1999.17996067335,-0.373413840554387
10,IDF,0.852027007623125,2.47900288023577,1869.03496229527,1692.78589651507,-0.373413840554387
1,NAquitaine,0.939653232921373,0.941226896485748,347.126901018509,290.309851306203,-0.373413840554387
2,NAquitaine,0.933652618347658,1.27540954541402,725.914238268154,157.3521666346,-0.373413840554387
3,NAquitaine,0.969648505576694,0.717505840021464,582.240873765505,135.235693427386,-0.373413840554387
4,NAquitaine,0.915606058348259,0.900402934711112,313.597190187807,356.360932568192,-0.373413840554387
5,NAquitaine,0.953763718006909,0.732564963780826,352.454557500146,249.36557317346,-0.373413840554387
6,NAquitaine,0.966163209550816,1.0406810411641,343.647166578976,237.194377754029,-0.373413840554387
7,NAquitaine,0.94144448187557,1.01462106828791,727.230301079677,110.141738928022,-0.373413840554387
8,NAquitaine,0.966729204772863,0.795798864450202,474.426474304647,191.229800152576,-0.373413840554387
9,NAquitaine,0.94146615898487,1.06485104289416,784.176696833204,98.5829664498969,-0.373413840554387
10,NAquitaine,0.943198005439726,0.993475928251448,520.654458283497,223.286675811812,-0.373413840554387
1,AURA,0.794332280598799,1.69506342772591,477.563581031505,632.684622421753,-0.373413840554387
2,AURA,0.830695473582314,1.85785944801864,924.578636353941,266.332039515111,-0.373413840554387
3,AURA,0.779496234783717,1.50340654018171,447.299423948574,736.415286385546,-0.373413840554387
4,AURA,0.791153576254207,1.84508280812464,646.272135861112,629.584415702558,-0.373413840554387
5,AURA,0.799841355537439,1.69173976250625,588.080955496156,554.413396534492,-0.373413840554387
6,AURA,0.775705173210588,2.0631940024509,419.521137300599,817.382946923448,-0.373413840554387
7,AURA,0.799081559619336,1.90489446758113,595.815232353247,584.165379022484,-0.373413840554387
8,AURA,0.776178539206328,1.92909073609994,556.390605835291,701.387681072497,-0.373413840554387
9,AURA,0.779263364577155,2.04993571145639,397.879070694777,820.27611372952,-0.373413840554387
10,AURA,0.796689056072512,1.7166021564748,525.503545648357,631.839239399291,-0.373413840554387
1,Centre,1.04635571768444,3.94168294089618,518.803699364628,12.6601767330721,-0.373413840554387
2,Centre,0.980313970291317,5.21370201590343,643.607684001602,41.3299018668733,-0.373413840554387
3,Centre,1.07568502395556,5.68366285057937,489.745379630585,28.6637964648517,-0.373413840554387
4,Centre,1.04378868720278,5.5624266961928,479.007627914873,46.1508428023991,-0.373413840554387
5,Centre,1.10898489790923,3.89884030621169,416.144673620748,8.96387684137778,-0.373413840554387
6,Centre,1.12955127896261,4.50223756847095,330.90430384039,28.0789034386518,-0.373413840554387
7,Centre,1.05514875973243,4.55990407468353,537.345127205425,7.41594835517504,-0.373413840554387
8,Centre,1.09931633207109,3.64100758156989,462.568355515733,6.90532103964001,-0.373413840554387
9,Centre,1.06494654693158,5.58988246955362,532.059376365331,16.2038932192111,-0.373413840554387
10,Centre,1.12168340446673,5.39730048130086,362.574822545838,41.2102608821332,-0.373413840554387
1,BFC,0.730210498572412,0.982318804586629,514.564668802476,395.233640313345,-0.373413840554387
2,BFC,0.717326824207666,1.12640335800002,540.424672550435,408.967783129443,-0.373413840554387
3,BFC,0.72653370629821,1.10166484662527,325.289253586726,489.765844509765,-0.373413840554387
4,BFC,0.734441816107287,0.928322342497035,607.391885972554,311.598586321496,-0.373413840554387
5,BFC,0.755369399788498,0.924566616304086,656.476539096883,221.552155420738,-0.373413840554387
6,BFC,0.72468682519212,0.968442447517663,829.515553843916,250.493162732157,-0.373413840554387
7,BFC,0.716915403430376,1.21879667586822,541.945121789469,408.613319472617,-0.373413840554387
8,BFC,0.73588342236236,1.20961528163775,310.887657270057,473.509485997316,-0.373413840554387
9,BFC,0.737108420310056,1.07498273462777,420.115241477517,401.474435003671,-0.373413840554387
