rep,id,b,Dq,E0,A0,De,eta_b,eta_Dq,eta_E0,eta_A0,eta_De
1,1,0.37477876821232,0.562339187210018,4.14447776202049,6.83875172599564,0.157002697846561,0.100525643240972,0.575000601163882,-0.509397438422678,0.862074895124826,0.533457025374442
2,1,0.379175974743248,0.608336838090292,4.73707553590555,6.84369142212308,0.197913587559402,0.1049228497719,0.620998252044156,0.0832003354623856,0.867014591252261,0.574367915087282
3,1,0.385838468237042,0.548716907145158,4.38072396263497,6.77979291828684,0.18920452135929,0.111585343265694,0.561378321099022,-0.273151237808194,0.803116087416026,0.565658848887171
4,1,0.266602927983827,0.574283419082682,4.05594551951722,6.57167436407532,-0.808702774443354,-0.00765019698752112,0.586944833036546,-0.597929680925947,0.594997533204507,-0.432248446915473
1,2,0.314195929887364,-0.472257456289696,3.5185742658284,5.83284174511687,-0.409718271244182,0.0399428049160163,-0.459596042335832,-1.13530093461477,-0.143835085753947,-0.0332639437163008
2,2,0.313467108606669,-0.325278737054027,4.29967037313654,5.70349434801253,-0.47365204373441,0.0392139836353211,-0.312617323100163,-0.35420482730663,-0.273182482858283,-0.0971977162065292
3,2,0.313509640517439,-0.365378394056273,4.04877291704895,5.42501063081795,-0.747067756557253,0.0392565155460909,-0.352716980102409,-0.605102283394218,-0.551666200052865,-0.370613429029372
4,2,0.347279011113516,-0.444304429998749,3.82824897679572,5.3948979416086,-0.531758078408297,0.0730258861421675,-0.431643016044885,-0.825626223647443,-0.581778889262212,-0.155303750880416
1,3,0.467552353588103,0.650211826918449,5.1607690051214,6.69510125398618,0.94182759808802,0.193299228616755,0.662873240872313,0.50689380467823,0.718424423115367,1.3182819256159
2,3,0.363598614893666,0.478288955294903,4.97740476107092,6.44280886268609,0.457743330417683,0.0893454899223181,0.490950369248768,0.323529560627756,0.46613203181527,0.834197657945564
3,3,0.324553760639146,0.482838068328605,4.76426870286027,6.33187231580168,0.208938156960434,0.0503006356677978,0.495499482282469,0.1103935024171,0.355195484930866,0.585392484488314
4,3,0.268799869757965,0.605032527020545,3.66723818289212,6.27930567457365,-0.244612976792873,-0.00545325521338264,0.617693940974409,-0.986637017551049,0.302628843702833,0.131841350735008
1,4,0.330822167697052,1.46307647164847,4.23703111263605,4.37777095601538,-0.634005836032372,0.0565690427257043,1.47573788560234,-0.416844087807118,-1.59890587485543,-0.257551508504491
2,4,0.296839001425787,1.53265266005253,4.69897372487827,4.01252382869335,-0.872158047613665,0.0225858764544386,1.54531407400639,0.0450985244351028,-1.96415300217746,-0.495703720085784
3,4,0.308397367315099,1.37377796574038,3.68313189349688,3.71820758652585,-1.53049924798669,0.0341442423437511,1.38643937969424,-0.970743306946285,-2.25846924434497,-1.15404492045881
4,4,0.29205410800305,1.40246971915347,4.33891488101384,4.26885936634556,-1.10431644456703,0.0178009830317017,1.41513113310733,-0.314960319429321,-1.70781746452526,-0.727862117039151
1,5,0.360255321821298,-0.269249920373649,4.63877927855031,6.10394730647335,0.689623524168403,0.0860021968499496,-0.256588506419785,-0.0150959218928559,0.127270475602537,1.06607785169628
2,5,0.360937385181293,-0.0417909242981845,4.03728200536207,6.28564179894846,0.749486473588828,0.0866842602099452,-0.0291295103443205,-0.616593195081095,0.308964968077647,1.12594080111671
3,5,0.350152179180324,0.143678505592933,4.98331045090002,6.04160648393132,0.64640187537523,0.0758990542089759,0.156339919546797,0.329435250456853,0.0649296530605028,1.02285620290311
4,5,0.299824202090279,-0.320313321487894,4.92300927981014,5.80153745680304,0.269903806575353,0.025571077118931,-0.30765190753403,0.269134079366975,-0.175139374067774,0.646358134103234
1,6,0.199329484781577,1.92539089205354,5.27938274241137,6.78216719939633,-1.42467035554911,-0.074923640189771,1.9380523060074,0.625507541968208,0.805490368525518,-1.04821602802123
2,6,0.172837756393238,1.65392037401828,5.00932256634447,7.19420185855568,-1.29246559337231,-0.10141536857811,1.66658178797215,0.355447365901305,1.21752502768487,-0.916011265844431
3,6,0.22549615753938,1.39863563753763,5.04970545758834,6.94749671910766,-0.921529837957796,-0.0487569674319682,1.4112970514915,0.395830257145175,0.970819888236845,-0.545075510429915
4,6,0.346985207019066,1.23268974565556,6.17969933406123,6.93711123903902,-0.00754807599161817,0.0727320820477181,1.24535115960942,1.52582413361806,0.960434408168209,0.368906251536263
1,7,0.199417596837169,1.02639932627068,5.67486934445111,5.58076655509635,-1.13603605648472,-0.0748355281341789,1.03906074022455,1.02099414400794,-0.395910275774463,-0.759581728956834
2,7,0.181103783848109,0.969905430453678,3.94896506024852,5.7957973379062,-2.92296896389991,-0.0931493411232386,0.982566844407542,-0.704910140194649,-0.180879492964611,-2.54651463637203
3,7,0.2111627141427,1.28666497797118,5.79233703405366,5.30422459222152,-1.02673678154964,-0.0630904108286484,1.29932639192504,1.13846183361049,-0.672452238649293,-0.650282454021763
4,7,0.179883191693906,1.25038464350928,5.41591488920477,5.85999871744187,-1.40881665066705,-0.0943699332774418,1.26304605746314,0.762039688761608,-0.116678113428946,-1.03236232313917
1,8,0.489715582596309,0.964285832672286,5.1352495369679,7.24570442445776,1.0416815781414,0.215462457624961,0.97694724662615,0.481374336524737,1.26902759358694,1.41813590566928
2,8,0.403778002702972,1.12506448614972,5.32576327762177,7.27739624360098,0.817358689249023,0.129524877731624,1.13772590010358,0.671888077178605,1.30071941273016,1.1938130167769
3,8,0.387924337872628,0.977049381629818,5.10602220705345,7.20455395799132,0.72151472373235,0.11367121290128,0.989710795583682,0.45214700661028,1.2278771271205,1.09796905126023
