rep,id,b,Dq,E0,A0,eta_b,eta_Dq,eta_E0,eta_A0
1,1,-0.000908581579285389,1.47012789499429,4.16541894529324,7.8958137523092,0.209270888885118,0.543814422217778,-2.28898591076222,0.984333927013698
2,1,0.0125166250927744,1.48954720488416,5.44717346007282,7.80971897050372,0.222696095557178,0.563233732107648,-1.00723139598264,0.898239145208214
3,1,0.000209059484795324,1.45738873404492,5.91059986869202,7.83206702210273,0.210388529949199,0.531075261268407,-0.543804987363437,0.920587196807219
4,1,-0.00206446516458141,1.47777276229273,5.18379430615998,7.8778520152312,0.208115005299822,0.551459289516212,-1.27061054989547,0.966372189935695
1,2,0.0489890288457568,0.753777811920517,5.75005913781265,6.79360913190309,0.25916849931016,-0.172535660855997,-0.70434571824281,-0.117870693392421
2,2,0.129909308471618,0.382703624846677,6.01734133231691,6.5380424644211,0.340088778936021,-0.543609847929837,-0.437063523738548,-0.373437360874409
3,2,-0.0101969943165493,0.698815032698761,6.13750361565047,6.97896403317472,0.199982476147854,-0.227498440077753,-0.31690124040499,0.0674842078792137
4,2,0.0452783708310441,0.538340951388963,5.70455753662454,6.87641146724953,0.255457841295447,-0.387972521387551,-0.749847319430915,-0.0350683580459794
1,3,-0.1426015825937,1.36161213255837,5.65178257581807,7.43813743169037,0.0675778878707032,0.435298659781853,-0.802622280237392,0.526657606394862
2,3,-0.0927285406578304,1.35145174163319,6.31460458022746,7.1305672629656,0.117450929806573,0.425138268856677,-0.139800275827998,0.219087437670095
3,3,-0.197652566224284,1.40563515426878,5.99814116011475,7.58181217992878,0.0125269042401193,0.479321681492266,-0.456263695940708,0.670332354633274
4,3,-0.153079721119383,1.31623759952895,5.58481874893505,7.4406271210859,0.0570997493450201,0.389924126752437,-0.869586107120403,0.529147295790391
1,4,0.106959792716439,2.74140415887932,6.72890248571648,5.09840094767185,0.317139263180842,1.81509068610281,0.274497629661026,-1.81307887762366
2,4,0.339418115235938,2.11615296835367,5.67193032582332,4.89071673590674,0.549597585700341,1.18983949557716,-0.782474530232134,-2.02076308938877
3,4,0.306845726059539,2.12890844896482,5.6692238330075,5.14081289036454,0.517025196523942,1.2025949761883,-0.785181023047953,-1.77066693493097
4,4,0.231115009528528,2.3412990473125,6.3513624230245,4.71995709025774,0.441294479992931,1.41498557453599,-0.10304243303096,-2.19152273503777
1,5,-0.260489514799066,0.689810376143316,5.60984656009079,6.87809798525222,-0.050310044334663,-0.236503096633198,-0.844558295964664,-0.0333818400432877
2,5,-0.287981217101515,0.751957571901077,5.63767330498606,7.01205480771679,-0.0778017466371115,-0.174355900875437,-0.816731551069398,0.100574982421287
