rep,id,b,Dq,E0,A0,De
1,IDF,1.36929766577942,1.88660623541192,76.2807318775851,766.346417870556,0.743802924363606
2,IDF,1.35867364480851,1.82059948428343,27.8557174270854,847.694291900985,0.718974477411487
3,IDF,1.46945290386859,1.61674731541376,87.5956349380199,897.005632161921,1.20835514206159
4,IDF,1.57048418407584,1.89884494025805,83.6570196692542,1114.19699999457,1.75792785970267
5,IDF,1.36079292453655,1.73561939105848,49.359691360939,753.50530626271,0.670009915363208
6,IDF,1.37641572485156,1.7395264867102,57.4289313630426,793.129539791625,0.7558267595619
7,IDF,1.4656190332119,1.72620202883533,127.230769824159,882.244202138612,1.2094977924206
8,IDF,1.57880909976111,1.85083214808812,122.554517121287,1093.46116985559,1.80117832629489
9,IDF,1.35093643368895,1.93626519423251,63.1689655540735,782.812703650414,0.671575120093363
10,IDF,1.35890142469913,1.95842666718314,118.529854460498,884.30844746459,0.790266557853312
1,NAquitaine,1.34322786196757,0.830386964920071,28.871624635304,319.142513259333,0.528774647276207
2,NAquitaine,1.31673422432749,0.651275491647545,50.7304702023018,258.628937521167,0.349275507959388
3,NAquitaine,1.40460214107316,0.635236849310505,63.5387793381697,270.081040018576,0.701786835527113
4,NAquitaine,1.3330582148698,1.05744896772823,54.0692594224387,312.221348732646,0.517776949458416
5,NAquitaine,1.36350857112242,0.337935386184888,39.5699989538233,194.525640948122,0.326913191495091
6,NAquitaine,1.27893599491592,0.781885286256799,41.5904227847168,255.099465717803,0.198414403408311
7,NAquitaine,1.35236467616072,0.825285678096764,151.296412612296,220.882450606569,0.550390941544717
8,NAquitaine,1.36035407216038,0.712209860716562,31.9626836510541,387.490211719631,0.67118932035262
9,NAquitaine,1.32138500205129,0.669081956376886,51.0328674175402,243.497499145126,0.328014815144357
10,NAquitaine,1.27049432059508,0.908516991916152,32.7562481436597,252.253587810908,0.147660941708893
1,AURA,1.43451378809026,1.53806688760252,82.6825144718528,601.781392453951,1.44420183008478
2,AURA,1.30593451530191,1.73889121688292,123.609438716733,572.93745332628,0.885482063657084
3,AURA,1.5161957881779,1.44957572292742,195.300660530872,633.491456757773,2.00379837569128
4,AURA,1.34927125796504,1.50186197746664,152.34402146696,474.52588730447,1.01166499897894
5,AURA,1.44557286105808,1.736314396783,93.9409885255489,612.84156647626,1.52119110067192
6,AURA,1.2777689982924,1.59323318975409,93.2790025255857,474.312427970917,0.623809515461179
7,AURA,1.52431225857173,1.80113974280058,100.380741042901,744.237149666981,2.0396738098316
8,AURA,1.36520707461941,1.30801348287981,138.671653193651,432.385088128169,0.986322421076675
9,AURA,1.43501263483239,1.66111937546998,88.2031969654301,621.59096116179,1.50032440941187
10,AURA,1.30418609845357,1.37613847557505,128.42550881079,441.681771339945,0.718120912340963
1,Centre,1.33959218348042,5.29255766744928,57.8203388542972,62.9470086708921,0.309757350240343
2,Centre,1.37298140327997,3.22486698734382,53.2414882645512,36.8111418811757,0.267836180925999
3,Centre,1.37008860724313,4.36823046435836,68.0630288423157,54.6748756388286,0.415805663166355
4,Centre,1.3807695461943,5.98126259378207,90.0841613338145,40.8066395424156,0.442265207917457
5,Centre,1.33499557195491,3.7021027778502,65.2848273519036,87.6343424806743,0.347651376612447
6,Centre,1.41020463605456,4.61505887950639,62.464485325988,44.6554911908485,0.440810856275634
7,Centre,1.40333847942896,4.86448253698065,58.1906653721014,39.2879466797756,0.405068705212773
8,Centre,1.44394220001108,5.19948724010479,124.40673943215,52.485626740972,0.765819969587159
9,Centre,1.4157099065541,4.17388982243752,51.9941101172885,43.5040742286632,0.422485143200796
10,Centre,1.35084798086953,4.92994003961779,65.2701950446442,56.547035275459,0.324489967123278
1,BFC,1.36949604802504,0.787448707622304,76.8446845540181,347.372561706088,1.34223036713164
2,BFC,1.42147056475936,0.879961547227375,105.406343201054,422.048222934681,1.82828382226932
3,BFC,1.44577810633746,0.797991315637606,103.322238777256,391.220854254995,1.87100735863119
4,BFC,1.41812567278956,0.735028503611659,95.2358153718592,428.396691951632,1.83486286608799
5,BFC,1.37317090769542,1.0086631152334,104.031305193631,443.775614457027,1.69371987254229
6,BFC,1.38443072337404,0.855831137593323,34.8230568959191,422.873659946321,1.48297095294134
7,BFC,1.39150863263854,1.03645442031702,171.193359074872,456.270664925465,1.87926205694929
8,BFC,1.43557250412059,1.07492541410832,71.6118731889484,527.14345518664,2.12345495088781
9,BFC,1.39305273179166,1.01097144984659,101.393544153443,385.34512226443,1.6226606259534
10,BFC,1.3666045134441,0.92994795767896,69.7113133052855,440.788859952775,1.5522437709725
1,Normandie,1.22101946956911,6.09698702477461,172.087176222215,1130.91517366651,0.294251278938934
2,Normandie,1.35210697305059,4.72180612554071,502.108756929494,692.275738918396,0.708249093172374
3,Normandie,1.29957720782546,4.49789977338984,407.176064545967,986.215772676537,0.574997017530421
4,Normandie,1.26406149412766,4.26842774891201,199.075712667479,778.549565201473,0.270693586896519
5,Normandie,1.20954603921817,3.87463304368132,188.496611459167,985.278559072717,0.175843325605306
6,Normandie,1.2978279922602,2.80235507765855,371.872350682998,796.169518684173,0.513020408979258
7,Normandie,1.30848807224212,4.00942773946815,354.50090486213,607.997321832823,0.402310631163823
8,Normandie,1.25879469540969,4.29049147657944,249.079281784203,765.311882517396,0.277007766554462
9,Normandie,1.24486603898717,5.60869842785466,159.43753137731,944.141355372634,0.247617639542028
10,Normandie,1.26695702338772,5.00846929365779,328.555033173059,858.422811797935,0.434458078244328
1,HDF,1.23521013014178,3.15533292144108,328.386900811888,118.334422614517,0.275367994505248
2,HDF,1.22391701672064,3.44232261755676,259.879426455578,217.062840451922,0.268003717706186
3,HDF,1.19938644533752,3.05944056296202,144.33813108781,350.962881173557,0.181098733500607
4,HDF,1.21218872622043,3.59898307298751,331.65546602668,242.135136414434,0.317080434393382
5,HDF,1.24936575466532,3.03742608759823,438.179412274801,146.870232076476,0.456100339006873
