rep,id,eta_b,eta_Dq,eta_E0,eta_A0,eta_De
1,IDF,0.0400448307015996,0.647440986287458,-0.319454825137346,0.664957479289743,0.0804751616821256
2,IDF,0.0322558377297986,0.611827247775507,-1.32683696152804,0.765843235089854,0.0465249082952809
3,IDF,0.110637032306223,0.493077714813835,-0.181144033217011,0.822385310055582,0.565714375606228
4,IDF,0.177130844344668,0.653907189084239,-0.227149859385285,1.0392124141926,0.940590090512411
5,IDF,0.0338144376265144,0.564025761372389,-0.754741073682861,0.6480592293245,-0.0240084401291848
6,IDF,0.0452296945279153,0.566274356070507,-0.603326993383431,0.699309731511006,0.0965112444468326
7,IDF,0.108024576516812,0.558585050075402,0.19212732234282,0.805792059986702,0.566659553394156
8,IDF,0.182417703538579,0.628296761687365,0.154680768266489,1.02042649865263,0.964895403975429
9,IDF,0.0265448815962529,0.673422373919278,-0.508062071255151,0.686216632994659,-0.0216750726586952
10,IDF,0.0324234723932937,0.68480284401848,0.121289664776888,0.808129093378794,0.141069352099362
1,NAquitaine,0.0208224445723553,-0.173202050090443,-1.2910159341811,-0.211039077819801,-0.260738607946217
2,NAquitaine,0.000901473573097515,-0.416161130081766,-0.727348480184844,-0.421282470092904,-0.675439919593694
3,NAquitaine,0.0655009640997308,-0.441095944639281,-0.502224782705915,-0.377954768690963,0.0223287533643386
4,NAquitaine,0.0132225873419951,0.0685207872603354,-0.663609393787427,-0.2329644435366,-0.281756401430488
5,NAquitaine,0.0358080844307892,-1.0722391529531,-0.975803971484468,-0.706112846433674,-0.741606285234223
6,NAquitaine,-0.0282246466949252,-0.23338582800964,-0.92600528120223,-0.43502330012821,-1.24094316141443
7,NAquitaine,0.0276015471666959,-0.179364262152529,0.365365709642386,-0.579046168568667,-0.220672122919835
8,NAquitaine,0.033491888068917,-0.326721248848595,-1.18930611401353,-0.0169862424748244,-0.0222497077022492
9,NAquitaine,0.00442730553346098,-0.38918730660822,-0.721405316126019,-0.481570158852144,-0.738242175967123
10,NAquitaine,-0.0348470714157061,-0.0832802741020614,-1.16478147354617,-0.446241948503724,-1.53638224029452
1,AURA,0.0865728431960593,0.443187774080287,-0.238867053998993,0.423217413029805,0.74401112975824
2,AURA,-0.00733423679696283,0.565909092385422,0.163251706686873,0.374099723387283,0.254831249953189
3,AURA,0.141951301784564,0.383932322691543,0.620665019568276,0.474569683018507,1.07149889475638
4,AURA,0.0253115128149219,0.419367070574523,0.372266062124436,0.185639342707786,0.388051814914131
5,AURA,0.0942525616688393,0.564426117932322,-0.111208396953665,0.441429615666838,0.795947974380214
6,AURA,-0.0291375378635712,0.478426818195101,-0.118280171234505,0.185189404433333,-0.0954558933712797
7,AURA,0.147290205381122,0.601081068920261,-0.0449048338676463,0.635682902724828,1.08924422545773
8,AURA,0.0370529951777167,0.281170974947831,0.27823373103456,0.0926397680094918,0.362682348759403
9,AURA,0.0869205289627228,0.52015311164128,-0.174231991313732,0.455605426831384,0.782135685193674
10,AURA,-0.00867395811148444,0.331942784720596,0.201473837831774,0.113912817556869,0.0453370050050971
1,Centre,0.0181121019841907,1.67896303399116,-0.596534603368901,-1.83438359063753,-0.795511701637063
2,Centre,0.04273145713424,1.18355311911656,-0.679037253427329,-2.37087626301086,-0.940925423043636
3,Centre,0.0406222895970315,1.48701941299141,-0.433441029828789,-1.97527253886331,-0.501082956194394
4,Centre,0.0483878609429326,1.80129309571428,-0.153130841139493,-2.26783202881768,-0.439391231402533
5,Centre,0.0146748499876533,1.32156239051023,-0.475115544115978,-1.50350387230445,-0.680100765151654
6,Centre,0.0694817008416955,1.54198604011687,-0.519277039991566,-2.17769954811237,-0.442685065344342
7,Centre,0.0646009010996228,1.59462175949088,-0.590150247364939,-2.30575905929791,-0.527244256234708
8,Centre,0.093123887004999,1.66122142700703,0.169681153894073,-2.01613747511926,0.109646164014626
9,Centre,0.0733779810590625,1.44150982610273,-0.702744755252148,-2.203822236733,-0.485146669297082
10,Centre,0.0264794042628429,1.60798823958517,-0.475339699526497,-1.94160405628851,-0.74904633374408
1,BFC,0.0401896990390511,-0.226295629627769,-0.312088899356617,-0.126278962030804,0.670787010907133
2,BFC,0.0774388197542383,-0.115215654843262,0.00394761602641371,0.0684427489936716,0.979832052331139
3,BFC,0.0943945335581326,-0.212996150297322,-0.0160225640680163,-0.00740458570820383,1.00293130780579
4,BFC,0.0750829260024082,-0.295184586143352,-0.0975191175065189,0.0833727858046913,0.983424073864694
5,BFC,0.042869471631831,0.0212872197270856,-0.00918333511943505,0.118642230972976,0.903381545586652
6,BFC,0.0510359001171028,-0.143020777513331,-1.10359547857462,0.070396627312997,0.770501803803614
7,BFC,0.0561353808297539,0.0484670912709276,0.488918472061586,0.146409365987514,1.00733350441315
8,BFC,0.0873106022531446,0.0849126909016172,-0.382614313562995,0.2907958916082,1.12949878351685
9,BFC,0.0572444239495156,0.023573114074754,-0.0348657784387218,-0.0225374766627536,0.860521491270686
10,BFC,0.038076081068922,-0.0599652399317514,-0.409512581568663,0.111889154309102,0.816155805880457
1,Normandie,-0.0745669843768668,1.82045613274453,0.494125986472287,1.05410564125354,-0.846866858886837
2,Normandie,0.0274109715982747,1.56485279407432,1.56494154305385,0.563307512025188,0.0314949068776792
3,Normandie,-0.0122141381505406,1.51627198475937,1.35537048248093,0.917198336176577,-0.176936097573973
4,Normandie,-0.0399231800126206,1.46390696470322,0.639810017588345,0.680755825944268,-0.930313445929119
5,Normandie,-0.0840080099580089,1.36711237387018,0.585204829939379,0.91624757140964,-1.36170754829975
6,Normandie,-0.0135610329897744,1.04312157677311,1.26467545161757,0.703135295471202,-0.290985323489536
7,Normandie,-0.00538079762122594,1.40130993672648,1.21683569802823,0.433493646205428,-0.534076446887387
8,Normandie,-0.0440984527777589,1.46906270363715,0.863896046082556,0.663606609438132,-0.907255407557227
9,Normandie,-0.0552252000509828,1.73698009727508,0.417776992258905,0.873599064925487,-1.01941517108921
10,Normandie,-0.0376351441857663,1.62379175215875,1.14082915213525,0.778419934880468,-0.457201494155406
1,HDF,-0.0630120235007859,1.16175542623137,1.14031728843422,-1.20316212491277,-0.913192586491031
2,HDF,-0.0721967399763816,1.24880783703034,0.90634257860805,-0.596489931916632,-0.940300099001608
3,HDF,-0.0924429944856011,1.13089349064264,0.318283479131888,-0.115996364639333,-1.33225857995982
4,HDF,-0.0818255347431801,1.29331273978532,1.15022147670324,-0.487180845634053,-0.772145473505849
5,HDF,-0.0516170986939278,1.12367188902348,1.42875324312886,-0.987127408957348,-0.408588124463751
6,HDF,-0.0728383027624094,1.01438526703419,1.16986316613101,-0.633659384482203,-0.737479455572229
7,HDF,-0.0992827055601022,1.14076500052064,0.342736431693361,-0.290584227826185,-1.85164155720177
