rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_beta
1,IDF,0.0257359550298056,0.299617911913511,0.399899277146274,2.18271020105098,0
2,IDF,0.0134996980054786,0.342527618782784,0.76747418288206,2.08532880329929,0
3,IDF,0.00726691823290987,0.367062096483038,0.4499979840328,2.3039198390353,0
4,IDF,-0.00636381358053877,0.314950583601983,0.637179864887623,2.28648528969802,0
5,IDF,0.00575928714652704,0.456627347189274,0.927063287362367,2.0355347170692,0
6,IDF,0.0275440167390424,0.283442627543631,0.479926422979013,2.15902295635664,0
7,IDF,0.0241706523163185,0.352118468958041,0.710920290990216,2.0590919216595,0
8,IDF,0.00388206634308003,0.366197454088919,0.233766072844972,2.332573999096,0
9,IDF,0.00679560213172752,0.362878231041817,0.481182441675438,2.25685417947945,0
10,IDF,0.00907727880114598,0.341057191318216,0.737243995556182,2.10890028289285,0
1,NAquitaine,0.110288494017161,-0.751923979673,-0.912746081687228,0.357308580287488,0
2,NAquitaine,0.13170027112297,-0.852617038874122,-1.10887351874859,0.39719791055897,0
3,NAquitaine,0.141176801707208,-0.701362888559779,-1.02237296526595,0.215072710615641,0
4,NAquitaine,0.120523920790017,-0.555986944354376,-0.573773704816575,-0.014586010344062,0
5,NAquitaine,0.146212737195504,-0.575196704008574,-1.08801060221404,0.225857283871717,0
6,NAquitaine,0.109962239766926,-0.594544907370714,-1.33347189392851,0.528970816832917,0
7,NAquitaine,0.136676439525022,-0.228877239305289,-0.373702136273707,-0.386649887510215,0
8,NAquitaine,0.12348811488047,-0.561196582706873,-0.79214305257684,0.217844746583366,0
9,NAquitaine,0.148807704663107,-0.59112842808477,-0.289276664050599,-0.974787565491187,0
10,NAquitaine,0.108988632945123,-0.476053308478598,-1.21281373000172,0.529447710288241,0
1,AURA,-0.0363536983269512,0.177706737562363,-0.246268953921385,0.77777839943385,0
2,AURA,-0.0297798459486975,0.0825684195317726,-0.0275794811180872,0.552464525781423,0
3,AURA,-0.0613445383019328,0.0313915371563798,-0.0866017640556871,0.867800348172721,0
4,AURA,-0.0558984876104863,0.137693993164558,-0.658612019879253,1.21471357588792,0
5,AURA,-0.0568656872642804,0.033656110766813,-0.317967817773899,1.01128974473328,0
6,AURA,-0.0358245457151183,0.0383086418803957,-0.054488644658028,0.630619361721235,0
7,AURA,-0.0120246856310188,-0.0580652550576348,-0.360685634223978,0.662983249229498,0
8,AURA,-0.0404252452991541,-0.216609622192595,-0.917788314429454,1.16533877277348,0
9,AURA,-0.0578861254386718,0.0913466282536556,-0.396097502843672,1.15702780895734,0
10,AURA,-0.0402072661181041,0.00050177323295017,-0.459014238433575,0.961776030984657,0
1,Centre,0.295237531854212,0.846272401887619,-0.839800693210318,-3.40270821764911,0
2,Centre,0.295651651638451,0.501540341113085,-0.950574320331413,-2.64775848367269,0
3,Centre,0.318245679585467,0.833279673302113,-1.32223113480426,-1.33854193993377,0
4,Centre,0.220311892937101,1.04755569784416,-0.716045375612926,-1.80313308032159,0
5,Centre,0.257082160976184,1.15439676365474,-0.79050913017494,-2.14463466264315,0
6,Centre,0.285436799711293,1.01516744941825,-0.865238120963922,-2.36063163815055,0
7,Centre,0.157717704087735,1.11036197239303,-0.390414721580644,-1.75961318557221,0
8,Centre,0.219523049947745,1.43795136406977,-0.55381734957636,-1.85639473398966,0
9,Centre,0.210630005307487,1.34671171252895,-0.62119777196853,-1.90207334898649,0
10,Centre,0.304379771701419,0.983180826557014,-0.927629157142182,-3.32598813975975,0
1,BFC,-0.122582581146884,-0.512271221791448,-1.22766783142115,0.871807751343959,0
2,BFC,-0.121801244650747,-0.465867800308418,-1.31662159667824,0.873757623573656,0
3,BFC,-0.100038894167284,-0.253825174442534,-0.465538051228031,0.279397606078917,0
4,BFC,-0.101637142254613,-0.385807822645364,-0.669125927402237,0.506792535960359,0
5,BFC,-0.126577227408123,-0.409970060237135,-0.361709271699728,0.251534574892135,0
6,BFC,-0.142889444529922,-0.623858356481555,-1.63417125275813,1.04774447186361,0
7,BFC,-0.161945044385363,-0.434357084069592,-1.01650203565942,0.960905145696014,0
8,BFC,-0.147794703289993,-0.443538310235424,-0.621378056064047,0.663349547371981,0
9,BFC,-0.124049642135894,-0.527105627340703,-0.341839437104836,0.259893636407241,0
10,BFC,-0.0981166108936806,-0.566661071690364,-0.234347137810135,-0.227039093698243,0
1,Normandie,0.0670581773043876,1.14396062832615,1.45290236745689,-1.67912417717326,0
2,Normandie,0.0574736364613883,1.18848713590498,1.48505435220567,-0.988015650378538,0
3,Normandie,0.0978691007192096,0.930998879564436,1.13699475434497,0.904900167720603,0
4,Normandie,0.121066318073531,1.1061164953972,1.32114071341188,-1.15685468766776,0
5,Normandie,0.0608629030439819,0.940274433625596,1.5380796268119,-2.22509249647463,0
6,Normandie,0.0913641190560726,1.08586829866493,1.34579419967404,-0.406861325603603,0
7,Normandie,0.0949580091935884,1.09070535138424,1.40837900137257,-1.4667017261338,0
8,Normandie,0.112383763661882,1.14722773113842,1.36662276789953,-1.44758314040494,0
9,Normandie,0.0479181332819169,1.05432694709976,1.34672168941649,0.208668086874367,0
10,Normandie,0.12053389188915,1.12564158101322,1.3701879166393,-1.38597993680975,0
1,HDF,-0.0508914924900466,0.821722650185867,1.21442254406085,-2.59616041560869,0
2,HDF,-0.0553059881659255,0.70359211883647,1.27036979748144,-3.15724578288782,0
3,HDF,-0.0605270436951389,0.838913318364572,1.25737898324316,-1.0781043466844,0
4,HDF,-0.0302396536456828,0.674427355177361,1.07523550242096,-0.387276506646038,0
5,HDF,-0.0792977853391019,0.75906623365567,1.31555709267666,-1.32216104161733,0
6,HDF,-0.0448584600350827,0.916474951222839,1.2211051062664,-1.69646449120517,0
