rep,id,b1,Dq,E0,A0,beta
1,IDF,0.851412142831697,2.27364220538524,1499.87709955571,1853.94047734359,-0.377504212487225
2,IDF,0.841057525096331,2.37332695273759,2166.16446689583,1681.91321496337,-0.377504212487225
3,IDF,0.83583170138802,2.43227546852895,1576.93308935292,2092.84210199097,-0.377504212487225
4,IDF,0.824515999475518,2.30877184223306,1901.53938137994,2056.67057646257,-0.377504212487225
5,IDF,0.834572524957292,2.66017650726124,2540.97326119759,1600.21481187172,-0.377504212487225
6,IDF,0.852952941035297,2.23716123658273,1624.84157212941,1810.5417627741,-0.377504212487225
7,IDF,0.850080467603553,2.39619868029439,2047.05911470641,1638.3589198978,-0.377504212487225
8,IDF,0.833007317630978,2.43017332897514,1270.29602876045,2153.6781754026,-0.377504212487225
9,IDF,0.835437853270048,2.42212041375745,1626.88368572069,1996.6231729614,-0.377504212487225
10,IDF,0.837346228648467,2.36983971209942,2101.66080046719,1722.02933877663,-0.377504212487225
1,NAquitaine,0.926532250866293,0.794407400739775,403.627769761789,298.767900623071,-0.377504212487225
2,NAquitaine,0.946584867874677,0.718311536380944,331.744685738269,310.926437902709,-0.377504212487225
3,NAquitaine,0.955597846760196,0.835606258881405,361.718472032666,259.156247027722,-0.377504212487225
4,NAquitaine,0.936064403479059,0.966357128512319,566.493421655019,205.978630757663,-0.377504212487225
5,NAquitaine,0.96042231352497,0.947970804168038,338.738549952262,261.966261727939,-0.377504212487225
6,NAquitaine,0.926230015087003,0.929805571258396,265.009925242267,354.720181095849,-0.377504212487225
7,NAquitaine,0.951306972834643,1.34029252209648,691.966148925919,141.983173209706,-0.377504212487225
8,NAquitaine,0.938843196458357,0.961335848237158,455.363554316985,259.875634088489,-0.377504212487225
9,NAquitaine,0.96291781465549,0.93298766541674,752.92265664615,78.8518577804424,-0.377504212487225
10,NAquitaine,0.925328670074782,1.04677270961362,298.994579049183,354.889385171637,-0.377504212487225
1,AURA,0.800155962769838,2.01268945916279,786.010553384077,454.926941988587,-0.377504212487225
2,AURA,0.805433397481448,1.8300321756989,978.146732331393,363.152539624331,-0.377504212487225
3,AURA,0.780407190174643,1.73873296453597,922.084998806291,497.780286418183,-0.377504212487225
4,AURA,0.784668921561501,1.93374613206981,520.415303336463,704.20676650281,-0.377504212487225
5,AURA,0.783910356953072,1.74267491505699,731.627390641614,574.585082287597,-0.377504212487225
6,AURA,0.800579479430003,1.75080165461517,952.176606199104,392.673234363968,-0.377504212487225
7,AURA,0.819861706007896,1.58994571550657,701.032002571609,405.589550466838,-0.377504212487225
8,AURA,0.796904713480895,1.35683598453362,401.597706931101,670.281123931632,-0.377504212487225
9,AURA,0.783110832901347,1.84616729521827,676.64155383105,664.733526636176,-0.377504212487225
10,AURA,0.797078441051523,1.68584496791185,635.381073424327,546.82808748702,-0.377504212487225
1,Centre,1.11476387738935,3.9276352664351,434.171006092153,6.95631737770087,-0.377504212487225
2,Centre,1.11522561876725,2.78237664466391,388.644425613641,14.7995970773202,-0.377504212487225
