rep,id,b1,Dq,E0,betat1,betat2,eta_b1,eta_Dq,eta_E0,eta_betat1,eta_betat2
1,1,0.788547838460435,0.569753461190898,7.97261505476541,-0.270276,-1.0195846566752,0.0731744991423232,0.451656303409369,1.08569533637141,0,0
2,1,0.790938216073436,0.568847092805608,7.97494345732285,-0.270276,-1.0195846566752,0.0755648767553243,0.450749935024079,1.08802373892885,0,0
3,1,0.806990040814382,0.585797160819422,7.84054315746577,-0.270276,-1.0195846566752,0.0916167014962708,0.467700003037893,0.953623439071772,0,0
4,1,0.784605768820291,0.505334482294102,8.00032872977384,-0.270276,-1.0195846566752,0.0692324295021783,0.387237324512573,1.11340901137984,0,0
5,1,0.807226130533022,0.55472367799831,7.83127880904238,-0.270276,-1.0195846566752,0.0918527912149116,0.436626520216781,0.944359090648377,0,0
1,2,0.945553543184701,-0.571868288438648,5.61519532388992,-0.270276,-1.0195846566752,0.230180203866589,-0.689965446220177,-1.27172439450408,0,0
2,2,0.934295448511941,-0.512167890755747,5.72443412645502,-0.270276,-1.0195846566752,0.218922109193829,-0.630265048537275,-1.16248559193898,0,0
3,2,0.933954232119969,-0.95151092542176,5.60615544666181,-0.270276,-1.0195846566752,0.218580892801858,-1.06960808320329,-1.28076427173218,0,0
4,2,0.915934037844573,-0.78415236262229,5.91108317964207,-0.270276,-1.0195846566752,0.20056069852646,-0.902249520403818,-0.975836538751926,0,0
5,2,0.923793569788551,-0.53999301385543,5.73614738613325,-0.270276,-1.0195846566752,0.20842023047044,-0.65809017163696,-1.15077233226074,0,0
1,3,0.713081721391807,-0.51920653769008,6.02242886543,-0.270276,-1.0195846566752,-0.0022916179263047,-0.637303695471609,-0.864490852964003,0,0
2,3,0.710950402584069,-0.584013416951493,5.9083770472407,-0.270276,-1.0195846566752,-0.00442293673404206,-0.702110574733021,-0.978542671153301,0,0
3,3,0.717002602777953,-0.279801299059848,6.00882143993988,-0.270276,-1.0195846566752,0.00162926345984223,-0.397898456841377,-0.878098278454116,0,0
4,3,0.706883863441643,-0.633282952875469,6.08297505218515,-0.270276,-1.0195846566752,-0.00848947587646805,-0.751380110656998,-0.803944666208847,0,0
5,3,0.709592033379936,-0.358342519954269,6.08017557181802,-0.270276,-1.0195846566752,-0.00578130593817586,-0.476439677735798,-0.806744146575982,0,0
1,4,0.908502595255942,1.30168941448238,5.36217581637221,-0.270276,-1.0195846566752,0.193129255937831,1.18359225670085,-1.5247439020218,0,0
2,4,0.919390992032993,1.41761708412128,5.5409542262741,-0.270276,-1.0195846566752,0.20401765271488,1.29951992633975,-1.3459654921199,0,0
3,4,0.927951410628244,1.53612237675205,5.59731915426824,-0.270276,-1.0195846566752,0.212578071310133,1.41802521897052,-1.28960056412576,0,0
4,4,0.906198185314982,1.38303108916249,5.96412539039045,-0.270276,-1.0195846566752,0.190824845996871,1.26493393138096,-0.922794328003533,0,0
5,4,0.914798873758054,1.54215577781651,5.57511026514642,-0.270276,-1.0195846566752,0.199425534439943,1.42405862003498,-1.31180945324757,0,0
1,5,0.663467399726097,-0.393775544073826,6.62381477634685,-0.270276,-1.0195846566752,-0.0519059395920145,-0.511872701855355,-0.263104942047143,0,0
2,5,0.656298906241978,-0.508475877151079,6.69292894372896,-0.270276,-1.0195846566752,-0.059074433076133,-0.626573034932608,-0.193990774665036,0,0
3,5,0.654646295187922,-0.510730649386759,6.68692565121305,-0.270276,-1.0195846566752,-0.0607270441301893,-0.628827807168288,-0.199994067180946,0,0
4,5,0.663076075465702,-0.366625178472271,6.66047496621777,-0.270276,-1.0195846566752,-0.0522972638524095,-0.4847223362538,-0.226444752176235,0,0
5,5,0.670107517509363,-0.307301727392927,6.58406916683775,-0.270276,-1.0195846566752,-0.0452658218087479,-0.425398885174456,-0.302850551556242,0,0
1,6,0.689760530832643,1.10409191005615,7.41413050391192,-0.270276,-1.0195846566752,-0.0256128084854678,0.98599475227462,0.527210785517928,0,0
2,6,0.679216233175732,1.18303121723557,7.43150417834817,-0.270276,-1.0195846566752,-0.0361571061423801,1.06493405945404,0.544584459954173,0,0
3,6,0.691042596302726,1.16768582668326,7.46551795417253,-0.270276,-1.0195846566752,-0.0243307430153845,1.04958866890173,0.578598235778517,0,0
4,6,0.692207508824298,1.18718779472817,7.46132624849821,-0.270276,-1.0195846566752,-0.0231658304938127,1.06909063694664,0.574406530104212,0,0
5,6,0.715118018546477,1.21735234660915,7.21775718190476,-0.270276,-1.0195846566752,-0.000255320771633641,1.09925518882762,0.330837463510761,0,0
1,7,0.606253492079136,0.746918455324867,6.86472560827715,-0.270276,-1.0195846566752,-0.109119847238975,0.628821297543338,-0.0221941101168489,0,0
2,7,0.606965840540669,0.730096828247675,6.89273068902137,-0.270276,-1.0195846566752,-0.108407498777442,0.611999670466147,0.00581097062737881,0,0
3,7,0.600543571507966,0.745226389089434,6.9310353440485,-0.270276,-1.0195846566752,-0.114829767810146,0.627129231307905,0.0441156256544966,0,0
4,7,0.59317616651936,0.642588905503826,7.02451701160992,-0.270276,-1.0195846566752,-0.122197172798752,0.524491747722297,0.137597293215916,0,0
5,7,0.605684310816722,0.588951022549609,6.64810414714586,-0.270276,-1.0195846566752,-0.109689028501388,0.470853864768079,-0.238815571248139,0,0
1,8,0.676637149061205,0.886531448509211,8.14898119998587,-0.270276,-1.0195846566752,-0.0387361902569063,0.768434290727682,1.26206148159186,0,0
2,8,0.656956226485771,0.905732439598584,8.24793490874431,-0.270276,-1.0195846566752,-0.05841711283234,0.787635281817055,1.36101519035031,0,0
