reg_id	date	day	init_I0	init_H0	obs_id	obs	isolation	popsize	ascertainement	ascertainementmin	ascertainementmax	ascertainementsd	IDname
REG-11	2020-02-28	0	1	0	1	4	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-02-29	1	1	0	1	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-01	2	1	0	1	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-02	3	1	0	1	25	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-03	4	1	0	1	3	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-04	5	1	0	1	18	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-05	6	1	0	1	21	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-06	7	1	0	1	13	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-07	8	1	0	1	15	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-08	9	1	0	1	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-09	10	1	0	1	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-10	11	1	0	1	230	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-11	12	1	0	1	158	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-12	13	1	0	1	85	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-13	14	1	0	1	144	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-14	15	1	0	1	228	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-15	16	1	0	1	260	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-16	17	1	0	1	553	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-17	18	1	0	1	415	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-18	19	1	0	1	516	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-19	20	1	0	1	691	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-20	21	1	0	1	434	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-21	22	1	0	1	877	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-22	23	1	0	1	588	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-23	24	1	0	1	928	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-24	25	1	0	1	587	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-25	26	1	0	1	862	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-02-28	0	1	0	2	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-02-29	1	1	0	2	1	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-01	2	1	0	2	0	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-02	3	1	0	2	5	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-03	4	1	0	2	6	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-04	5	1	0	2	11	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-05	6	1	0	2	14	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-06	7	1	0	2	22	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-07	8	1	0	2	17	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-08	9	1	0	2	19	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-09	10	1	0	2	48	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-10	11	1	0	2	52	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-11	12	1	0	2	55	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-12	13	1	0	2	88	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-13	14	1	0	2	101	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-14	15	1	0	2	87	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-15	16	1	0	2	102	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-16	17	1	0	2	134	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-17	18	1	0	2	180	0	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-18	19	1	0	2	183	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-19	20	1	0	2	268	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-20	21	1	0	2	302	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-11	2020-03-21	22	1	0	2	239	1	12278210	0.0456063152308509	0.0403545329146245	0.0524295537450589	0.046546453609735	IDF
REG-75	2020-03-05	0	3	0	1	3	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-06	1	3	0	1	3	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-07	2	3	0	1	6	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-08	3	3	0	1	0	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-09	4	3	0	1	0	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-10	5	3	0	1	37	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-11	6	3	0	1	12	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-12	7	3	0	1	21	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-13	8	3	0	1	27	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-14	9	3	0	1	16	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-15	10	3	0	1	14	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-16	11	3	0	1	34	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-17	12	3	0	1	22	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-18	13	3	0	1	37	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-19	14	3	0	1	43	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-20	15	3	0	1	152	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-21	16	3	0	1	89	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-22	17	3	0	1	91	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-23	18	3	0	1	64	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-24	19	3	0	1	113	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-25	20	3	0	1	123	1	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-06	1	3	0	2	2	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
REG-75	2020-03-07	2	3	0	2	6	0	5999982	0.031654162200786	0.0253999197293733	0.0419945018485164	0.046546453609735	NAquitaine
