b1_pop,0.0027507,-9.0771e-5,0.00017053,0.1552,-0.74432,-0.00021371,0.00020121,-0.00055145,-0.00024041,0.0019966
b2_pop,-9.0771e-5,0.0033264,-0.00039475,0.089822,-0.25087,0.00019169,-0.00057858,0.00057118,7.8322e-5,0.001559
Dq_pop,0.00017053,-0.00039475,0.21637,-0.022096,0.18157,-0.0006308,0.0011217,-0.023377,0.0004746,-0.0025927
E0_pop,0.1552,0.089822,-0.022096,47708,-5967.5,0.27133,-0.75399,0.04332,-6.3996,18.097
A0_pop,-0.74432,-0.25087,0.18157,-5967.5,20399,-0.40221,1.8074,1.1889,0.61077,-55.681
omega_b1,-0.00021371,0.00019169,-0.0006308,0.27133,-0.40221,0.0031002,-0.00094927,0.0012555,6.82e-5,0.0030934
omega_b2,0.00020121,-0.00057858,0.0011217,-0.75399,1.8074,-0.00094927,0.0080442,-0.0022911,0.00010338,-0.0092773
omega_Dq,-0.00055145,0.00057118,-0.023377,0.04332,1.1889,0.0012555,-0.0022911,0.12807,-0.00026499,-0.0017975
omega_E0,-0.00024041,7.8322e-5,0.0004746,-6.3996,0.61077,6.82e-5,0.00010338,-0.00026499,0.054404,-0.0045533
omega_A0,0.0019966,0.001559,-0.0025927,18.097,-55.681,0.0030934,-0.0092773,-0.0017975,-0.0045533,0.33939
