rep,id,eta_b,eta_Dq,eta_E0,eta_A0
1,IDF,0.127548436252406,0.623803428037122,-1.48683136813107,1.51372959386178
2,IDF,0.13695951596596,0.530071492523078,-0.815598118278462,1.42343582162806
3,IDF,0.138985306815652,0.714102885412932,-1.13188438279914,1.43048295784439
4,IDF,0.137818394867171,0.668357074944536,-1.16681380413016,1.43123265232069
5,IDF,0.128788763322928,0.604233884673635,-0.857235230548567,1.46615090991208
6,IDF,0.131302665905611,0.557897840848271,-0.272463911162298,1.3926957527644
7,IDF,0.141906094239759,0.46918741315198,-0.929146638467795,1.40000370343431
8,IDF,0.141725628231662,0.580058051379692,-1.21848379931588,1.42378133319011
9,IDF,0.12242811639765,0.641987955169307,-0.439363225492195,1.44863144247441
10,IDF,0.140118902187886,0.502127401365705,-0.391905171026369,1.33380836484447
1,NAquitaine,0.188346826909887,-0.189513594458843,-0.372792110424605,0.199841288710146
2,NAquitaine,0.192546457840651,-0.882293553214715,-0.674566032820746,0.225536756820263
3,NAquitaine,0.189459506494429,-0.0834215683934439,-1.32709747174376,0.47599534048573
4,NAquitaine,0.115810790615814,-0.140831609880167,-0.948755025805789,0.667618700991695
5,NAquitaine,0.173824120741769,-1.01787702712468,-0.726914649212143,0.343680872686685
6,NAquitaine,0.170599143795427,-0.0444884273151556,-0.464834883454714,0.308517202526963
7,NAquitaine,0.215474716300537,0.0212815077529586,-1.04060373408934,0.349567190786248
8,NAquitaine,0.118622455863744,0.144261966769587,-0.406334247672349,0.526718776559865
9,NAquitaine,0.24068829418007,-0.344999848579652,-0.13079140496073,-0.298623781976042
10,NAquitaine,0.223978207967502,-0.622683087050459,-0.645071360464547,0.122601460854325
1,AURA,0.0236722296585726,0.534123152795453,-0.890715860895742,1.05222647239973
2,AURA,0.0586356179137529,0.284913679781985,0.494464958408922,0.273656805871216
3,AURA,0.0215877911068118,0.617629232926972,-0.165467372279182,0.923147330367948
4,AURA,0.033105409256025,0.554280659582982,-0.364939268723912,0.890609756995257
5,AURA,0.0511390526009582,0.221916515004869,-1.14513275393152,0.933441581091941
6,AURA,0.023441719725325,0.494564620500827,-0.688095602613034,1.02713069030624
7,AURA,0.0296871494630478,0.346041000869211,-0.929119062468308,1.05028306239801
8,AURA,0.0422931597506684,0.330572602439079,-0.834916107951597,0.961878090493124
9,AURA,-0.0249384916405621,0.644092549145476,-0.128297040220601,1.15391672031886
10,AURA,0.0420122904867857,0.284556259463478,-0.644469679784776,0.92473834783004
1,Centre,0.308163393518658,1.40677414479435,-0.362514631631913,-2.73705102379909
2,Centre,0.288221214843278,1.54369070302001,-0.487861960837173,-1.55650539522815
3,Centre,0.35059587480754,1.29869309284853,-0.554996626316581,-2.16516225025271
4,Centre,0.318867069160588,1.34991978953431,-0.384046057573336,-2.858554596099
5,Centre,0.287090203593509,1.67068902672295,-0.528768868765687,-1.52627846572713
6,Centre,0.267735937226444,1.73578181936939,-0.359906297089424,-1.53199368506636
7,Centre,0.271043925322808,1.72651434701435,-0.408986107596154,-1.39623255602582
8,Centre,0.27021619714457,1.77064582588081,-0.417871689545915,-1.4718099274069
9,Centre,0.326325400734187,1.39030428883913,-0.300691622700215,-3.83448409803453
10,Centre,0.335787246220346,1.38130091671905,-0.583259525389887,-1.98492122808151
1,BFC,-0.0440689157433769,0.188414606404879,-0.518310453654188,0.384551671790047
2,BFC,-0.0516881223610173,0.0386490991090862,-0.406159685538952,0.352584850162742
3,BFC,-0.0258110026815063,-0.25789553741237,-0.767852101651182,0.405674048081468
4,BFC,-0.0559012824787838,-0.148026938182106,-0.197859043181615,0.32342898176847
5,BFC,-0.0841151405509504,0.117680904113948,-0.838063283488,0.646642492317676
6,BFC,-0.0430521711265949,-0.331265948710387,-0.57070750463678,0.368073735923441
7,BFC,-0.0820687559132564,-0.331566280459352,-0.994896001644946,0.748224895860006
8,BFC,-0.0476532885092155,0.0386001677912175,-0.269033597427702,0.277379823030097
9,BFC,-0.0476789945377114,-0.180591141486823,-0.809742539745405,0.50459998740992
10,BFC,-0.0629371360133687,0.0511430123328708,-0.471020681967679,0.451829464274048
1,Normandie,0.085708098165195,1.77314724609242,1.99827194791764,-0.269578981768757
2,Normandie,0.170740037413868,1.55640336105552,1.69380936171983,-0.486076035232271
3,Normandie,0.0759484706634947,1.43119648915895,1.933107918579,-0.455820660354225
4,Normandie,0.12956015063544,1.57407047875977,1.94155298248665,-0.992049700444207
5,Normandie,0.0550723402188132,1.5900549833274,1.92441172299076,0.0424136492455861
6,Normandie,0.0639941052815483,1.83093880461631,1.8825134359717,0.57002022363636
7,Normandie,0.101475528104356,1.69653024963812,1.99178772743535,-0.734824746960836
8,Normandie,0.151395557979831,1.60215637014091,1.63222658054495,0.366141766364313
9,Normandie,0.0691319100439908,1.91817873138204,2.12939291739979,-2.45087328928491
10,Normandie,0.0586204464501477,1.56253897399308,2.06321854489762,-0.730214625092486
1,HDF,0.0273891053607563,1.20064067079961,1.19414044687227,-0.350807063501758
2,HDF,0.0385834167182144,1.18950442426167,1.35934059737352,-3.09924119634007
3,HDF,0.0130190301791353,1.10118027682912,1.34468863075577,-0.827608577720727
4,HDF,0.0142275366885484,1.1541175218318,1.39082812998746,-2.46899485419347
5,HDF,0.0382408807943738,1.27169944665362,1.3653087203288,-2.09956254911266
6,HDF,0.000338752653287124,1.11068048704814,1.41822543522893,-1.68337379226937
7,HDF,0.0182097774280579,1.07057263843611,1.36450811079302,-2.06834092575141
8,HDF,0.0166610885687818,1.07910305728858,1.41154253422076,-2.66094526033801
