id,b_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,b_mean,Dq_mean,E0_mean,A0_mean,b_mode,Dq_mode,E0_mode,A0_mode,b_sd,Dq_sd,E0_sd,A0_sd
IDF,2.27854,1.80766,264.824,1604.02,2.28521,1.79644,269.701,1574.4,2.28978,1.78851,256.602,1564.11,0.0210151,0.0912156,89.9954,88.016
NAquitaine,2.37969,0.758117,485.721,450.17,2.36351,0.780859,401.393,510.084,2.37362,0.770016,420.056,481.604,0.0719553,0.180427,168.918,127.396
AURA,2.0638,1.63523,425.238,934.88,2.05613,1.64431,511.608,904.562,2.06545,1.62437,451.735,909.263,0.0303717,0.167212,258.859,182.367
Centre,2.68717,4.42369,446.469,41.9904,2.66229,4.43454,449.121,49.5077,2.66633,4.42103,451.989,44.3346,0.082825,0.790885,76.7379,30.4682
BFC,1.88635,0.886852,270.357,651.369,1.88635,0.908572,300.197,629.132,1.8903,0.890002,300.314,620.011,0.0373944,0.123204,97.7167,91.0765
Normandie,2.19774,4.94259,4123.67,384.653,2.19704,4.97865,4418.94,221.766,2.19272,4.8792,4215.01,336.136,0.0882922,0.767136,476.576,187.784
HDF,2.03011,3.25126,2430.07,88.1852,2.02854,3.2758,2409.43,102.577,2.03353,3.2514,2411.9,83.624,0.0382248,0.303833,209.874,82.7285
GrandEst,1.98705,2.69534,435.743,1875.75,1.98767,2.68907,439.682,1872.24,1.99022,2.68328,432.332,1860.68,0.0290705,0.162086,111.178,142.124
PaysLoire,1.8552,0.111756,2145.73,1422.49,1.85688,0.120368,2557.5,1188.58,1.8443,0.118747,1913.26,1604.53,0.0874065,0.0826221,1139.64,909.547
Bretagne,1.85101,3.76974,1159.72,181.271,1.8539,3.78051,1225.7,133.827,1.85024,3.76264,1189.79,157.436,0.0560072,0.573599,184.401,90.023
Occitanie,2.18575,0.518618,476.918,563.292,2.17455,0.535618,495.268,570.542,2.16708,0.564464,426.976,617.328,0.0505933,0.139535,198.701,146.204
PACA,2.1587,0.734953,199.263,876.94,2.16443,0.733055,176.139,879.673,2.16122,0.739395,187.61,875.841,0.0415549,0.116545,88.7824,85.6366
Corse,0.967386,0.0348583,725.568,156.929,0.932531,0.0358711,711.22,202.337,0.935924,0.0335574,695.936,208.435,0.0814743,0.0253813,82.3445,109.446
