b_pop,1,-0.14351,0.90135,-0.78862,0.91312,-0.66366,0.14707,0.89218,0.77365,-0.88857
Dq_pop,-0.14351,1,-0.15269,0.14176,-0.15125,0.13299,-0.17404,-0.15176,-0.12767,0.15366
E0_pop,0.90135,-0.15269,1,-0.86115,0.97091,-0.75377,0.16038,0.94925,0.8197,-0.96963
A0_pop,-0.78862,0.14176,-0.86115,1,-0.86071,0.7093,-0.14648,-0.85977,-0.74242,0.87503
De_pop,0.91312,-0.15125,0.97091,-0.86071,1,-0.75098,0.15418,0.96222,0.8232,-0.97564
omega_b,-0.66366,0.13299,-0.75377,0.7093,-0.75098,1,-0.15666,-0.76209,-0.62206,0.79203
omega_Dq,0.14707,-0.17404,0.16038,-0.14648,0.15418,-0.15666,1,0.15374,0.1322,-0.15843
omega_E0,0.89218,-0.15176,0.94925,-0.85977,0.96222,-0.76209,0.15374,1,0.79948,-0.96474
omega_A0,0.77365,-0.12767,0.8197,-0.74242,0.8232,-0.62206,0.1322,0.79948,1,-0.81528
omega_De,-0.88857,0.15366,-0.96963,0.87503,-0.97564,0.79203,-0.15843,-0.96474,-0.81528,1
