rep,id,b1,Dq,E0,betat1,betat2
1,IDF,2.13402160411613,1.73999668281663,3175.77259513674,-0.184639116127823,-1.11303479184306
2,IDF,2.13563978013386,1.83935831798397,3169.56116765612,-0.184639116127823,-1.11303479184306
3,IDF,2.11823921278833,1.73777935643269,3315.65224819655,-0.184639116127823,-1.11303479184306
4,IDF,2.13488883790655,1.73639029370509,3059.2725669544,-0.184639116127823,-1.11303479184306
5,IDF,2.11882790554696,1.72530616318131,3308.712854891,-0.184639116127823,-1.11303479184306
6,IDF,2.13612744458106,1.80974605364663,3222.64030649558,-0.184639116127823,-1.11303479184306
7,IDF,2.13454701348265,1.72802506529302,3120.09905755839,-0.184639116127823,-1.11303479184306
8,IDF,2.112256810403,1.70597498172578,3358.43039998933,-0.184639116127823,-1.11303479184306
9,IDF,2.12816798509095,1.70618048507527,3176.14420336347,-0.184639116127823,-1.11303479184306
10,IDF,2.14122567995699,1.73298482428207,3069.37258327088,-0.184639116127823,-1.11303479184306
1,NAquitaine,2.40055521218215,0.507533603453689,426.118831704884,-0.184639116127823,-1.11303479184306
2,NAquitaine,2.41880776092684,0.550791347686613,410.240262255264,-0.184639116127823,-1.11303479184306
3,NAquitaine,2.34232528515699,0.310755675537828,479.367545298246,-0.184639116127823,-1.11303479184306
4,NAquitaine,2.42327354471962,0.431491398775402,378.79827553753,-0.184639116127823,-1.11303479184306
5,NAquitaine,2.38530195528262,0.536219671422631,443.266822045314,-0.184639116127823,-1.11303479184306
6,NAquitaine,2.3583243000728,0.421641022970641,449.899334934296,-0.184639116127823,-1.11303479184306
7,NAquitaine,2.40032022170165,0.858377015507151,452.813322318208,-0.184639116127823,-1.11303479184306
8,NAquitaine,2.41366725399891,0.488564734194109,384.532310761073,-0.184639116127823,-1.11303479184306
9,NAquitaine,2.4505105357313,0.48928787647461,342.717713839583,-0.184639116127823,-1.11303479184306
10,NAquitaine,2.47613539221071,0.55455555167009,329.193268416933,-0.184639116127823,-1.11303479184306
1,AURA,1.98027001929554,0.634709225048785,651.878662330614,-0.184639116127823,-1.11303479184306
2,AURA,2.00140243598474,0.472729673579998,367.518369238226,-0.184639116127823,-1.11303479184306
3,AURA,1.99900737194146,0.605775669773501,464.230725560008,-0.184639116127823,-1.11303479184306
