rep,id,b,Dq,E0,A0,eta_b,eta_Dq,eta_E0,eta_A0
1,1,0.15344236289287,0.656553132735804,4.99907239662235,7.40485345149361,0.138511041330583,0.648713663169713,-1.44558667686039,1.46883826403777
2,1,0.163981327701202,0.545593600638436,5.76336538945172,7.2999240671583,0.149050006138914,0.537754131072345,-0.681293684031024,1.36390887970246
3,1,0.15600599178562,0.599999480379255,5.32974004364753,7.37365430139219,0.141074670223333,0.592160010813164,-1.11491902983521,1.43763911393635
4,1,0.156442074977703,0.612445316634956,5.16679668053519,7.40156087477265,0.141510753415415,0.604605847068865,-1.27786239294756,1.46554568731681
1,2,0.168091623876642,-0.513089208577096,5.23978460152787,6.42036863533674,0.153160302314355,-0.520928678143186,-1.20487447195488,0.484353447880903
2,2,0.202396792004938,-0.63794181009583,6.06363443336696,6.00763784259607,0.18746547044265,-0.645781279661921,-0.381024640115792,0.0716226551402306
3,2,0.150807203881039,-0.118699832687546,6.13273696931161,6.27964980038542,0.135875882318752,-0.126539302253636,-0.311922104171143,0.343634612929586
4,2,0.153887893455233,-0.0522487652681433,6.40886168451092,6.13797212869077,0.138956571892945,-0.060088234834234,-0.0357973889718286,0.201956941234935
1,3,0.0468268181033268,0.514655248153585,6.18233224191529,6.73486984180022,0.0318954965410393,0.506815778587494,-0.262326831567462,0.798854654344381
2,3,0.0515057080802549,0.41009766947885,6.30951566091513,6.72116151895946,0.0365743865179673,0.402258199912759,-0.135143412567619,0.785146331503623
3,3,0.0270783292756893,0.398171132190595,6.16401830580797,6.85925923047818,0.0121470077134017,0.390331662624505,-0.28064076767478,0.923244043022346
4,3,0.0540129065759203,0.488547144804087,6.36604016654029,6.66770635483186,0.0390815850136328,0.480707675237997,-0.0786189069424568,0.731691167376018
1,4,0.372584729634195,1.55321062760362,6.09225356885919,2.73862760187199,0.357653408071907,1.54537115803753,-0.35240550462356,-3.19738758558385
2,4,0.339556835311583,1.47713280957203,6.15899790154344,2.633971819293,0.324625513749296,1.46929334000594,-0.285661171939306,-3.30204336816284
3,4,0.365890880083281,1.43350812451098,5.82261167614486,4.01564151794014,0.350959558520993,1.42566865494489,-0.622047397337885,-1.9203736695157
4,4,0.295426186825625,1.42362690717584,6.02436444772394,4.25899306346379,0.280494865263338,1.41578743760975,-0.420294625758805,-1.67702212399205
1,5,-0.0358158534344521,-0.0543655067424043,5.86060725107733,6.40948050896868,-0.0507471749967396,-0.0622049763084949,-0.584051822405414,0.473465321512844
2,5,-0.0643159151829903,0.0746152307902019,6.24026863506545,6.36026236263935,-0.0792472367452779,0.0667757612241112,-0.204390438417297,0.424247175183512
3,5,-0.0152245267485019,-0.299415355912004,5.80265206355214,6.28438121886473,-0.0301558483107894,-0.307254825478094,-0.642007009930604,0.348366031408889
4,5,-0.0230298042708789,-0.121008222875117,6.08236296027146,6.21155458951405,-0.0379611258331664,-0.128847692441207,-0.362296113211285,0.275539402058206
1,6,0.132776315979525,1.55673060767206,8.09509878934677,6.65332889136982,0.117844994417237,1.54889113810597,1.65043971586402,0.717313703913985
2,6,0.203702117283023,1.94662489279426,8.25791771283336,4.75052439596737,0.188770795720735,1.93878542322817,1.81325863935062,-1.18549079148847
3,6,0.104055888443035,1.73540145553961,8.47274927035439,5.4517029712054,0.0891245668807479,1.72756198597352,2.02809019687164,-0.484312216250441
4,6,0.0722640954863982,1.7688329019881,8.40367475995141,5.66139662962825,0.0573327739241106,1.76099343242201,1.95901568646866,-0.274618557827592
1,7,0.0104315401158896,1.10146829400092,7.82199679518016,5.23218789151686,-0.00449978144639796,1.09362882443483,1.37733772169741,-0.703827295938978
2,7,0.0398632943381199,1.22420660198485,7.8192683054629,3.77986341028834,0.0249319727758323,1.21636713241876,1.37460923198016,-2.15615177716749
3,7,0.0466390405256531,1.14177103690587,7.74087295541433,4.0021424754286,0.0317077189633656,1.13393156733978,1.29621388193158,-1.93387271202724
4,7,0.0894800210747966,1.17589095308233,7.56809944422193,4.81973964871902,0.0745486995125091,1.16805148351624,1.12344037073919,-1.11627553873682
1,8,0.0461222291975315,1.00316903190046,6.00910315401413,7.47225148632173,0.031190907635244,0.995329562334366,-0.435555919468619,1.53623629886589
2,8,0.0331022793262526,0.991334047270334,6.42027916182388,7.47232194850555,0.018170957763965,0.983494577704244,-0.0243799116588708,1.53630676104971
3,8,0.034044877306783,1.02887661549448,5.57125674064696,7.59321385889225,0.0191135557444954,1.02103714592838,-0.87340233283579,1.65719867143642
4,8,0.0325867001946772,0.98186007280466,5.88306252682748,7.56593429712563,0.0176553786323897,0.974020603238569,-0.56159654665527,1.62991910966979
