rep,id,b,Dq,E0,A0,Di,eta_b,eta_Dq,eta_E0,eta_A0,eta_Di
1,1,-0.35151319620826,1.77453939643516,4.86664086389353,8.16942091348342,3.61842591607693,-0.0829911648447214,0.819458053401749,-1.55377998858387,1.11162041829305,0.876526558919548
2,1,-0.106508673599064,1.53236620141352,5.02332997407235,7.95341641452845,2.59141357691529,0.162013357764475,0.577284858380101,-1.39709087840506,0.895615919338081,-0.150485780242094
3,1,-0.356239953138455,1.74815744230867,5.52020230534961,8.03746594389987,4.12167594262393,-0.0877179217749166,0.793076099275252,-0.9002185471278,0.979665448709505,1.37977658546654
4,1,-0.208510256820823,1.57047674629751,5.57721497050138,7.91821910926626,3.07777918328918,0.0600117745427156,0.615395403264096,-0.843205881976022,0.860418614075898,0.335879826131798
1,2,-0.00379473993462135,0.586008681150754,6.20943520221684,6.88567915396887,2.34007587354888,0.264727291428917,-0.369072661882662,-0.210985650260564,-0.172121341221495,-0.401823483608509
2,2,-0.111965014895703,0.336857399898295,6.44591121627351,6.57953945612148,3.11900113823978,0.156557016467836,-0.618223943135121,0.0254903637961066,-0.478261039068885,0.377101781082399
3,2,0.0303530476411263,0.526049444943307,5.6658031836034,6.84630454582974,2.34816520043498,0.298875079004665,-0.429031898090109,-0.754617668874003,-0.211495949360622,-0.393734156722403
4,2,-0.0248873139352101,0.795085972458015,5.93768627529325,6.92534768834621,2.45189329627534,0.243634717428328,-0.159995370575401,-0.482734577184156,-0.132452806844153,-0.29000606088205
1,3,-0.462974432427433,1.61587631362489,5.91487152497738,7.57454073686672,3.52685942543865,-0.194452401063895,0.660794970591469,-0.50554932750003,0.51674024167636,0.784960068281267
2,3,-0.6367245596346,1.88332338682214,5.43794357541576,7.85906001000525,4.53234634219694,-0.368202528271061,0.928242043788724,-0.982477277061648,0.801259514814886,1.79044698503956
3,3,-0.331171148051815,1.513377399697,5.92529385824582,7.47835690800029,2.92472226496703,-0.0626491166882767,0.558296056663584,-0.495126994231583,0.420556412809926,0.182822907809647
4,3,-0.711249936129291,1.94627083121316,5.68282868636071,8.06845069724678,4.57431980636181,-0.442727904765752,0.99118948817974,-0.737592166116692,1.01065020205641,1.83242044920442
1,4,-0.0125927150061874,2.69190567393328,5.65205137192062,5.64396730568575,3.76392091707225,0.255929316357351,1.73682433089986,-0.76836948055679,-1.41383318950461,1.02202155991486
2,4,-0.12775652410602,2.61605105912108,6.57580420811948,5.47388335527663,3.79600720990017,0.140765507257518,1.66096971608767,0.155383355642073,-1.58391713991374,1.05410785274279
3,4,-0.0531726802433116,2.67482577653214,6.07781032879817,5.71861840661899,3.66411440083611,0.215349351120227,1.71974443349873,-0.342610523679233,-1.33918208857137,0.922215043678728
4,4,0.0170307285782023,2.44178430243949,5.98927644702851,5.19874201503597,4.07356496081812,0.285552759941741,1.48670295940607,-0.431144405448893,-1.85905848015439,1.33166560366073
1,5,-0.0920388511878969,0.715929377965465,6.02067318419844,6.83594865136275,1.89903190525168,0.176483180175642,-0.239151965067951,-0.399747668278965,-0.221851843827617,-0.842867451905708
2,5,-0.263570741301019,0.781253696213179,5.9863088842326,6.87739871806689,2.24332482994359,0.00495129006251943,-0.173827646820236,-0.43411196824481,-0.180401777123475,-0.498574527213794
3,5,0.143491866132835,0.444948371295412,5.4974738240118,6.75986414497344,1.48575271470411,0.412013897496373,-0.510132971738003,-0.922947028465612,-0.29793635021692,-1.25614664245328
4,5,-0.295331914375033,0.776484381277552,6.31695211962194,6.76756644374646,2.38049591100822,-0.0268098830114943,-0.178596961755863,-0.103468732855468,-0.290234051443909,-0.361403446149168
1,6,-0.0950457474905708,2.23718381689513,8.29796680406709,7.49082568168211,2.47170576835968,0.173476283872968,1.28210247386172,1.87754595158968,0.43302518649175,-0.270193588797707
2,6,-0.333303562725097,2.52012846196291,8.22975249037285,7.64056160324526,3.96762454063185,-0.0647815313615582,1.56504711892949,1.80933163789544,0.582761108054892,1.22572518347446
3,6,-0.194468957269917,2.58157587283334,8.51703335206284,7.29396482591133,3.03422249669018,0.0740530740936217,1.62649452979992,2.09661249958544,0.236164330720967,0.29232313953279
4,6,-0.161690298615419,2.72572463003097,8.44605327430178,7.13482585666056,2.72754792276527,0.10683173274812,1.77064328699755,2.02563242182438,0.0770253614701923,-0.0143514343921129
1,7,-0.489099912749881,2.48227432049956,8.00518579515636,6.76974261905444,3.75960006323624,-0.220577881386342,1.52719297746614,1.58476494267895,-0.288057876135928,1.01770070607886
2,7,-0.447600204707359,2.35320185198542,7.76159243043639,6.81468023930346,3.66465928087083,-0.17907817334382,1.39812050895201,1.34117157795899,-0.243120255886902,0.922759923713441
3,7,-0.563219343535022,2.47317078788873,8.18335929975605,6.60478749712518,4.4881500107795,-0.294697312171483,1.51808944485531,1.76293844727864,-0.453012998065181,1.74625065362211
4,7,-0.569646923843452,2.48887345780579,8.07445145714381,6.78301282947881,4.45536181316447,-0.301124892479913,1.53379211477238,1.6540306046664,-0.274787665711557,1.71346245600709
1,8,-0.330125856506004,1.9765836322947,5.27650588444895,8.24320961171281,2.57034154315596,-0.061603825142465,1.02150228926129,-1.14391496802845,1.18540911652245,-0.171557814001424
2,8,-0.435596998316517,2.08064969239451,5.98651926368498,8.25128067312951,2.94540818365719,-0.167074966952979,1.12556834936109,-0.43390158879243,1.19348017793914,0.203508826499806
3,8,-0.347304618233155,1.91817691887198,6.33208921696284,8.12802304038828,2.68607345105026,-0.0787825868696161,0.963095575838565,-0.0883316355145691,1.07022254519792,-0.055825906107124
