rep,id,eta_b,eta_Dq,eta_E0,eta_A0,eta_Di
1,IDF,0.252064925231056,0.301891214696352,-0.745851238007725,0.800493450040327,0
2,IDF,0.233096661766042,0.408207523575105,-1.83201561683642,0.926210649631366,0
3,IDF,0.248844927061114,0.360156563161708,-1.24745932876398,0.856747933671175,0
4,IDF,0.238342170761783,0.322515364281956,-1.06643061432672,0.872140033361334,0
5,IDF,0.255138188263541,0.341527003495219,-1.56311589302976,0.839922397896887,0
6,IDF,0.23257573528171,0.374914201239395,-1.28802817630977,0.910835868176975,0
7,IDF,0.264838553965674,0.413716648560239,-1.46738881392778,0.790795650971806,0
8,IDF,0.24016607398726,0.38585061043833,-2.07652056977361,0.895341687337216,0
9,IDF,0.277741401991273,0.243244210576392,-2.07251913127578,0.754833857769006,0
10,IDF,0.230937515587156,0.34483867313502,-1.18313586042168,0.916619863630082,0
1,NAquitaine,0.309399230175826,-0.597356564502651,-0.542975276867676,-0.193818144548354,0
2,NAquitaine,0.216289963736524,-0.31719883582821,-0.810199664241376,0.094831532391325,0
3,NAquitaine,0.260117220559348,-0.175963208381064,-0.983610288545771,-0.0244979059909627,0
4,NAquitaine,0.198331248605596,-0.330694150275538,-0.975135491020059,0.138946764499005,0
5,NAquitaine,0.306286155276733,-0.372893122360678,-0.546196566069024,-0.187991935570083,0
6,NAquitaine,0.268299070153436,-0.933387789017346,-0.360831229839486,-0.198613166792333,0
7,NAquitaine,0.292098216049591,-0.505469840764688,-1.10177259351092,-0.115242118807041,0
8,NAquitaine,0.147266006870731,-0.300979403600048,-0.439500112479233,0.175910435886605,0
9,NAquitaine,0.254703879028216,-1.07564252224814,-1.52580541189048,-0.00285414171148849,0
10,NAquitaine,0.329114843941717,-0.482964703997088,-0.0986810931459359,-0.469904848767966,0
1,AURA,0.089462059347575,0.298338747620094,-0.544728869982226,0.414376991453794,0
2,AURA,0.0889063994081763,0.418397526718502,-0.00507460342163864,0.330926384057334,0
3,AURA,0.059109421037898,0.37044726353084,-0.315974557256397,0.467131827231153,0
4,AURA,0.0647999291032383,0.421873883102136,-0.437709682521752,0.47435101920562,0
5,AURA,0.0828654127291131,0.26827573258173,-0.985892736340898,0.428977925924971,0
6,AURA,0.0906631467084074,0.349247711798612,-0.521445575314337,0.411756245995765,0
7,AURA,0.0841188131991331,0.392340281792012,-0.945284724396653,0.467391888652368,0
8,AURA,0.089554006941262,0.449558529021654,-1.34388189727545,0.46038338011402,0
9,AURA,0.132121385641819,0.195497050998402,-1.61116186606129,0.318661532070913,0
10,AURA,0.0513705641975503,0.487208666370679,-1.21202180266794,0.550910571461111,0
1,Centre,0.495885505602007,1.49603309957414,-0.165474855381871,-1.89645575359805,0
2,Centre,0.583647908649435,0.826628549462467,-0.00568519785041918,-3.22967069610606,0
3,Centre,0.468864271017195,1.3364929621993,-0.257378142061049,-1.45710521761379,0
4,Centre,0.514048225151601,0.860278962549099,-0.736584699866285,-1.46127775650807,0
5,Centre,0.558820379592376,1.10867493193083,-0.339176138768627,-2.39037353628269,0
6,Centre,0.502239328273267,1.31874393038775,-0.11478759751509,-2.1178370504664,0
7,Centre,0.45511048579489,1.38173536131752,-0.122901840518073,-1.79839740082653,0
8,Centre,0.506298720753762,1.15781501057919,-0.308919224286319,-1.95155968628192,0
9,Centre,0.542967817714825,1.34144380117299,-0.771647112044559,-1.55787186941322,0
10,Centre,0.461327483977165,1.55685031329317,-0.538294913595171,-1.3300439509693,0
1,BFC,-0.0317506832181768,-0.195746169563404,-0.404423825540776,-0.229037405761238,0
2,BFC,-0.0907452000677415,-0.44591089067649,-0.733044571545584,0.00927817849917184,0
3,BFC,-0.00237086741703854,-0.526907112154656,-0.457219371408244,-0.275714036770979,0
4,BFC,0.00109479804802591,-0.400777950001444,-0.785382377809926,-0.173566742552409,0
5,BFC,-0.0298164024729949,-0.321220634341311,-0.465544116087066,-0.158339391038282,0
6,BFC,-0.119709386697785,-0.0622365836513093,-0.0594411262236254,-0.011343124883274,0
7,BFC,-0.048035649567883,-0.318620553064823,-0.345948736542212,-0.095304793024932,0
8,BFC,-0.100408025954604,-0.264802584157704,-0.0907803637554765,-0.0659214468421717,0
9,BFC,-0.105217644644921,-0.0719651102777466,-0.308574353041399,-0.0123032750002007,0
10,BFC,-0.0778537193993003,-0.433039871160676,0.0490257308316636,-0.218839464006843,0
1,Normandie,0.275535005729501,1.15999760759377,1.84091577525384,0.1965598797331,0
2,Normandie,0.311758306040866,1.09776543583741,2.05486311287194,-1.17558334402779,0
3,Normandie,0.373620082672884,1.37643048792665,2.22601572298267,-2.46357372424156,0
4,Normandie,0.278704889828016,1.18931945443234,2.19680871838903,-0.74752527541395,0
5,Normandie,0.199904903133764,1.34878564649855,2.01960420678886,0.405493481470349,0
6,Normandie,0.386750767763602,1.04563617713949,1.7377325584257,-0.0338285440303731,0
7,Normandie,0.324321437383229,1.15280675379879,1.99533624024081,-0.750097056690954,0
8,Normandie,0.360136302769462,1.24701911232058,1.86069205658813,-0.163578934469057,0
9,Normandie,0.167236800188702,1.1529605639769,1.90435359410085,0.352005530241375,0
10,Normandie,0.260959086444869,1.4128880152645,1.95036849740027,0.0871171487867339,0
1,HDF,0.08513751361432,1.03714071752952,1.59960468455211,-0.838099352762108,0
2,HDF,0.160227077024825,0.959662994141373,1.45555234212467,-1.23629416719779,0
3,HDF,0.0793892008546372,1.1965075642896,1.50101543273451,-0.340133142781596,0
4,HDF,0.103171764057328,1.05556108453969,1.55736773441728,-0.751255735305603,0
5,HDF,0.138972356843618,1.02196567740772,1.20523095268959,-0.325628563438817,0
6,HDF,0.1248206630932,0.993370121020093,1.5448858952245,-0.973170517827417,0
7,HDF,0.115364494003521,1.03236791636758,1.38264865672515,-0.419379934657065,0
8,HDF,0.16190678673727,0.943090417575428,1.43618535602678,-1.09029365740326,0
9,HDF,0.134706101558531,1.0990233858455,1.28392008939291,-0.404420083327762,0
10,HDF,0.118340112608825,1.05680417056648,1.61471308404194,-1.52501457853236,0
1,GrandEst,0.0245863954324776,0.761517245096175,-0.570623830648214,1.04766328079028,0
2,GrandEst,0.0521841026485411,0.738727088366655,-0.515036900419458,0.970012070365195,0
3,GrandEst,-0.0235541603292139,0.826565015826609,-0.508168960936978,1.2080344896533,0
4,GrandEst,0.0200862505549578,0.846711188809743,-0.590157773727949,1.08616167502583,0
5,GrandEst,0.000395387377409731,0.75691733499464,-0.419260839491162,1.15457844320362,0
6,GrandEst,0.0150187573526035,0.817514610815049,-0.323258605190501,1.08333458736001,0
7,GrandEst,-0.0340904569302557,0.84353987186447,-0.919551696383835,1.2770356461449,0
8,GrandEst,0.0155225994822184,0.800813496991452,-0.375677653779824,1.07710959735153,0
9,GrandEst,-0.0275876246681181,0.890223623633959,-0.797164931969289,1.24433323753973,0
10,GrandEst,0.0160624185476199,0.76887687614778,-0.878791156070175,1.12446088587445,0
1,PaysLoire,-0.176542157599449,-2.20048801807862,0.782166568120238,1.30184773473284,0
2,PaysLoire,0.0594747498900747,-2.18351011848873,1.37640975579405,0.450266404687858,0
3,PaysLoire,-0.00487748558210952,-2.27601911784504,1.1532539892851,0.744953554319072,0
4,PaysLoire,-0.127115088121848,-2.65074681741258,1.05388811927706,1.06554982952391,0
5,PaysLoire,-0.132359372793486,-2.64134875807443,1.06737098009029,1.26835618946194,0
6,PaysLoire,-0.00960165173177134,-1.62355287046667,1.32836510133773,0.765187431535121,0
7,PaysLoire,0.0336498092111667,-2.06872649096242,0.776491249101476,0.840967372322062,0
8,PaysLoire,-0.130493634927109,-1.86344768905107,1.26262477858274,1.17258720984411,0
9,PaysLoire,-0.161705193184887,-1.76837085314445,1.18710835431367,1.20381329563338,0
10,PaysLoire,0.0322755147876731,-2.9362785897123,1.58360116016308,0.33736638656607,0
1,Bretagne,-0.253082874098088,1.32721567607706,0.310756422354921,0.384732782531889,0
2,Bretagne,-0.140348271798599,0.921013563394388,0.220258867893172,0.00477392179395406,0
3,Bretagne,-0.0066400991289528,1.36105844569017,0.217614526199201,-0.439812736299345,0
4,Bretagne,-0.0248201660906635,1.14825065898886,0.694962502627104,-0.648782406955021,0
5,Bretagne,-0.0895802052127786,0.966044539567899,-0.0412170555718412,-0.0518308624053908,0
6,Bretagne,-0.069592351903097,1.11276795956795,0.992433149163112,-1.26506707502164,0
7,Bretagne,-0.174117753492283,1.33879459340958,0.414153056026351,0.124898222795266,0
8,Bretagne,-0.145226885452208,1.30990496233274,0.504815117950339,-0.00333986410474363,0
9,Bretagne,-0.174340617825202,1.32684363802902,0.256430089940113,0.120208995122706,0
10,Bretagne,0.030346197514862,0.917554608262823,0.753310735235259,-1.43119473049874,0
1,Occitanie,-0.0129457484037526,-0.372661476768912,-1.03334765598984,0.628815553071998,0
2,Occitanie,0.116779415035321,-0.510577968164358,-0.985718350180813,0.218969354222585,0
3,Occitanie,0.110796319242129,-0.405253559813259,-0.628531639108749,0.187629065726289,0
4,Occitanie,0.139125359786019,-0.7677025209569,-0.57074907272254,0.135006525059583,0
5,Occitanie,0.0328310471170944,-0.229059245373097,-0.377990185993868,0.411462333348333,0
6,Occitanie,0.16523348577344,-0.61999001627372,-0.316053047136321,-0.0712567586184206,0
7,Occitanie,0.0885270354547538,-0.612255060056947,-0.652010610369651,0.326691134695142,0
8,Occitanie,0.10210263704949,-0.47944093778305,-0.562892587663247,0.160467878147819,0
9,Occitanie,0.131862979581341,-0.52726062429879,-0.766116473322273,0.181650439703057,0
10,Occitanie,0.10788891204326,-0.407700622735741,-0.0592725036734971,0.0981248626549929,0
1,PACA,0.171388727113032,-0.792327350999507,-0.52758440321855,0.0911082930772335,0
2,PACA,0.184342492962669,-0.992066518000128,-2.46182008606181,0.206196096497043,0
3,PACA,0.134760645327472,-0.614726113787662,-0.399901722108563,0.184434971452997,0
4,PACA,0.171006504131588,-0.655985625404047,-1.14610602135908,0.203550221224803,0
5,PACA,0.178876812803405,-0.615155164114221,-0.583252226485935,0.123817704055699,0
6,PACA,0.174296553852581,-0.888485686333236,-1.50618240630577,0.189848536841561,0
7,PACA,0.132671027259574,-0.802201582706825,-0.429002430582175,0.198678298682109,0
8,PACA,0.167417494004804,-0.881881078802628,-1.43948046907268,0.192778330535528,0
9,PACA,0.129415018949155,-0.591215275899737,-0.674951612426286,0.26142365456835,0
10,PACA,0.114453637081448,-0.636553352226524,-0.471382306238879,0.266076387807813,0
1,Corse,-1.48695366822169,-0.888671398392407,0.279476841282081,-0.341549169980256,0
2,Corse,-1.45952935083391,-0.674657138443731,0.387237157190088,-0.855054629532864,0
3,Corse,-1.26959250474639,-2.5251476504682,0.05541486225188,-0.155509266440738,0
4,Corse,-1.55478501274826,-2.88470116857369,0.11666387057435,0.0415281904948917,0
5,Corse,-1.28936231303724,-0.558341128709036,0.343759523639726,-0.99981482500419,0
6,Corse,-1.36447325235516,-1.48096025968268,0.16267467445203,-0.420296188840879,0
7,Corse,-1.80453512561322,-0.794786252683378,0.480087813289116,-0.316908173701137,0
8,Corse,-1.31921066436509,-1.33534517211527,0.263202226174646,-0.950847985612062,0
9,Corse,-1.65413838558646,-0.891654893325048,0.368504636250786,-0.310087219110787,0
10,Corse,-1.82166308843593,-0.630632834506563,0.302337846829673,0.0823724702951767,0
