rep,id,b1,Dq,E0,A0,betat1
1,IDF,0.999186788663078,1.84872274107066,2622.54648690992,484.524796175958,-0.905324225838287
2,IDF,0.990323070503198,1.81070185285306,2996.78105114279,368.153477168358,-0.905324225838287
3,IDF,0.983100848237793,1.88884871353991,2589.79004904385,668.054936875344,-0.905324225838287
4,IDF,0.992164847683181,1.82275924168082,2253.46986095481,696.85579934575,-0.905324225838287
5,IDF,0.990949587852448,1.95938323489374,1947.63585202548,871.623057386922,-0.905324225838287
6,IDF,0.99657091104391,1.92979923640491,3133.92027205292,274.642521345235,-0.905324225838287
7,IDF,0.97767278485808,1.91529768994796,2951.7073502194,524.222118649808,-0.905324225838287
8,IDF,0.989556386687322,1.87335876581694,2520.87062756672,613.353283914384,-0.905324225838287
9,IDF,0.982680088738673,1.93505960475702,2637.59605588363,612.451485506988,-0.905324225838287
10,IDF,0.982846972097415,1.84105045060588,1905.58430477306,922.470543167275,-0.905324225838287
1,NAquitaine,1.08368001513604,0.600288336496392,512.553451990625,70.0065054123427,-0.905324225838287
2,NAquitaine,1.07244102603325,0.692287237549269,615.839452712181,41.3905762229063,-0.905324225838287
3,NAquitaine,1.07852779963601,0.833050356615017,522.493350374853,90.4516327881973,-0.905324225838287
4,NAquitaine,1.08675451358628,0.663335447758958,569.490692234904,57.8215783093436,-0.905324225838287
5,NAquitaine,1.05972922347384,0.667683048365102,317.093909167933,203.400417069666,-0.905324225838287
6,NAquitaine,1.08594410185355,0.699978109134501,565.161852532496,53.8203447729167,-0.905324225838287
7,NAquitaine,1.06256957319508,0.701540453655936,674.956008735886,35.842668132696,-0.905324225838287
8,NAquitaine,1.09309914237757,0.54475440115043,375.463127008583,112.981529709106,-0.905324225838287
9,NAquitaine,1.06739609072987,0.605968549465045,533.273222596727,87.0530989198462,-0.905324225838287
10,NAquitaine,1.10020443966231,0.73719739483882,367.050514168953,117.589371439613,-0.905324225838287
1,AURA,0.947236787316383,0.626431244516784,1626.46369446827,14.7077984504537,-0.905324225838287
2,AURA,0.963684841658569,0.841636570994389,1602.1924217898,0.94438003923092,-0.905324225838287
3,AURA,0.956218170533773,0.743306362056677,1339.29824543639,129.563737037188,-0.905324225838287
4,AURA,0.946668098417794,0.796161009243158,1577.15798316576,86.0538943175102,-0.905324225838287
5,AURA,0.956996368040575,0.735716466068468,1644.51842344478,13.8315407407464,-0.905324225838287
6,AURA,0.943961743134623,0.795759754515686,1485.47004051899,138.892717996204,-0.905324225838287
7,AURA,0.976302432592881,0.763452688693822,1484.50695691537,4.0198769264919,-0.905324225838287
8,AURA,0.961070472685322,0.632813480242443,1544.68217734994,1.95182727686652,-0.905324225838287
9,AURA,0.968628260883595,0.691026652353795,1383.19488750001,81.4184017366262,-0.905324225838287
10,AURA,0.96933472935422,0.722522261958888,1569.92676916219,9.56340930777904,-0.905324225838287
1,Centre,1.2384033777595,5.24024741331707,570.905682705087,281.983549381013,-0.905324225838287
2,Centre,1.14854930087834,5.33646119001716,529.418500367565,485.283524694091,-0.905324225838287
3,Centre,1.19395087980902,4.54028632641938,443.269307781978,381.486910913532,-0.905324225838287
4,Centre,1.22472566192427,5.31914559018014,629.151419730776,325.429491070543,-0.905324225838287
5,Centre,1.23181385770144,5.17722801699218,267.132643832508,424.323877712464,-0.905324225838287
6,Centre,1.16529856664623,4.60183386444626,365.604854042863,497.442947852179,-0.905324225838287
7,Centre,1.2244337599637,5.51929417264389,972.220820788663,200.367051197556,-0.905324225838287
8,Centre,1.16711453172629,4.38220630126779,485.881879136846,437.887093236446,-0.905324225838287
9,Centre,1.17343284399687,4.51378677901394,565.774736978561,390.112128194306,-0.905324225838287
10,Centre,1.22499727682453,4.73893332237955,213.667612025829,450.415968947071,-0.905324225838287
1,BFC,0.838340971675072,0.741146019581123,915.71269927956,33.7659579804665,-0.905324225838287
2,BFC,0.829019489165528,0.783274224747172,487.656745932504,272.472258641744,-0.905324225838287
3,BFC,0.842535895762792,0.698759410560862,684.180903955218,138.277954136103,-0.905324225838287
4,BFC,0.84905319130184,0.802905358589513,778.648127054753,86.8500082771491,-0.905324225838287
5,BFC,0.85291143186003,0.7876318769461,859.111283920902,43.6528059713084,-0.905324225838287
6,BFC,0.856315764374585,0.634499757494726,781.630884348966,53.284255536312,-0.905324225838287
7,BFC,0.830456623356476,0.780540809383889,493.647458249559,275.654544545999,-0.905324225838287
8,BFC,0.845593176869485,0.889249304834274,710.418418898638,132.666106804503,-0.905324225838287
9,BFC,0.854670391150436,0.833239885711331,925.76596279526,7.01599595307041,-0.905324225838287
10,BFC,0.850834266256088,0.64356097432459,876.454771353423,19.9561046695819,-0.905324225838287
1,Normandie,0.98363054486688,3.18925237001386,3030.77194953371,3.14177790502532,-0.905324225838287
2,Normandie,1.04176228635873,3.5274686161775,2759.82419040412,23.3072835104236,-0.905324225838287
3,Normandie,1.04577631778319,3.64028375827878,2737.90106731342,10.7649364634994,-0.905324225838287
4,Normandie,1.03526144906342,4.2245292858818,2739.95546333096,147.618475361045,-0.905324225838287
5,Normandie,1.05312669497373,4.30398944727957,2712.99420505189,86.0820462031728,-0.905324225838287
6,Normandie,1.03457839506631,3.53644421114568,2662.46149641315,34.6780761752131,-0.905324225838287
7,Normandie,1.05432117338341,3.40609596878407,2555.36796824772,61.2219079637188,-0.905324225838287
8,Normandie,1.04323899757566,3.63332364533771,2211.87950749717,203.913208513653,-0.905324225838287
9,Normandie,1.02263082148062,3.35538159408364,2638.62604394319,89.5213910374361,-0.905324225838287
10,Normandie,1.10538105005657,4.88684894259383,2617.48305663232,18.1349451423301,-0.905324225838287
1,HDF,0.936724346526806,2.47491248395174,1359.87360640477,3.47803765614468,-0.905324225838287
2,HDF,0.90707815091869,2.37920172582249,1550.95509686788,17.8913873414168,-0.905324225838287
3,HDF,0.912539630993772,2.24930251671339,1488.33400964073,16.4618550543798,-0.905324225838287
4,HDF,0.918891723380272,2.1009068434751,1414.4929815445,6.07992430325267,-0.905324225838287
5,HDF,0.900210610655699,1.90639342288335,1412.57638296457,49.7816559748113,-0.905324225838287
6,HDF,0.928011339248193,2.20734990670566,1268.16769896739,51.4775874041363,-0.905324225838287
7,HDF,0.935427013621062,2.20962606659445,1331.53136539407,5.34035775564446,-0.905324225838287
8,HDF,0.898944385311832,2.0388300044876,1551.59663805458,11.9502626044298,-0.905324225838287
9,HDF,0.920849316364182,2.19718360984108,1381.72017243627,34.3463873240427,-0.905324225838287
10,HDF,0.918843908661229,2.18125903183049,1452.71150761358,15.7626465474061,-0.905324225838287
1,GrandEst,0.872663739565039,2.72645985449798,409.112283057039,1285.16020319206,-0.905324225838287
2,GrandEst,0.870731062436127,2.54335090571318,683.570564984294,1129.48469804358,-0.905324225838287
3,GrandEst,0.880185100982744,2.56733889337227,1111.81001219427,856.321732915379,-0.905324225838287
4,GrandEst,0.877388465180796,2.68252961024215,818.216762836175,1025.74143812717,-0.905324225838287
5,GrandEst,0.880884093604165,2.43303987323434,539.65773818485,1115.58183980837,-0.905324225838287
