rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,IDF,0.212379678288409,0.512841336688757,0.756318940109989,0.941421593859326,0
2,IDF,0.203469165213848,0.492060880397416,0.889711882455076,0.666752893687686,0
3,IDF,0.196149648670853,0.5343138434649,0.743749963078188,1.26262339592676,0
4,IDF,0.205327212057873,0.498697766150657,0.604644341530126,1.30483148670092,0
5,IDF,0.204101604537623,0.5709760939204,0.458789406265136,1.52861004175331,0
6,IDF,0.209758238704269,0.555762321191438,0.934457856731122,0.373723314593948,0
7,IDF,0.190612979721014,0.548219408494705,0.87455691851706,1.02016846999825,0
8,IDF,0.202694689928079,0.526079297477699,0.716777481783734,1.17719407446753,0
9,IDF,0.195721564851713,0.558484475772827,0.762041070229076,1.17572271688664,0
10,IDF,0.195891375140738,0.508682652063074,0.436961836012526,1.58530842881923,0
1,NAquitaine,0.29355589091276,-0.611998832097545,-0.876177124043322,-0.993158842866382,0
2,NAquitaine,0.283130603387632,-0.46940798005047,-0.692595825334496,-1.51869378760547,0
3,NAquitaine,0.28879018317991,-0.284314840250082,-0.856969868981781,-0.736931751549346,0
4,NAquitaine,0.296388964627683,-0.512128116086971,-0.770839687179848,-1.18438498189928,0
5,NAquitaine,0.271206646399242,-0.505595350267888,-1.35638415274662,0.0734295190427164,0
6,NAquitaine,0.295642969058348,-0.458359870819232,-0.778469971401887,-1.2560954637443,0
7,NAquitaine,0.273883320787904,-0.456130367464692,-0.600934609678866,-1.66260798405711,0
8,NAquitaine,0.302210132200189,-0.709073879705107,-1.18742185684963,-0.514522663609062,0
9,NAquitaine,0.278415342949208,-0.602580846558633,-0.836548220607809,-0.775228750170115,0
10,NAquitaine,0.308689237235071,-0.406553240778654,-1.21008264681416,-0.474548362594388,0
1,AURA,0.15898704281518,-0.569369909779203,0.278581298218379,-2.55336915511037,0
2,AURA,0.176202254896853,-0.27406063754098,0.263546107707589,-5.29897362498039,0
3,AURA,0.168424040349353,-0.398300641809557,0.0843189321475771,-0.377574077106521,0
4,AURA,0.158386496378066,-0.329607494400122,0.247797635320718,-0.78677323697628,0
5,AURA,0.169237537773743,-0.408564124522351,0.289620742449573,-2.61479546989424,0
6,AURA,0.15552358046275,-0.330111608354918,0.187904400570692,-0.308045192906883,0
7,AURA,0.189210349352291,-0.371557776317261,0.187255854377777,-3.85049572819789,0
8,AURA,0.173485680419513,-0.559233213949783,0.226991331532977,-4.57298101619562,0
9,AURA,0.181318848065128,-0.471230538984659,0.116569112038412,-0.842145702039598,0
10,AURA,0.182047931649777,-0.426660700796898,0.243202127224305,-2.98380272941828,0
1,Centre,0.42701617182962,1.55471505977368,-0.76835810932248,0.400101718648565,0
2,Centre,0.351692889006594,1.57290908106523,-0.843802891086738,0.94298629207155,0
3,Centre,0.390461095396786,1.41133642383134,-1.02140462260302,0.702329525544266,0
4,Centre,0.415910089927735,1.56965903337936,-0.67121016756351,0.54339880582927,0
5,Centre,0.421680984629143,1.54261612745595,-1.52783679776501,0.808750011107209,0
6,Centre,0.366170555027529,1.42480123650627,-1.2140290097701,0.967733857278956,0
7,Centre,0.415671720829057,1.60659633111213,-0.235999165644573,0.058403925451552,0
8,Centre,0.367727710960382,1.37589866558728,-0.929616578868206,0.840214084087369,0
9,Centre,0.373126728031357,1.40548278806671,-0.777386118404744,0.724687190932021,0
10,Centre,0.416131841454875,1.45415841918308,-1.75116053348383,0.868424516170782,0
1,BFC,0.0368628466451602,-0.401211269361419,-0.295879457782576,-1.72229388043868,0
2,BFC,0.025681605584578,-0.34592607485519,-0.925970357308323,0.365789790711806,0
3,BFC,0.0418542090444386,-0.460102440622165,-0.587359764063738,-0.312481195197362,0
4,BFC,0.0495597775377749,-0.321172085496787,-0.458022880621006,-0.777564427068563,0
5,BFC,0.054093652231588,-0.340378113240478,-0.359683662042947,-1.46547945141954,0
6,BFC,0.0580771332149822,-0.556572027753281,-0.454199511972269,-1.26610612084001,0
7,BFC,0.0274136396155354,-0.34942190791389,-0.913760511032056,0.377401416493513,0
8,BFC,0.0454763070211628,-0.219031303624236,-0.549728007338891,-0.353911518518779,0
9,BFC,0.0561538286621827,-0.284087353954697,-0.284960663444326,-3.29355433680428,0
10,BFC,0.0516552993302147,-0.542392155966183,-0.339697024576785,-2.24821192005647,0
1,Normandie,0.196688305493794,1.05813286883526,0.900990508693909,-4.09695816358539,0
2,Normandie,0.254107005672787,1.15892685407656,0.807340131368918,-2.09298110632236,0
3,Normandie,0.257952717904038,1.19040798045487,0.799364745816592,-2.86545278639735,0
4,Normandie,0.24784722306914,1.33925418925029,0.800114818806793,-0.247115938903808,0
5,Normandie,0.264956764488938,1.35788871728973,0.790226050479509,-0.786446147981056,0
6,Normandie,0.247187216427721,1.1614681084827,0.771424222287596,-1.69563933829579,0
7,Normandie,0.266090342743023,1.12391310450697,0.73036938496727,-1.12724191633513,0
8,Normandie,0.255523514597958,1.18849418041612,0.586015762775709,0.0759474397932061,0
9,Normandie,0.235571763980216,1.10891184915146,0.762431496580801,-0.747269412331343,0
10,Normandie,0.313383337666683,1.48489405403547,0.754386343428401,-2.34390626729048,0
1,HDF,0.147826993164477,0.804551381649475,0.0995649117597054,-3.99527877223255,0
2,HDF,0.115666552070313,0.765111368376317,0.231044085488458,-2.35742757211551,0
3,HDF,0.121669457218495,0.708966521860374,0.189830532863798,-2.44070112540887,0
4,HDF,0.128606236850036,0.640715428017275,0.138944302752353,-3.43675476928199,0
5,HDF,0.108066689266381,0.543559543050721,0.13758841180915,-1.33410045280745,0
6,HDF,0.138481893207903,0.69013900502557,0.0297462547739776,-1.30060049815143,0
7,HDF,0.146441065572276,0.691169646851125,0.0785028352277403,-3.5664543688926,0
8,HDF,0.106659111202494,0.610722462388024,0.231457642618624,-2.76099376165749,0
9,HDF,0.130734355623742,0.685522709165775,0.115502377493875,-1.70525017443925,0
10,HDF,0.128554200291327,0.678248593900801,0.165604968197781,-2.48410401659336,0
1,GrandEst,0.076988245071469,0.901350357359815,-1.10159247711651,1.91689164624359,0
2,GrandEst,0.0747711019224785,0.831828812070488,-0.588252234699376,1.7877697732078,0
3,GrandEst,0.0855701688582198,0.841216258682182,-0.101837518314138,1.51089914667541,0
4,GrandEst,0.082387783533304,0.885106580036189,-0.408454833443415,1.69142396928867,0
5,GrandEst,0.0863639964491806,0.787487798446285,-0.824647005749995,1.7753843621535,0
6,GrandEst,0.0691517115393211,0.820712067156185,-0.868128257443273,1.90242625804933,0
7,GrandEst,0.0818006056304109,0.932968121829929,-0.417373399344361,1.71576802388174,0
8,GrandEst,0.084796376648673,0.885841967727288,-0.205376359750553,1.60050266277509,0
9,GrandEst,0.0862768926800571,0.860366330418472,-0.279200255934877,1.6435778083024,0
10,GrandEst,0.0899608664224026,0.820608802523007,-0.510488311772388,1.66442113345188,0
