b1_pop,0.0015975,3.1589e-5,0.086583,-0.56006,-0.00025808,5.2052e-5,-5.2781e-5,-0.00010514,0.00078346,-0.00011348
Dq_pop,3.1589e-5,0.14691,0.49886,-0.95212,-0.0001135,-2.5978e-5,-0.014111,0.00031171,0.0035509,-2.0364e-5
E0_pop,0.086583,0.49886,94765,-8543.9,-0.22979,-0.012679,-0.73154,-8.6273,15.525,-0.012099
A0_pop,-0.56006,-0.95212,-8543.9,22448,1.0146,0.39857,2.62,-4.2236,-43.435,0.2974
betat1_pop,-0.00025808,-0.0001135,-0.22979,1.0146,0.0070492,9.6047e-5,0.00011826,0.00019345,-0.0015388,7.2169e-5
omega_b1,5.2052e-5,-2.5978e-5,-0.012679,0.39857,9.6047e-5,0.0016551,4.7954e-5,6.632e-5,-0.0011199,0.000195
omega_Dq,-5.2781e-5,-0.014111,-0.73154,2.62,0.00011826,4.7954e-5,0.094414,-0.00092238,-0.0093678,-1.0218e-5
omega_E0,-0.00010514,0.00031171,-8.6273,-4.2236,0.00019345,6.632e-5,-0.00092238,0.046549,0.016364,0.00027377
omega_A0,0.00078346,0.0035509,15.525,-43.435,-0.0015388,-0.0011199,-0.0093678,0.016364,0.14269,-0.00054888
omega_betat1,-0.00011348,-2.0364e-5,-0.012099,0.2974,7.2169e-5,0.000195,-1.0218e-5,0.00027377,-0.00054888,0.0034853
