b1_pop,1,-0.03112,0.015043,0.034209,-0.16187,-0.024457,0.041244,-0.040994,0.015911,0.13866
b2_pop,-0.03112,1,-0.021455,0.0076411,-0.026868,0.056836,-0.11169,0.040595,0.0029052,0.03879
Dq_pop,0.015043,-0.021455,1,0.010916,-0.0039312,-0.038686,0.048668,-0.16986,0.012483,-0.0097325
E0_pop,0.034209,0.0076411,0.010916,1,-0.23599,0.022432,-0.01881,-0.022663,0.0037546,0.18691
A0_pop,-0.16187,-0.026868,-0.0039312,-0.23599,1,-0.10244,0.083473,0.026894,-0.14679,-0.78731
omega_b1,-0.024457,0.056836,-0.038686,0.022432,-0.10244,1,-0.18742,0.093699,0.025397,0.12937
omega_b2,0.041244,-0.11169,0.048668,-0.01881,0.083473,-0.18742,1,-0.1218,-0.01261,-0.10624
omega_Dq,-0.040994,0.040595,-0.16986,-0.022663,0.026894,0.093699,-0.1218,1,-0.02876,0.0047592
omega_E0,0.015911,0.0029052,0.012483,0.0037546,-0.14679,0.025397,-0.01261,-0.02876,1,0.11888
omega_A0,0.13866,0.03879,-0.0097325,0.18691,-0.78731,0.12937,-0.10624,0.0047592,0.11888,1
