rep,id,b1,b2,Dq,E0,A0
1,IDF,1.08742490896166,0.433471952954482,2.38565707464846,373.196685301759,330.760583304019
2,IDF,1.07271080352242,0.466372555320426,2.27322312730401,216.951182626307,407.930851430345
3,IDF,1.05652079642688,0.451551045562463,2.23642530995296,208.036267395123,452.760041177978
4,IDF,1.09066672244754,0.457817090937289,2.23623087166043,180.098200251992,384.58142577182
5,IDF,1.08767642734368,0.466879690797484,2.26118643728989,339.837672978717,320.652172029273
6,IDF,1.04171336762239,0.464975331361751,2.46494688937672,201.837277459781,494.160303819032
7,IDF,1.05747882008414,0.441033095814967,2.35235136116484,253.123675448825,447.304979288991
8,IDF,1.0881737593743,0.460589522523049,2.18906259595857,157.248459562592,404.311625850769
9,IDF,1.08796079530671,0.45098247539416,2.32682296624265,408.310161165196,302.815502679068
10,IDF,1.04509592233231,0.458818384251077,2.28111168011547,127.587550704155,527.518068005092
1,NAquitaine,0.890766882877713,0.693607933672273,0.761647634988881,723.241169349967,179.840586601445
2,NAquitaine,0.829993603044723,0.628711304720854,0.833494778382767,453.612856117623,490.605007911245
3,NAquitaine,0.976586064931666,0.6627574111778,0.946031515331976,407.266586279561,220.473500233175
4,NAquitaine,0.896568413759824,0.710091082666046,0.711013792398015,360.274469538616,341.079059937268
5,NAquitaine,0.854015946342038,0.684120533227579,0.672081215159132,877.123621226995,169.971848409825
6,NAquitaine,0.908223261347983,0.681445354916991,0.7112796649658,420.764543860286,303.113708198118
7,NAquitaine,0.950437726192674,0.623260860741087,0.762794731653294,781.652174536859,83.360475844369
8,NAquitaine,0.916925176672862,0.698646203149083,0.951750424703179,464.002547067421,264.376189060004
9,NAquitaine,0.959961809553767,0.688351021921243,1.04345701639825,535.337577542589,190.699451372536
10,NAquitaine,0.973455111960335,0.622233548057777,0.866728884186221,723.716480078618,101.108608131668
1,AURA,0.853249053682224,0.503314303314008,1.77670612179617,811.184522120271,179.653238049226
2,AURA,0.824091778253836,0.494783281139089,1.72172214489336,458.657085670856,457.616482529215
3,AURA,0.861824533959449,0.519616687729188,1.86291674697475,867.195479327436,102.291622728925
4,AURA,0.860435510964024,0.475707525342722,1.64591752525085,329.861141727431,415.035010129432
5,AURA,0.873532864430187,0.47226349605674,1.75779014609402,477.787616174097,295.369107593396
6,AURA,0.811301461800435,0.497013440970516,2.13333242556597,491.295755297112,492.023868039672
7,AURA,0.811210196930005,0.491837318481267,2.11297012579477,1338.78405818788,76.0225959335226
8,AURA,0.790949433316469,0.508203544025568,1.95289648369569,797.571696433208,413.060649610173
9,AURA,0.830965801045147,0.517967784697301,1.91893321696772,736.034606951208,260.99723636561
10,AURA,0.818114565784519,0.513449270771653,1.9883780353818,583.732550598248,388.720105404642
1,Centre,0.975210342935749,0.869287573236391,4.32982905613821,392.607178900726,38.2637880261038
2,Centre,0.909662298192505,1.01227034839008,4.46106047083958,449.747919122379,25.5350707520829
3,Centre,0.786392470363403,0.927109614561491,3.79593954081379,562.666381142924,93.0535505675367
4,Centre,0.862318886706557,0.919263043166794,4.67049872631033,216.087127965921,235.122080417024
5,Centre,0.934759972168443,0.94726818153885,3.67609600680279,367.118814550922,60.0828867271621
6,Centre,0.917521767052459,0.816369268989665,5.20071411843909,490.748503193909,76.8263369583343
7,Centre,1.03699021788547,0.857458632352875,4.74562130093346,374.022235650645,23.5905001049471
8,Centre,0.888536072573247,0.885824988083072,5.31330288493489,427.962294530812,88.5604812983476
9,Centre,0.912400918787901,0.801825285345153,6.48099603038524,660.778534149325,20.3232073462143
10,Centre,0.813986113510025,0.963175482228032,4.45039352913239,578.525374939159,60.3294362125521
1,BFC,0.731731992320836,0.541287383646595,1.12262042951405,544.480622276602,257.934165711935
2,BFC,0.73462918823625,0.540061573357158,1.06834869829595,530.837931187327,266.711413370536
3,BFC,0.710957705930135,0.586520688104057,0.802418818093024,229.977477525077,496.657770485591
4,BFC,0.684240164737554,0.550925105113732,0.783427658032623,496.098252718173,419.520038669802
5,BFC,0.700450354959183,0.520739764218124,0.938114901175641,424.504171085838,452.727129001005
6,BFC,0.684140678199606,0.575239013695087,0.944929035638735,272.088543527053,549.993036238699
7,BFC,0.656814913420113,0.57828106984133,0.862867084780102,252.65645063237,628.961328453919
8,BFC,0.688817917380266,0.568983082642104,0.846679561138878,320.988091156394,495.770733604232
9,BFC,0.726637111005797,0.559855085951342,0.983903521469389,409.267286861872,368.646825917791
10,BFC,0.732255317263189,0.580095397508587,0.676197684398265,385.895157289317,316.006993492093
1,Normandie,0.70732458913313,0.766420020166292,4.42660189564866,4569.34474333972,209.927130151465
2,Normandie,0.663944258230496,0.806555560917459,6.07413769169053,4361.33732419687,511.175049243537
3,Normandie,0.450943039230536,0.7946884842107,5.10302813690832,4232.10969137307,2124.51223087771
4,Normandie,0.758657250290446,0.680021723535485,5.48870163095424,4849.46610300296,69.3253861836933
5,Normandie,0.70191244229939,0.721260647748282,4.24597868135756,4484.98204637134,453.668781309423
6,Normandie,0.805496421427387,0.72013665164174,4.79323621634852,4312.28958456485,189.749239098024
7,Normandie,0.573985433878859,0.755360700059562,6.25256258750433,2684.89862075441,2496.71430956672
