parameter,value,se_sa,rse_sa
b_pop,1.3155477580858,0.112234596976125,8.53139662063149
Dq_pop,0.987418404521069,0.440463979378473,44.6076331332018
E0_pop,104.991059660632,126.388292831722,120.380052587577
A0_pop,394.128434028289,213.790651887401,54.2439046333958
De_pop,0.686290461552959,1.04039583614393,151.597012406334
omega_b,0.107906918629997,0.0402021653488954,37.2563370906226
omega_Dq,1.52613605764941,0.379976827437702,24.8979653899897
omega_E0,0.718025301785562,1.01152166002411,140.875489694959
omega_A0,0.890748988022003,0.325044189277067,36.4911095772177
omega_De,0.782819772063626,1.60868508174687,205.498780071196
