parameter,value,se_sa,rse_sa
b_pop,0.81043878309266,0.0890660919404905,10.9898605297011
Dq_pop,2.52518284199393,1.00258085987875,39.7032976466408
E0_pop,635.495402444821,193.528496718405,30.4531702312683
A0_pop,1003.73149105532,287.105642380069,28.6038293048082
omega_b,0.389599912206381,0.0941350525786589,24.1619799259075
omega_Dq,1.38968097488961,0.331345531614368,23.8432804076265
omega_E0,1.02750183776376,0.21255987728679,20.6870556795696
omega_A0,0.928730477344296,0.26386690113857,28.4115690800949
