ID date B Bmin Bmax 
'Centre' '2020-03-08' 1.789891e+00 1.041563e+00 3.075869e+00
'Centre' '2020-03-09' 1.760611e+00 1.034148e+00 2.997397e+00
'Centre' '2020-03-12' 1.787228e+00 1.064911e+00 2.999487e+00
'Centre' '2020-03-09' 1.851226e+00 1.124477e+00 3.047672e+00
'Centre' '2020-03-17' 1.941856e+00 1.204493e+00 3.130615e+00
'Centre' '2020-03-09' 1.883131e+00 1.186485e+00 2.988814e+00
'Centre' '2020-03-09' 1.727804e+00 1.093056e+00 2.731155e+00
'Centre' '2020-03-11' 1.683401e+00 1.066846e+00 2.656277e+00
'Centre' '2020-03-09' 1.780325e+00 1.139340e+00 2.781924e+00
'Centre' '2020-03-11' 1.693140e+00 1.082549e+00 2.648123e+00
'Centre' '2020-03-09' 1.593636e+00 1.027758e+00 2.471082e+00
'Centre' '2020-03-09' 1.679067e+00 1.100023e+00 2.562915e+00
'Centre' '2020-03-09' 1.452962e+00 9.696440e-01 2.177188e+00
'Centre' '2020-03-10' 1.056847e+00 7.062710e-01 1.581442e+00
'Centre' '2020-03-13' 8.958314e-01 5.939954e-01 1.351044e+00
'Centre' '2020-03-10' 8.913501e-01 5.878757e-01 1.351485e+00
'Centre' '2020-03-18' 8.587426e-01 5.658607e-01 1.303216e+00
'Centre' '2020-03-10' 8.354373e-01 5.501274e-01 1.268716e+00
'Centre' '2020-03-10' 8.292870e-01 5.465561e-01 1.258273e+00
'Centre' '2020-03-12' 7.356087e-01 4.845698e-01 1.116702e+00
'Centre' '2020-03-10' 5.557404e-01 3.631431e-01 8.504839e-01
'Centre' '2020-03-12' 4.823000e-01 3.102256e-01 7.498197e-01
'Centre' '2020-03-10' 4.929655e-01 3.123058e-01 7.781317e-01
'Centre' '2020-03-10' 5.319478e-01 3.330881e-01 8.495302e-01
'Centre' '2020-03-10' 5.722902e-01 3.559364e-01 9.201536e-01
'Centre' '2020-03-11' 6.324501e-01 3.924264e-01 1.019282e+00
'Centre' '2020-03-14' 6.930903e-01 4.314357e-01 1.113431e+00
'Centre' '2020-03-11' 6.347462e-01 3.964970e-01 1.016156e+00
'Centre' '2020-03-19' 5.318483e-01 3.306584e-01 8.554527e-01
'Centre' '2020-03-11' 5.485746e-01 3.377783e-01 8.909218e-01
'Centre' '2020-03-11' 5.962323e-01 3.650479e-01 9.738254e-01
'Centre' '2020-03-13' 5.856816e-01 3.569739e-01 9.609188e-01
'Centre' '2020-03-11' 5.554737e-01 3.365449e-01 9.168198e-01
'Centre' '2020-03-13' 5.159162e-01 3.099293e-01 8.588071e-01
'Centre' '2020-03-11' 4.794311e-01 2.848352e-01 8.069728e-01
'Centre' '2020-03-11' 4.727399e-01 2.773571e-01 8.057591e-01
'Centre' '2020-03-11' 5.111762e-01 2.966013e-01 8.809841e-01
'Centre' '2020-03-12' 5.315824e-01 3.060900e-01 9.231922e-01
'Centre' '2020-03-15' 5.327953e-01 3.046170e-01 9.318943e-01
'Centre' '2020-03-12' 5.518268e-01 3.135665e-01 9.711269e-01
'Centre' '2020-03-20' 5.588764e-01 3.160479e-01 9.882769e-01
'Centre' '2020-03-12' 5.541616e-01 3.117740e-01 9.849924e-01
'Centre' '2020-03-12' 5.667307e-01 3.171464e-01 1.012730e+00
'Centre' '2020-03-14' 6.025841e-01 3.359641e-01 1.080793e+00
'Centre' '2020-03-12' 6.207195e-01 3.455892e-01 1.114886e+00
'Centre' '2020-03-14' 6.322243e-01 3.514900e-01 1.137181e+00
'Centre' '2020-03-12' 6.234498e-01 3.461093e-01 1.123026e+00
'Centre' '2020-03-12' 5.975514e-01 3.303679e-01 1.080818e+00
'Centre' '2020-03-12' 5.626649e-01 3.089741e-01 1.024655e+00
'Centre' '2020-03-13' 5.469992e-01 2.975450e-01 1.005589e+00
'Centre' '2020-03-16' 5.518456e-01 2.973296e-01 1.024229e+00
'Centre' '2020-03-13' 5.356480e-01 2.858591e-01 1.003707e+00
'Centre' '2020-03-21' 5.296420e-01 2.796205e-01 1.003219e+00
'Centre' '2020-03-13' 5.227839e-01 2.731059e-01 1.000722e+00
'Centre' '2020-03-13' 5.118181e-01 2.643647e-01 9.908953e-01
'Centre' '2020-03-15' 4.982935e-01 2.543719e-01 9.761156e-01
'Centre' '2020-03-13' 4.899333e-01 2.469695e-01 9.719201e-01
'Centre' '2020-03-15' 4.899313e-01 2.402744e-01 9.989940e-01
'Centre' '2020-03-13' 4.898339e-01 2.339536e-01 1.025576e+00
'Centre' '2020-03-13' 4.898280e-01 2.286254e-01 1.049453e+00
'Centre' '2020-03-13' 4.898280e-01 2.286254e-01 1.049453e+00
'BFC' '2020-03-14' 2.159965e+00 2.030153e+00 2.298077e+00
'BFC' '2020-03-17' 2.159518e+00 1.758249e+00 2.652365e+00
'BFC' '2020-03-14' 2.158611e+00 1.624889e+00 2.867643e+00
'BFC' '2020-03-22' 2.157927e+00 1.528238e+00 3.047070e+00
'BFC' '2020-03-14' 2.158242e+00 1.451731e+00 3.208589e+00
'BFC' '2020-03-14' 2.151848e+00 1.383979e+00 3.345752e+00
'BFC' '2020-03-16' 2.124017e+00 1.313989e+00 3.433397e+00
'BFC' '2020-03-14' 2.091664e+00 1.252954e+00 3.491794e+00
'BFC' '2020-03-16' 2.084127e+00 1.219574e+00 3.561559e+00
'BFC' '2020-03-14' 2.033040e+00 1.175893e+00 3.514989e+00
'BFC' '2020-03-14' 1.957993e+00 1.131685e+00 3.387635e+00
'BFC' '2020-03-14' 1.913408e+00 1.115477e+00 3.282120e+00
'BFC' '2020-03-15' 1.802896e+00 1.064416e+00 3.053723e+00
'BFC' '2020-03-18' 1.685491e+00 1.002881e+00 2.832720e+00
'BFC' '2020-03-15' 1.994675e+00 1.203536e+00 3.305866e+00
'BFC' '2020-03-23' 2.138638e+00 1.343782e+00 3.403655e+00
'BFC' '2020-03-15' 2.005293e+00 1.276064e+00 3.151250e+00
'BFC' '2020-03-15' 1.866334e+00 1.193477e+00 2.918534e+00
'BFC' '2020-03-17' 1.757985e+00 1.127524e+00 2.740970e+00
'BFC' '2020-03-15' 1.702541e+00 1.099903e+00 2.635365e+00
'BFC' '2020-03-17' 1.492171e+00 9.723364e-01 2.289921e+00
'BFC' '2020-03-15' 1.460839e+00 9.578790e-01 2.227892e+00
'BFC' '2020-03-15' 1.377591e+00 9.147522e-01 2.074612e+00
'BFC' '2020-03-15' 1.237662e+00 8.255155e-01 1.855576e+00
'BFC' '2020-03-16' 1.097952e+00 7.353629e-01 1.639324e+00
'BFC' '2020-03-19' 1.019046e+00 6.834763e-01 1.519372e+00
'BFC' '2020-03-16' 9.152225e-01 6.144434e-01 1.363237e+00
'BFC' '2020-03-24' 7.411124e-01 4.953616e-01 1.108781e+00
'BFC' '2020-03-16' 6.439675e-01 4.261193e-01 9.731879e-01
'BFC' '2020-03-16' 6.168268e-01 4.039531e-01 9.418799e-01
'BFC' '2020-03-18' 5.810875e-01 3.770701e-01 8.954903e-01
'BFC' '2020-03-16' 5.354022e-01 3.440515e-01 8.331763e-01
'BFC' '2020-03-18' 5.475355e-01 3.484396e-01 8.603933e-01
'BFC' '2020-03-16' 5.260405e-01 3.323249e-01 8.326751e-01
'BFC' '2020-03-16' 4.566916e-01 2.856381e-01 7.301800e-01
'BFC' '2020-03-16' 4.538375e-01 2.803184e-01 7.347662e-01
'BFC' '2020-03-17' 4.787116e-01 2.926432e-01 7.830860e-01
'BFC' '2020-03-20' 4.986494e-01 3.023265e-01 8.224594e-01
'BFC' '2020-03-17' 5.386841e-01 3.247811e-01 8.934650e-01
'BFC' '2020-03-25' 6.033782e-01 3.632312e-01 1.002296e+00
'BFC' '2020-03-17' 6.133816e-01 3.700277e-01 1.016781e+00
'BFC' '2020-03-17' 5.628653e-01 3.391940e-01 9.340297e-01
'BFC' '2020-03-19' 5.379186e-01 3.223935e-01 8.975256e-01
'BFC' '2020-03-17' 5.536154e-01 3.296672e-01 9.296954e-01
'BFC' '2020-03-19' 5.897716e-01 3.495363e-01 9.951199e-01
'BFC' '2020-03-17' 6.766054e-01 4.005817e-01 1.142825e+00
'BFC' '2020-03-17' 7.300305e-01 4.345059e-01 1.226553e+00
'BFC' '2020-03-17' 6.641283e-01 3.964370e-01 1.112576e+00
'BFC' '2020-03-18' 5.772303e-01 3.428345e-01 9.718824e-01
'BFC' '2020-03-21' 5.566821e-01 3.273475e-01 9.466847e-01
'BFC' '2020-03-18' 5.621166e-01 3.273749e-01 9.651780e-01
'BFC' '2020-03-26' 5.624298e-01 3.245340e-01 9.747123e-01
'BFC' '2020-03-18' 5.774156e-01 3.303849e-01 1.009153e+00
'BFC' '2020-03-18' 6.050767e-01 3.439597e-01 1.064421e+00
'BFC' '2020-03-20' 5.940374e-01 3.359599e-01 1.050365e+00
'BFC' '2020-03-18' 5.290787e-01 2.967937e-01 9.431613e-01
'BFC' '2020-03-20' 5.019790e-01 2.781736e-01 9.058476e-01
'BFC' '2020-03-18' 5.109932e-01 2.797464e-01 9.333954e-01
'BFC' '2020-03-18' 5.211221e-01 2.821342e-01 9.625498e-01
'BFC' '2020-03-18' 5.417048e-01 2.904085e-01 1.010453e+00
'BFC' '2020-03-19' 5.416653e-01 2.879818e-01 1.018819e+00
'BFC' '2020-03-22' 5.158424e-01 2.716751e-01 9.794544e-01
'BFC' '2020-03-19' 4.916398e-01 2.560202e-01 9.441038e-01
'BFC' '2020-03-27' 4.834463e-01 2.486274e-01 9.400426e-01
'BFC' '2020-03-19' 4.895856e-01 2.486885e-01 9.638326e-01
'BFC' '2020-03-19' 5.145781e-01 2.584457e-01 1.024550e+00
'BFC' '2020-03-21' 5.341957e-01 2.658629e-01 1.073354e+00
'BFC' '2020-03-19' 5.268939e-01 2.599664e-01 1.067896e+00
'BFC' '2020-03-21' 5.217196e-01 2.549861e-01 1.067475e+00
'BFC' '2020-03-19' 5.141501e-01 2.488355e-01 1.062350e+00
'BFC' '2020-03-19' 5.028628e-01 2.410380e-01 1.049092e+00
'BFC' '2020-03-19' 5.028628e-01 2.410380e-01 1.049092e+00
'Normandie' '2020-03-20' 2.159965e+00 2.030153e+00 2.298077e+00
'Normandie' '2020-03-23' 2.159483e+00 1.758221e+00 2.652323e+00
'Normandie' '2020-03-20' 2.158413e+00 1.624765e+00 2.867335e+00
'Normandie' '2020-03-28' 2.156124e+00 1.527203e+00 3.044041e+00
'Normandie' '2020-03-20' 2.147546e+00 1.445769e+00 3.189968e+00
'Normandie' '2020-03-20' 2.128946e+00 1.373571e+00 3.299727e+00
'Normandie' '2020-03-22' 2.120553e+00 1.323777e+00 3.396906e+00
'Normandie' '2020-03-20' 2.117282e+00 1.295929e+00 3.459204e+00
'Normandie' '2020-03-22' 2.138685e+00 1.305508e+00 3.503595e+00
'Normandie' '2020-03-20' 2.166359e+00 1.342447e+00 3.495938e+00
'Normandie' '2020-03-20' 2.255293e+00 1.433361e+00 3.548546e+00
'Normandie' '2020-03-20' 2.143573e+00 1.394930e+00 3.294005e+00
'Normandie' '2020-03-21' 1.999158e+00 1.310069e+00 3.050705e+00
'Normandie' '2020-03-24' 2.052768e+00 1.351375e+00 3.118197e+00
