rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1,eta_betat2
1,PACA,0.000435504071108356,-0.0147395988975633,0.0253641892275755,0,0
2,PACA,-0.00653902355875277,-0.151639124368168,0.0562629128553398,0,0
3,PACA,0.000730576286079199,-0.0360769271979089,0.0534131152432329,0,0
4,PACA,-0.0179836548008353,-0.0064687870639038,0.139903437886365,0,0
5,PACA,0.000390794461786296,0.189666821393262,0.0741176993531225,0,0
6,PACA,0.000441308060004066,0.0184862754605419,0.0710677995844523,0,0
7,PACA,-0.0253338911080408,-0.0967083281435786,0.211947270735438,0,0
8,PACA,-0.00676245945294352,-0.0459487905482373,0.0639115741350689,0,0
9,PACA,-0.0295085306296945,0.178309731781014,0.258731266038619,0,0
10,PACA,-0.00139268474654707,-0.0266307986633947,0.0651608108882508,0,0
