reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	IDname	timesinceconf
REG-75	2020-03-05	1	5	1	1	3	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-06	2	5	1	1	3	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-07	3	5	1	1	6	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-08	4	5	1	1	0	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-09	5	5	1	1	0	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-10	6	5	1	1	37	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-11	7	5	1	1	12	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-12	8	5	1	1	21	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-13	9	5	1	1	27	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-14	10	5	1	1	16	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-15	11	5	1	1	14	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-16	12	5	1	1	34	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-17	13	5	1	1	22	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-18	14	5	1	1	37	1	5999982	0.0323584318606098	NAquitaine	1
REG-75	2020-03-19	15	5	1	1	43	1	5999982	0.0323584318606098	NAquitaine	2
REG-75	2020-03-20	16	5	1	1	152	1	5999982	0.0323584318606098	NAquitaine	3
REG-75	2020-03-21	17	5	1	1	89	1	5999982	0.0323584318606098	NAquitaine	4
REG-75	2020-03-22	18	5	1	1	91	1	5999982	0.0323584318606098	NAquitaine	5
REG-75	2020-03-23	19	5	1	1	64	1	5999982	0.0323584318606098	NAquitaine	6
REG-75	2020-03-24	20	5	1	1	113	1	5999982	0.0323584318606098	NAquitaine	7
REG-75	2020-03-05	1	5	1	2	1	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-06	2	5	1	2	2	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-07	3	5	1	2	6	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-08	4	5	1	2	8	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-09	5	5	1	2	2	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-10	6	5	1	2	5	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-11	7	5	1	2	4	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-12	8	5	1	2	12	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-13	9	5	1	2	6	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-14	10	5	1	2	13	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-15	11	5	1	2	10	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-16	12	5	1	2	26	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-17	13	5	1	2	37	0	5999982	0.0323584318606098	NAquitaine	0
REG-75	2020-03-18	14	5	1	2	28	1	5999982	0.0323584318606098	NAquitaine	1
REG-75	2020-03-19	15	5	1	2	43	1	5999982	0.0323584318606098	NAquitaine	2
REG-75	2020-03-20	16	5	1	2	60	1	5999982	0.0323584318606098	NAquitaine	3
