parameter,value,se_sa,rse_sa
b_pop,0.764508579457869,0.0775624239928111,10.1453961507943
Dq_pop,2.59888197526512,1.22754371914228,47.233530834622
E0_pop,614.261573240032,199.245376903246,32.436568651412
A0_pop,1161.88677765503,284.635261107302,24.4976762436151
Di_pop,15.5164283651191,5.22867809522989,33.6976910677714
omega_b,0.279690384270556,0.0909914310621805,32.5329135999759
omega_Dq,1.64209937292304,0.364632336290933,22.2052539756996
omega_E0,1.08609485913721,0.238900902181888,21.9963201346585
omega_A0,0.787228834070332,0.167024175997916,21.2167248923449
omega_Di,0.888232389672202,0.246861891114784,27.7924892162384
