parameter,value,se_sa,rse_sa
initE_pop,658.772468546968,229.111062710534,34.7784817443687
b1_pop,2.23261299972755,0.0037753586593343,0.169100451345353
betaw1_pop,-0.172756594225551,0.0592650425744252,34.3055168690398
betaw2_pop,-0.68474808090043,0.0529237176114913,7.72893259399832
betaw3_pop,-1.37149486684846,0.0529894873200177,3.86363001429102
betaw4_pop,-1.43149945208825,0.015554612797535,1.08659579120649
Dq_pop,0.362045776198671,0.0115175792285757,3.1812494401966
omega_initE,1.19909451798501,0.247145405963167,20.6110029073001
omega_betaw1,0.20103520613153,0.0425637936006025,21.1723082835325
omega_betaw2,0.17673421732523,0.0378696102508304,21.4274354021339
omega_betaw3,0.165951678532655,0.0412116838964409,24.8335444756176
omega_betaw4,0.0476963553841423,0.0120906425740736,25.3491959221971
