rep,id,b1,Dq,E0,A0,betat1,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,1,-0.0146679679207884,0.648374396060574,7.66081616337571,6.72510679650777,-0.905324225838287,0.198525252540252,0.546720742334075,0.545234037191258,1.48335978144814,0
2,1,-0.016315159696519,0.591841850804384,7.92610494550462,6.27853523414928,-0.905324225838287,0.196878060764523,0.490188197077884,0.810522819320169,1.03678821908963,0
3,1,-0.00322636272870999,0.642668154343483,7.75898937624973,6.41597620026239,-0.905324225838287,0.209966857732332,0.541014500616983,0.643407250065283,1.17422918520274,0
4,1,-0.0120141482937462,0.619527733713309,8.07163150651133,5.69516228398419,-0.905324225838287,0.201179072167295,0.51787407998681,0.956049380326871,0.453415268924548,0
5,1,-0.00636499196121643,0.63765915844607,7.75928279693886,6.51362551118217,-0.905324225838287,0.206828228499825,0.53600550471957,0.643700670754414,1.27187849612253,0
1,2,0.0876405419038237,-0.513783173893649,6.16591173280931,4.35517226013987,-0.905324225838287,0.300833762364865,-0.615436827620149,-0.949670393375144,-0.886574754919782,0
2,2,0.0762801039261634,-0.762135725608204,6.42443674908254,3.1448643898257,-0.905324225838287,0.289473324387205,-0.863789379334703,-0.691145377101909,-2.09688262523396,0
3,2,0.0739680474309165,-0.791574503269752,6.20901760127924,4.3833889941841,-0.905324225838287,0.287161267891958,-0.893228156996251,-0.906564524905193,-0.858358020875554,0
4,2,0.0859537451133411,-0.582357723483079,5.81131731663839,4.97635595654423,-0.905324225838287,0.299146965574383,-0.684011377209579,-1.30426480954605,-0.265391058515405,0
5,2,0.0774682335100033,-0.760447171274787,6.12698064779606,4.45505487965972,-0.905324225838287,0.290661453971045,-0.862100825001286,-0.988601478388405,-0.786692135399914,0
1,3,-0.045641500745925,-0.305527532906248,7.39946444653332,3.41120045589102,-0.905324225838287,0.167551719715116,-0.407181186632748,0.283882320348875,-1.83054655916862,0
2,3,-0.0300586034795294,-0.289934095558643,7.30970485522428,0.414425493085646,-0.905324225838287,0.183134616981512,-0.391587749285143,0.194122729039826,-4.82732152197399,0
3,3,-0.0612275349976065,-0.459321069042251,7.43143359454647,3.63860107172555,-0.905324225838287,0.151965685463435,-0.560974722768751,0.315851468362025,-1.60314594333409,0
4,3,-0.0552865279216833,-0.500024568857267,7.42351817704345,2.95993398752993,-0.905324225838287,0.157906692539358,-0.601678222583766,0.307936050859001,-2.28181302752971,0
5,3,-0.0523827381588641,-0.274512690795087,7.44331337600255,2.96161919213019,-0.905324225838287,0.160810482302178,-0.376166344521587,0.327731249818087,-2.28012782292944,0
1,4,0.166450021623483,1.73778669781765,6.41622833294851,5.97305867691101,-0.905324225838287,0.379643242084524,1.63613304409115,-0.699353793235956,0.731311661851386,0
2,4,0.170123939852906,1.48372393777316,6.60977021236494,5.70490462655026,-0.905324225838287,0.383317160313948,1.38207028404666,-0.505811913819506,0.463157611490629,0
