rep,id,b,Dq,E0,A0,eta_b,eta_Dq,eta_E0,eta_A0
1,1,0.832983128442254,0.634601232862075,5.56888594047391,7.33037201431817,0.142473020910557,0.631847288342195,-0.861648474862858,1.39364471671568
2,1,0.830976081025931,0.575794312178728,6.04037006033526,7.29788337077687,0.140465973494234,0.573040367658848,-0.390164355001507,1.36115607317438
3,1,0.814174641200023,0.604562738856505,5.92023968685358,7.37845433471807,0.123664533668327,0.601808794336625,-0.510294728483193,1.44172703711558
4,1,0.830183511190375,0.640346138154168,5.22122713852974,7.36697316978718,0.139673403658678,0.637592193634287,-1.20930727680703,1.43024587218469
1,2,0.86010341981101,0.00366463899753244,5.9022227294898,6.22868868328795,0.169593312279314,0.000910694477652034,-0.528311685846973,0.291961385685457
2,2,0.895567287591946,-0.402306535571135,6.46449022713354,5.82867193847909,0.205057180060249,-0.405060480091015,0.0339558117967753,-0.108055359123399
3,2,0.869382512639898,-0.323744268770876,5.54363933575672,6.33075375000994,0.178872405108201,-0.326498213290756,-0.886895079580053,0.394026452407448
4,2,0.839143723950166,-0.0108130621668376,6.24435412468688,6.16776168469219,0.148633616418469,-0.013567006686718,-0.186180290649888,0.231034387089702
1,3,0.732101653715077,0.465979459883805,5.78613192460546,6.85399472682495,0.0415915461833806,0.463225515363924,-0.644402490731314,0.917267429222457
2,3,0.714477876413462,0.581656292490306,5.74166224045299,6.92600730969686,0.0239677688817658,0.578902347970426,-0.688872174883779,0.989280012094369
3,3,0.680245597223075,0.445699861816747,5.91110255950764,7.06061963168137,-0.0102645103086214,0.442945917296867,-0.519431855829128,1.12389233407888
4,3,0.731655767358338,0.539497662847008,6.90537682077004,6.30356138459888,0.0411456598266412,0.536743718327127,0.474842405433269,0.366834086996387
1,4,0.957811008477332,1.3690171495432,6.22791753794319,3.55825041808429,0.267300900945635,1.36626320502332,-0.202616877393583,-2.37847687951821
2,4,1.04155275031894,1.22792470040244,5.74404915984787,3.89654665537151,0.351042642787248,1.22517075588256,-0.686485255488896,-2.04018064223098
3,4,0.977919048421649,1.33334872901931,6.16106352274681,4.0679170247348,0.287408940889952,1.33059478449943,-0.269470892589963,-1.86881027286769
4,4,0.964539579462424,1.53531426626627,6.20827690993403,3.0869111642951,0.274029471930727,1.53256032174639,-0.222257505402735,-2.84981613330739
1,5,0.641176081425108,-0.0794717143888388,5.48932286774215,6.49647896901822,-0.0493340261065891,-0.0822256589087192,-0.941211547594615,0.559751671415731
2,5,0.60593642266468,0.0757037069477066,5.73053183590348,6.58629992802179,-0.0845736848670166,0.0729497624278262,-0.700002579433294,0.649572630419295
3,5,0.636255483834193,-0.0932375061754895,5.50992469981089,6.50480653657779,-0.0542546236975038,-0.0959914506953699,-0.920609715525876,0.568079238975293
4,5,0.597515349381972,0.031640508740552,5.19124807806649,6.69816707417372,-0.092994758149725,0.0288865642206716,-1.23928633727028,0.761439776571231
1,6,0.833734207101939,1.5147020949156,8.148716168815,6.4472082152309,0.143224099570242,1.51194815039572,1.71818175347823,0.510480917628404
2,6,0.798196477305495,1.69653310624973,8.22810840287804,6.1179709610007,0.107686369773798,1.69377916172985,1.79757398754128,0.18124366339821
3,6,0.714439506462165,1.53101679191138,8.58854598629598,4.12144628301678,0.0239293989304686,1.5282628473915,2.15801157095921,-1.81528101458571
4,6,0.789636040576286,1.67327103069026,8.24569800892489,5.99360800971488,0.0991259330445892,1.67051708617038,1.81516359358812,0.0568807121123838
1,7,0.725991853258906,1.09912756566886,7.80935409124228,3.93157316340362,0.0354817457272091,1.09637362114898,1.37881967590551,-2.00515413419888
2,7,0.702745029273203,1.21551653253905,7.85377003361627,3.20937919534548,0.0122349217415064,1.21276258801917,1.4232356182795,-2.72734810225701
3,7,0.695570856472548,1.1523035729922,7.76984823608862,5.13554682431318,0.00506074894085129,1.14954962847232,1.33931382075185,-0.80118047328931
4,7,0.709673038283666,1.13626620243026,7.72350039995374,5.01628564080016,0.0191629307519692,1.13351225791038,1.29296598461697,-0.920441656802329
1,8,0.719242839490135,0.905128643167359,6.241725205856,7.35518201776914,0.0287327319584385,0.902374698647479,-0.188809209480773,1.41845472016664
2,8,0.662316884981009,1.03762275284135,6.05604631134892,7.67608534352468,-0.0281932225506876,1.03486880832147,-0.374488103987852,1.73935804592219
3,8,0.680039144887514,1.00058414967226,5.81952788980591,7.62986663616317,-0.0104709626441829,0.997830205152378,-0.61100652553086,1.69313933856068
4,8,0.669276001602214,0.986766420134677,6.23440348657417,7.57966467799605,-0.021234105929483,0.984012475614796,-0.196130928762595,1.64293738039355
1,9,0.671878829320543,-2.5246733757287,7.8467709559231,6.65349920066531,-0.0186312782111533,-2.52742732024858,1.41623654058633,0.716771903062815
2,9,0.64913142213808,-2.09185052217936,8.36155302503666,4.73852065976769,-0.0413786853936162,-2.09460446669924,1.9310186096999,-1.1982066378348
3,9,0.524076634213113,-1.83645357323584,7.30467042203965,7.99015341847259,-0.166433473318583,-1.83920751775572,0.87413600670288,2.0534261208701
4,9,0.588051698515113,-4.03065992997224,6.03493585102452,7.91639182991943,-0.102458409016584,-4.03341387449212,-0.395598564312247,1.97966453231694
1,10,0.587253804375526,1.39099672606259,7.01922834026407,5.74398042579017,-0.10325630315617,1.38824278154271,0.588693924927301,-0.192746871812323
2,10,0.641800273819183,1.05303967469235,6.96349023163684,4.92634491029428,-0.0487098337125138,1.05028573017247,0.53295581630007,-1.01038238730821
3,10,0.632649927348026,1.48538111697984,7.10764010144972,3.89116892285564,-0.0578601801836708,1.48262717245996,0.677105686112951,-2.04555837474685
