rep,id,transmission,ascertainment
1,Guadeloupe,1.08544756852775,0.991789791053447
2,Guadeloupe,1.52769514354888,0.993871605085995
3,Guadeloupe,1.57485873929393,0.999977644712612
4,Guadeloupe,1.39265195422996,0.98698801289386
5,Guadeloupe,1.69597543013567,0.999965520933301
6,Guadeloupe,1.43911616138182,0.999512938752145
7,Guadeloupe,1.53741303066792,0.999426553044854
8,Guadeloupe,1.76344694946549,0.990277657947846
9,Guadeloupe,1.47366413036865,0.99939868970675
10,Guadeloupe,1.47148865890625,0.999597901404915
1,IDF,1.42629635417146,0.539578832194719
2,IDF,1.37686838973715,0.652275884508267
3,IDF,1.39412590589492,0.617798335816238
4,IDF,1.40299460919533,0.595994013520549
5,IDF,1.41643147290905,0.554584260186704
6,IDF,1.41297787939313,0.570175821915082
7,IDF,1.4179406274851,0.564064899110172
8,IDF,1.39975308898229,0.595994013520549
9,IDF,1.39073658050072,0.604928764563167
10,IDF,1.39303442948503,0.589656123726458
1,Centre,1.51286946744633,0.142564633149068
2,Centre,1.80703720066005,0.0791722578277724
3,Centre,1.67451702418344,0.0997071819365455
4,Centre,1.74974822354321,0.0942787107844466
5,Centre,1.62249553551197,0.126520311400421
6,Centre,1.67809315815873,0.106769297682373
7,Centre,1.68382960765285,0.104055529139342
8,Centre,1.65652597350479,0.10450734199361
9,Centre,1.58543750828567,0.125450912739651
10,Centre,1.66631800123176,0.0937292278944735
1,BFC,1.18979030352445,0.999080730370431
2,BFC,1.18014894825289,0.999532354588723
3,BFC,1.19317352918983,0.998922329181854
4,BFC,1.1817368857469,0.999961705933134
5,BFC,1.19599067711828,0.998611049342442
6,BFC,1.19591885243446,0.999901456164339
7,BFC,1.20461808829494,0.999843327921538
8,BFC,1.20616602292025,0.996772923773003
9,BFC,1.18260393099307,0.999999956429036
10,BFC,1.19525115470865,0.999949567661542
1,Normandie,1.60247028913136,0.999999879212836
2,Normandie,1.65732598692835,0.9928825384534
3,Normandie,1.62594302540123,0.999119740777944
4,Normandie,1.62843110209982,0.999999932616737
5,Normandie,1.63041602438261,0.999999949679379
6,Normandie,1.62570131075811,0.994602667430854
7,Normandie,1.64927113025632,0.99999742385694
8,Normandie,1.61716117353452,0.996475915782441
9,Normandie,1.57408363706172,0.974619035297295
10,Normandie,1.67193940108133,0.976218306680095
1,HDF,0.756321804207404,0.32250996667698
2,HDF,0.825232246042742,0.259293155775063
3,HDF,0.818445399675591,0.27323562810131
