rep,id,eta_transmission,eta_ascertainment
1,Guadeloupe,-0.133109223918258,0.295835862347611
2,Guadeloupe,0.208658526045464,0.590378208914776
3,Guadeloupe,0.239063947508899,6.21012839228359
4,Guadeloupe,0.116108178781533,-0.169510068233077
5,Guadeloupe,0.313156418907285,5.77682675586674
6,Guadeloupe,0.148927516922449,3.12833655236121
7,Guadeloupe,0.21499952227023,2.96497456252855
8,Guadeloupe,0.352168756306354,0.125261880152228
9,Guadeloupe,0.172650273685475,2.91750102567345
10,Guadeloupe,0.171172950087203,3.32011411364093
1,IDF,0.139979490990543,-4.33964970282426
2,IDF,0.104710006236581,-3.86923873052244
3,IDF,0.117165996717785,-4.01808324417573
4,IDF,0.123507327362582,-4.10949601819536
5,IDF,0.133039029953314,-4.27908628541206
6,IDF,0.130597817105652,-4.2157284090424
7,IDF,0.134103925221263,-4.24062101178897
8,IDF,0.121194224645242,-4.10949601819536
9,IDF,0.114731889407855,-4.07225232985649
10,IDF,0.116382779152709,-4.13575294985709
1,Centre,0.198906525680727,-6.29244728433929
2,Centre,0.376586966961911,-6.95194397269649
3,Centre,0.300423148517711,-6.69877929887883
4,Centre,0.344370273914611,-6.7607731721829
5,Centre,0.268863786572647,-6.43037896161577
6,Centre,0.302556492471872,-6.62247142737034
7,Centre,0.30596909618759,-6.65125069079897
8,Centre,0.289620990975054,-6.64641364036558
9,Centre,0.24575876829481,-6.44009082108605
10,Centre,0.295514771210646,-6.76722500058725
1,BFC,-0.0413245553391922,2.49271444678624
2,BFC,-0.0494609735646461,3.16903551773053
3,BFC,-0.0384850427187118,2.33357801979472
4,BFC,-0.0481163380954751,5.67188034618116
5,BFC,-0.0361267709627246,2.07951987850187
6,BFC,-0.0361868273176655,4.72661358308803
7,BFC,-0.0289390538767244,4.26290197988421
8,BFC,-0.0276548784660462,1.23464950518354
9,BFC,-0.0473829029841772,12.450577878764
10,BFC,-0.0367452968042957,5.39653057404645
1,Normandie,0.256444737907991,11.4309387497676
2,Normandie,0.290103820895432,0.439764285062872
3,Normandie,0.27098633937389,2.53611653156189
4,Normandie,0.272515405846204,12.0145721681656
5,Normandie,0.273733580526517,12.3065538942858
6,Normandie,0.270837667121591,0.718141520427494
7,Normandie,0.285231819669196,8.37091769459429
8,Normandie,0.265570618637006,1.14630741956636
9,Normandie,0.238571653808208,-0.850249755213203
10,Normandie,0.298882639224112,-0.78352680509418
1,HDF,-0.494389957841247,-5.24055774641213
2,HDF,-0.407192053318404,-5.54794257290956
3,HDF,-0.415450223593108,-5.47656473020885
4,HDF,-0.364867867873582,-5.6551661084909
5,HDF,-0.469091510240605,-5.33863178994351
6,HDF,-0.414628084656815,-5.48886842597596
7,HDF,-0.46475184756845,-5.30907470058442
8,HDF,-0.426040859654578,-5.52235502442193
9,HDF,-0.558674888595274,-4.98656387405028
10,HDF,-0.576700067025776,-4.9993118595915
1,GrandEst,0.169778638801561,3.64291540336638
2,GrandEst,0.172306897816234,5.17881959010942
3,GrandEst,0.178472325178083,4.16647747147304
4,GrandEst,0.179684629053738,7.42821799564861
5,GrandEst,0.172558122962125,3.16783249353926
6,GrandEst,0.177494024685987,7.22725040912229
7,GrandEst,0.180460699159131,9.41087261012278
8,GrandEst,0.188641593739131,1.33715694620493
9,GrandEst,0.17621776030249,7.09673389058335
10,GrandEst,0.169475358365306,2.29212054277707
1,PaysLoire,-0.271108776975079,5.63841683888643
2,PaysLoire,-0.265746498045129,-0.899325714285075
3,PaysLoire,-0.223308098769587,-2.69817472071296
4,PaysLoire,-0.199493751940801,-3.67066177217641
5,PaysLoire,-0.271927632220322,-1.27104763097885
6,PaysLoire,-0.239682187862024,-2.21768838912745
7,PaysLoire,-0.199191698988112,-3.10620749820141
8,PaysLoire,-0.276827063782624,6.64747615919128
9,PaysLoire,-0.303884287696664,2.73896934091995
10,PaysLoire,-0.250773344169544,1.44987832402753
1,Bretagne,-0.239502447312642,-5.4196349166545
2,Bretagne,-0.161974953649102,-5.61538705125072
3,Bretagne,-0.297779087267478,-5.16629733986478
4,Bretagne,-0.30238390714992,-5.29064792706392
5,Bretagne,-0.260335871212086,-5.25678511224579
6,Bretagne,-0.206924179825658,-5.53676490290645
7,Bretagne,-0.341930974520541,-4.87767859699614
8,Bretagne,-0.296573358867206,-5.14852579232432
9,Bretagne,-0.293234823819763,-5.29594797829763
10,Bretagne,-0.267092098673941,-5.24194144350894
1,NAquitaine,0.104518872326401,-3.13972328181245
2,NAquitaine,0.144944981925413,-3.69231256227664
3,NAquitaine,0.125148077702854,-3.85128541037784
4,NAquitaine,0.182479249119784,-4.32282278065373
5,NAquitaine,0.118142135860406,-3.27562793933991
6,NAquitaine,0.130714686005465,-3.72300991065232
7,NAquitaine,0.0673581269406489,-1.69298797729079
8,NAquitaine,0.132384029667988,-3.57871273568203
9,NAquitaine,0.148632875268461,-3.85895904927281
10,NAquitaine,0.16385956562109,-4.18818109524944
1,Occitanie,-0.014157967022275,4.00505613862292
2,Occitanie,-0.00811223833092295,1.24346155325456
3,Occitanie,-0.0165692817543133,8.06777309477809
4,Occitanie,-0.0105881352646679,-0.341406452917604
5,Occitanie,-0.0175696657366924,5.65010533380633
6,Occitanie,-0.0210381131001242,2.31259368457635
7,Occitanie,-0.0141140759113891,-0.368891917931904
8,Occitanie,-0.0288863526504971,2.45171221720121
9,Occitanie,-0.0105097784728397,0.0464445923480048
10,Occitanie,-0.00995738750300381,2.43059629561197
1,AURA,-0.116190603128282,-5.5194618840646
2,AURA,-0.183449188506274,-5.09208123545722
