rep,id,b1,b2,Dq,E0,A0,eta_b1,eta_b2,eta_Dq,eta_E0,eta_A0
1,1,0.0806626968078798,-0.830847169218316,0.807963609981399,5.22182318468316,5.99628012039978,0.383394352144915,-0.270040859250675,0.696100181916849,-1.33765655927424,0.507744962494076
2,1,0.0513668750703196,-0.805126356438901,0.95544591486567,5.75184146135571,6.07489179306016,0.354098530407355,-0.24432004647126,0.84358248680112,-0.807638282601691,0.58635663515446
3,1,0.0884460815468168,-0.758468613006059,0.850249597760441,5.64412987614928,5.80327570229375,0.391177736883852,-0.197662303038418,0.738386169695891,-0.915349867808117,0.314740544388053
4,1,0.0802269901225928,-0.827589353580343,0.888802967380903,5.84194931123894,5.8493207058472,0.382958645459628,-0.266783043612703,0.776939539316353,-0.71753043271846,0.360785547941497
1,2,-0.0331710051884735,-0.556807772311131,-0.0704196727918926,6.28877991212885,5.38944580910647,0.269560650148562,0.00399853765650982,-0.182283100856443,-0.27069983182855,-0.0990893487992262
2,2,-0.032884748827154,-0.385341061910593,-0.190135848767557,6.04927378753496,5.41409276123037,0.269846906509881,0.175465248057048,-0.301999276832107,-0.510205956422434,-0.0744423966753285
3,2,-0.0591687993009126,-0.393735877505508,0.0416577545184751,5.86794572767243,5.65924728484717,0.243562856036123,0.167070432462133,-0.070205673546075,-0.691534016284973,0.170712126941467
4,2,-0.0232245944510263,-0.411983433725374,0.0250689140893006,6.60878620149471,4.01000493124048,0.279507060886009,0.148822876242266,-0.0867945139752496,0.0493064575373108,-1.47853022666523
1,3,-0.204823601784532,-0.675585300165977,0.703900046486487,6.37792575648886,6.023622193121,0.0979080535525036,-0.114778990198336,0.592036618421937,-0.181553987468535,0.535087035215295
2,3,-0.183028672395536,-0.715236599510384,0.588356123665528,5.03115497601949,6.3764117386627,0.119702982941499,-0.154430289542743,0.476492695600978,-1.52832476793791,0.887876580756995
3,3,-0.184259052762106,-0.768538261964288,0.745881362156216,6.12429779798411,6.11106542927446,0.118472602574929,-0.207731951996648,0.634017934091666,-0.435181945973286,0.622530271368757
4,3,-0.137937986830571,-0.799657226975573,0.816672261556381,6.3619842290839,5.6456218246237,0.164793668506464,-0.238850917007932,0.704808833491831,-0.197495514873501,0.157086666717997
1,4,-0.0453447062653829,-0.0952701811874285,1.61762396456074,6.15218214216558,2.88642365793014,0.257386949071652,0.465536128780212,1.50576053649619,-0.407297601791819,-2.60211149997556
2,4,-0.0556742364483315,-0.194934358772224,1.65771039574492,6.23394269363302,2.90975090696538,0.247057418888704,0.365871951195417,1.54584696768037,-0.325537050324376,-2.57878425094032
3,4,-0.130008236282066,-0.0554294741475288,1.43699910799662,6.19924507434478,3.85217188202315,0.172723419054969,0.505376835820112,1.32513567993207,-0.360234669612614,-1.63636327588255
4,4,-0.0745061357183503,-0.131793434786935,1.35323631940044,6.13703735424967,3.92496514714735,0.228225519618685,0.429012875180705,1.24137289133589,-0.422442389707729,-1.56357001075835
