rep,id,eta_initE,eta_b1,eta_betaw1,eta_betaw2,eta_betaw3,eta_betaw4,eta_Dq
1,IDF,2.01486384695453,0,0.0731940448015371,0.173566637238403,-0.00632588011176401,-0.0193550016249422,0
2,IDF,2.02926984662036,0,0.0542186376754772,0.190402016688852,-0.00581713903183887,-0.0295969265644998,0
3,IDF,2.01776374995771,0,0.07202938956747,0.16314822664341,0.0300380536736781,-0.0326690828633531,0
4,IDF,2.0230331088737,0,0.0429972698484235,0.220936802274132,-0.0319436648828643,-0.0267105353478724,0
5,IDF,2.04108300651113,0,0.0548458491790268,0.177144798640602,-0.00440221880174158,-0.0273035341991053,0
6,IDF,2.04694988667097,0,0.0526712860199073,0.188636909025518,0.0126100127245126,-0.0395408714027893,0
7,IDF,2.06219520232516,0,0.0442698818953869,0.171305059824066,0.0531392401172675,-0.0550220347686412,0
8,IDF,2.03025121820495,0,0.0607872025050797,0.180871478111739,-0.0030762238601458,-0.0382297661092249,0
9,IDF,1.98378435800569,0,0.0777824642344326,0.201210474423109,-0.0385344915047466,-0.0323258561296718,0
10,IDF,2.03316218630666,0,0.0471655757545865,0.188213377660596,0.00606008824060153,-0.0316991524986757,0
1,Centre,-0.60497046626214,0,0.116023630159077,0.401083130576163,0.0617117848117476,0.042397639299392,0
2,Centre,-0.813236940456128,0,0.292289901993769,0.218545607884878,0.232347865915578,0.0193188441190289,0
3,Centre,-0.836895071025873,0,0.342339422001381,0.214121663387078,0.119766593095941,0.0351901785340808,0
4,Centre,-0.656824292641811,0,0.163209373422859,0.298214410356101,0.138449629485339,0.0435116897082443,0
5,Centre,-0.88793956350802,0,0.261157191819387,0.328352262323104,0.0583260078570412,0.0454825089590684,0
6,Centre,-0.918173970257891,0,0.333866659397269,0.197059051413239,0.204986805761213,0.0112717830778875,0
7,Centre,-0.748051364459582,0,0.246734028009265,0.203177277514272,0.282130262799056,0.0311465195122511,0
8,Centre,-0.59546827881354,0,0.188417759279291,0.198456464379413,0.246869800708223,0.0316597072406356,0
9,Centre,-0.678918501969714,0,0.214662879607544,0.254997568963803,0.195063541775791,0.0167354105429802,0
10,Centre,-0.695326760487405,0,0.283387161841604,0.199212250267755,0.126624611768396,0.0573509816661767,0
1,BFC,0.119658021814121,0,-3.43224673804501e-5,-0.28423974369588,0.000958783656801215,0.0617567158438286,0
2,BFC,0.0792167361887102,0,-0.00914634065479811,-0.352758308959659,0.229132232009565,0.00280319468888286,0
3,BFC,0.045597106799563,0,0.0231228087885824,-0.323638138776134,0.105530059985827,-0.00398802058052333,0
4,BFC,0.106443155972621,0,-0.0223577176548271,-0.253339184251052,0.0154859294048315,0.0367984156841614,0
5,BFC,0.102298906582003,0,-0.00555386427726278,-0.303044685986301,0.0934919492117716,0.0447661602033877,0
6,BFC,0.128931637376133,0,-0.00223493284596664,-0.326426749818829,0.111672784129961,-0.00329975360186456,0
7,BFC,0.0743112998430736,0,-0.0115824370452168,-0.301101040910712,0.155717619863952,-0.00124217029834481,0
8,BFC,0.2065152947129,0,-0.0521077780463497,-0.249347445980383,-0.00125151333042637,0.0226577552813939,0
9,BFC,0.0259938764189642,0,-0.000362665674249127,-0.237713805119538,0.0269134733971763,0.00190787144979937,0
10,BFC,0.167911628511892,0,-0.0391203442714711,-0.263432487963909,0.00201980524020125,0.0464565792947724,0
1,Normandie,0.6734749330289,0,0.117526434132965,-0.0416966345593566,-0.181006796380156,0.0231546146824033,0
2,Normandie,0.800523829423168,0,0.132013263542129,-0.145442883366371,-0.114038047561276,-0.0205127236295912,0
3,Normandie,0.685323082344752,0,0.0823258333219094,0.0826335748930573,-0.250766294554292,-0.00899575758112627,0
4,Normandie,0.693015347066,0,0.101378409143745,-0.0304953061825704,0.014468205384267,-0.0459249571774371,0
5,Normandie,0.83428472556187,0,0.0399694611546558,0.0195243992085629,-0.156730124165314,-0.0371801222578898,0
6,Normandie,0.74544300643371,0,0.118850895452586,-0.0683248643618873,-0.184832975265456,-0.0053594528342726,0
7,Normandie,0.740119056117339,0,0.105805884730485,-0.0418791827131825,-0.138465059705197,0.00817929852569357,0
8,Normandie,0.814729820567052,0,0.0639475939982736,-0.0345642868660981,-0.103473749004896,0.00377809235718556,0
9,Normandie,0.79280135983037,0,-0.00213320939249144,0.0522238515083788,-0.179279961915845,0.00179529476851151,0
10,Normandie,0.67871039845886,0,0.20186841886988,-0.114902033412671,-0.158236835387179,0.0118624687628947,0
1,HDF,0.278185069385351,0,-0.0567098283779571,0.154071167702706,0.0478919250305455,0.0366395053929246,0
2,HDF,0.367934301029796,0,-0.0797506104164612,0.113483767791173,0.0264694827609295,0.0579269217746168,0
3,HDF,0.279100396739508,0,-0.046130783373767,0.0788234150714252,0.126077907565832,0.0356313637965239,0
4,HDF,0.244091070896811,0,-0.0184473939058359,0.0467628444068589,0.219020564914956,-0.00560763427406137,0
5,HDF,0.306969630091678,0,-0.0326524810640605,0.0210727284710234,0.189068875629099,0.019928169467134,0
6,HDF,0.316705414811861,0,-0.0433983414179743,0.0469226685968066,0.191968786179158,0.00698733136737719,0
7,HDF,0.297845515991218,0,-0.0577170137565548,0.0836741079418981,0.198733316973705,-0.00608588877763378,0
8,HDF,0.198565831218894,0,0.010689872266714,0.0554330936575224,0.162938205845841,0.0152271145891779,0
9,HDF,0.283091786406217,0,-0.0525565314247064,0.0728099398907065,0.20142844765162,0.000517929692702509,0
10,HDF,0.328764959486704,0,-0.0571633575028058,0.0727828603045686,0.164993865497774,0.0291509232466505,0
1,GrandEst,1.87766381526947,0,-0.164489498722653,-0.157822019668191,-0.278761422412328,0.113005822636712,0
2,GrandEst,1.87912004095626,0,-0.147937670252341,-0.227842186278494,-0.138433457701049,0.0735829424994071,0
3,GrandEst,1.88416772891146,0,-0.166023772938647,-0.198521563667357,-0.17257869474353,0.0753088326609187,0
4,GrandEst,1.8907146297673,0,-0.185378669569298,-0.188412678044239,-0.145775657706413,0.0629535069896847,0
5,GrandEst,1.86425263918067,0,-0.154895111194842,-0.215996753432668,-0.152064576891943,0.0670672866366803,0
6,GrandEst,1.86858332802598,0,-0.143572153556949,-0.197163917637343,-0.291796678326237,0.0921718228288289,0
7,GrandEst,1.88980219498636,0,-0.158513864045496,-0.236188503917238,-0.130386819257733,0.0836081052357194,0
