rep,id,transmission,ascertainment,eta_transmission,eta_ascertainment
1,1,-0.174236947686613,1.52902465923719,-0.288577368874902,1.90183990719265
2,1,0.12301130919857,1.32357514439077,0.00867088801027976,1.69639039234624
3,1,0.619382179948493,0.953057385313447,0.505041758760204,1.32587263326891
1,2,-0.145106839352687,-0.608848725844441,-0.259447260540977,-0.236033477888976
2,2,0.217539250809632,-0.44603569768102,0.103198829621342,-0.0732204497255554
3,2,0.280445456482125,-0.705754375594807,0.166105035293836,-0.332939127639342
1,3,0.145936049019073,-2.6318679554391,0.0315956278307836,-2.25905270748363
2,3,0.177817368204646,-2.15209941303744,0.0634769470163566,-1.77928416508198
3,3,0.260704428054846,-3.34971306191148,0.146364006866557,-2.97689781395602
1,4,0.315277247132612,-0.713966704898437,0.200936825944322,-0.341151456942973
2,4,0.526069497412741,-1.43845557685176,0.411729076224451,-1.06564032889629
3,4,-0.163067352143446,0.0563778595198252,-0.277407773331736,0.42919310747529
1,5,0.296659835211768,0.434079360578177,0.182319414023479,0.806894608533642
2,5,-0.0604334692571169,-1.81273863824752,-0.174773890445407,-1.43992339029206
3,5,-0.180066097371166,0.469890110302322,-0.294406518559456,0.842705358257787
1,6,0.539467638532883,-0.735061375915201,0.425127217344593,-0.362246127959736
2,6,0.527333769815604,-0.686983975642453,0.412993348627315,-0.314168727686989
3,6,0.517604064128053,-0.658155507828478,0.403263642939763,-0.285340259873014
1,7,0.342280794457091,-1.31168421852327,0.227940373268801,-0.938868970567805
2,7,0.274202224473131,-1.17573629238306,0.159861803284841,-0.802921044427597
3,7,0.283955903772553,-0.960212123308361,0.169615482584264,-0.587396875352896
1,8,0.111093786440595,-0.637979501406892,-0.00324663474769527,-0.265164253451428
2,8,0.00587254500101805,-0.475597834276158,-0.108467876187272,-0.102782586320694
3,8,-0.0338486505249708,-0.509753451095592,-0.148189071713261,-0.136938203140127
1,9,0.270960892874182,0.120474544649619,0.156620471685892,0.493289792605083
2,9,0.199974421675916,0.207085880039755,0.0856340004876257,0.57990112799522
3,9,0.0888520132678891,0.289096000519446,-0.0254884079204007,0.661911248474911
1,10,-0.3411290461666,-0.541368107238704,-0.455469467354889,-0.16855285928324
2,10,-0.206067653201475,-0.784766056444444,-0.320408074389765,-0.411950808488979
3,10,-0.294969596475803,-0.535023162293262,-0.409310017664093,-0.162207914337798
1,11,0.137902873654988,-0.0145044318111702,0.0235624524666982,0.358310816144294
2,11,0.194051202331304,-0.103485523432369,0.0797107811430145,0.269329724523096
3,11,0.187431830719713,-0.115284965341464,0.073091409531423,0.257530282614001
1,12,0.0451919485111773,-0.635020589369207,-0.0691484726771125,-0.262205341413743
2,12,0.00633797823327485,-0.325595993763253,-0.108002442955015,0.0472192541922118
3,12,0.213164499753696,-0.887918739989432,0.0988240785654063,-0.515103492033967
1,13,-0.0737406723748084,-0.843242490688134,-0.188081093563098,-0.470427242732669
2,13,-0.169380589457469,-0.745758726888669,-0.283721010645758,-0.372943478933205
3,13,-0.0623616609465885,-0.839034394671769,-0.176702082134878,-0.466219146716304
1,14,0.208723971636394,-0.0824403938700062,0.0943835504481042,0.290374854085458
2,14,0.123143883274107,0.0755243286888016,0.00880346208581705,0.448339576644266
3,14,0.211183301786065,-0.11255708939553,0.096842880597775,0.260258158559935
1,15,0.131467217532903,0.294594778227702,0.0171267963446131,0.667410026183167
2,15,0.186225822492354,0.147757017967493,0.071885401304064,0.520572265922957
3,15,0.220319263686331,0.0737156473697483,0.105978842498041,0.446530895325213
1,16,0.144079972795278,-0.915163303322244,0.0297395516069882,-0.54234805536678
2,16,0.145349252093364,-0.919805298047259,0.0310088309050745,-0.546990050091794
3,16,0.141741411094324,-0.89047370567877,0.0274009899060346,-0.517658457723306
1,17,0.290888011496097,-0.180064029717195,0.176547590307808,0.192751218238269
2,17,0.275165603356836,-0.121408540138834,0.160825182168546,0.25140670781663
3,17,0.323450166338969,-0.255021652903412,0.20910974515068,0.117793595052052
1,18,-0.0908162021102378,1.63295860217406,-0.205156623298528,2.00577385012952
2,18,0.107420958850164,1.2780435100968,-0.00691946233812551,1.65085875805226
3,18,0.149218792923507,1.38568405490337,0.0348783717352174,1.75849930285883
