parameter,value,se_sa,rse_sa
b1_pop,0.73896521486536,0.0518459914158202,7.01602597427629
b2_pop,0.57126507910949,0.058300579463605,10.205521323741
Dq_pop,1.10759369335492,0.470901905569345,42.5157626297938
E0_pop,733.046765620516,221.685844752338,30.2417055976891
A0_pop,208.004036084074,179.616971199863,86.3526374686611
omega_b1,0.238966065112484,0.0535561894266057,22.4116296183712
omega_b2,0.3556278299339,0.0886696517512758,24.9332713268691
omega_Dq,1.47319050286106,0.373407611745872,25.3468652574588
omega_E0,0.991054630578056,0.220211943528953,22.2199601045715
omega_A0,1.40565277652047,0.69766988203411,49.6331593184137
