rep,id,b1,Dq,E0,A0,betat1,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,1,0.0130223499627358,0.560521466565342,7.96977990202346,4.74167166141764,-0.701262517072657,0.312356059887355,0.477529678752748,0.888508840208687,-1.14354946677615,-0.562978578759598
2,1,0.00746548900397184,0.568023625863136,7.89216002957404,5.48970112065961,-0.681664403071949,0.306799198928591,0.485031838050543,0.810888967759269,-0.395520007534182,-0.54338046475889
3,1,0.0203617637646388,0.53232850203279,7.62244648282462,6.09398517569125,-0.693537373412825,0.319695473689258,0.449336714220196,0.541175421009846,0.208764047497463,-0.555253435099766
4,1,0.0130607285335897,0.561985559417604,7.79264693346096,5.76073159436817,-0.690375555262866,0.312394438458209,0.47899377160501,0.711375871646192,-0.124489533825621,-0.552091616949807
5,1,0.00297466085761681,0.594677153337878,7.83910928984507,5.84019273283282,-0.700368235191316,0.302308370782236,0.511685365525285,0.757838228030304,-0.0450283953609691,-0.562084296878257
1,2,-0.0724691015617581,-0.8599930533817,5.57624582836122,5.48171303977159,-0.212333487013975,0.226864608362861,-0.942984841194293,-1.50502523345355,-0.403508088422203,-0.0740495487009165
2,2,-0.190281400696441,-0.684413517900534,6.00006314806996,5.84821121409365,-0.0853958849541079,0.109052309228179,-0.767405305713128,-1.08120791374481,-0.0370099141001345,0.0528880533589508
3,2,-0.00932601020863676,-0.795592592700506,5.74394493944518,5.14994905701479,-0.400571670497149,0.290007699715983,-0.8785843805131,-1.33732612236959,-0.735272071178994,-0.262287732184091
4,2,-0.0827501736690734,-0.755379954378968,5.39964630537559,5.74408961069524,-0.314790799665497,0.216583536255546,-0.838371742191562,-1.68162475643918,-0.141131517498553,-0.176506861352438
5,2,-0.135408953114398,-1.01696769661676,5.84682247506044,5.7855001545924,-0.193991588203943,0.163924756810222,-1.09995948442935,-1.23444858675433,-0.099720973601392,-0.0557076498908841
1,3,-0.206746270019833,-0.146931460090091,7.66788873717512,4.33006424998101,-0.309693286648637,0.0925874399047865,-0.229923247902684,0.586617675360349,-1.55515687821278,-0.171409348335578
2,3,-0.247023676245664,-0.135589318978116,7.52659314662966,5.77328813684084,-0.216049753163755,0.0523100336789556,-0.21858110679071,0.445322084814888,-0.111932991352949,-0.077765814850696
3,3,-0.26343563741266,-0.262674737711393,7.80268291221236,4.45099351302927,-0.178438359565978,0.035898072511959,-0.345666525523987,0.721411850397586,-1.43422761516451,-0.0401544212529191
4,3,-0.216880266947323,-0.216275927548207,7.56647941821566,4.90069805347567,-0.256267763899304,0.0824534429772965,-0.299267715360801,0.485208356400887,-0.984523074718122,-0.117983825586246
5,3,-0.228965005838321,-0.335872499674613,7.67228920567072,4.6059229717971,-0.24545663507536,0.0703687040862987,-0.418864287487207,0.591018143855952,-1.27929815639669,-0.107172696762301
1,4,-0.00539533832138954,1.61868726798806,5.84877238722908,6.19531989008448,-0.237841933971411,0.29393837160323,1.53569548017546,-1.23249867458569,0.310098761890695,-0.0995579956583527
