rep,id,transmission,ascertainment,eta_transmission,eta_ascertainment
1,1,0.500457353688164,2.8021369138445,0.285355722278983,-1.69616003106736
2,1,0.542997788492688,5.41978910655584,0.327896157083507,0.921492161643983
3,1,0.443240932125685,9.50338474823274,0.228139300716504,5.00508780332089
4,1,0.540213122265276,10.3349887007743,0.325111490856095,5.83669175586245
1,2,0.34358906473588,0.351429781914232,0.128487433326699,-4.14686716299762
2,2,0.33742331297168,0.41897702493389,0.122321681562499,-4.07931991997796
3,2,0.324394761305839,0.470966493758785,0.109293129896658,-4.02733045115307
4,2,0.328293969922828,0.459897762513824,0.113192338513647,-4.03839918239803
1,3,0.494953439020819,-2.06857386326008,0.279851807611637,-6.56687080817194
2,3,0.556716686121664,-2.34095521603135,0.341615054712483,-6.83925216094321
3,3,0.444314740702775,-2.14072059284529,0.229213109293594,-6.63901753775714
4,3,0.469111977161306,-2.05047282888412,0.254010345752125,-6.54876977379598
1,4,0.175817915633176,7.69173526557434,-0.0392837157760051,3.19343832066248
2,4,0.171639791468225,9.77199380308757,-0.0434618399409565,5.27369685817571
3,4,0.168601162467158,14.2453534543003,-0.046500468942023,9.74705650938841
4,4,0.174932940345079,7.97415882425711,-0.0401686910641018,3.47586187934526
1,5,0.47847429075622,10.1803170901673,0.263372659347039,5.68202014525545
2,5,0.485481820579474,6.09531175887769,0.270380189170292,1.59701481396584
3,5,0.489370889651633,6.4960834090596,0.274269258242452,1.99778646414774
4,5,0.475187464703668,14.7977756548355,0.260085833294487,10.2994787099236
1,6,-0.203675654099057,-0.990752740061646,-0.418777285508238,-5.4890496849735
2,6,-0.230043184191657,-0.868375638502577,-0.445144815600838,-5.36667258341443
3,6,-0.213865186324694,-0.910990507010192,-0.428966817733876,-5.40928745192205
4,6,-0.22727214505876,-0.946474234290017,-0.442373776467941,-5.44477117920187
1,7,0.389069048592565,5.61652994890369,0.173967417183384,1.11823300399184
2,7,0.391113821815355,13.370018971475,0.176012190406174,8.87172202656317
3,7,0.38983618591867,9.0526356671622,0.174734554509489,4.55433872225034
4,7,0.388389235977852,8.99042409650712,0.173287604568671,4.49212715159527
1,8,-0.062193468624932,8.27763760193179,-0.277295100034113,3.77934065701993
2,8,-0.0413630845639059,3.51539941362435,-0.256464715973087,-0.982897531287504
3,8,0.0019762787549041,3.33087513172204,-0.213125352654277,-1.16742181318981
4,8,-0.0226356564206047,1.79796851633667,-0.237737287829786,-2.70032842857518
1,9,-0.0145924223067574,-0.941245876228487,-0.229694053715939,-5.43954282114034
2,9,-0.000374294683293024,-0.991024125396097,-0.215475926092474,-5.48932107030795
3,9,-0.10686773518045,-0.571872942217357,-0.321969366589631,-5.07016988712921
4,9,-0.0330132989767702,-0.87297048084462,-0.248114930385951,-5.37126742575647
1,10,0.347168596882679,0.643947207989803,0.132066965473498,-3.85434973692205
2,10,0.339583975364201,0.831768568490211,0.12448234395502,-3.66652837642164
3,10,0.337094452822144,0.808081587730053,0.121992821412963,-3.6902153571818
4,10,0.333870937757463,0.899087998942559,0.118769306348282,-3.5992089459693
1,11,0.196245384992871,6.38430128739134,-0.0188562464163107,1.88600434247949
2,11,0.20472944553078,14.1953987057729,-0.010372185878401,9.69710176086103
3,11,0.19727864122477,12.0932426529493,-0.0178229901844111,7.59494570803745
4,11,0.194778977125691,6.99665305847523,-0.0203226542834905,2.49835611356337
1,12,0.0661837302617196,-0.834843854982375,-0.148917901147462,-5.33314079989423
2,12,0.0626971184792749,-0.810983166898141,-0.152404512929906,-5.30928011181
3,12,0.0686363909233325,-0.738102053178234,-0.146465240485849,-5.23639899809009
4,12,0.0748599683689548,-0.856457634801709,-0.140241663040226,-5.35475457971356
1,13,0.2051779135231,4.45509364176771,-0.00992371788608137,-0.0432033031441472
2,13,0.187198305732669,5.51114170997425,-0.0279033256765127,1.0128447650624
3,13,0.19543339702118,7.54549450921817,-0.0196682343880012,3.04719756430631
4,13,0.196491531385679,6.6583879757442,-0.018610100023502,2.16009103083235
1,14,0.328914264742265,7.56612177587172,0.113812633333084,3.06782483095986
2,14,0.315737662932075,5.72542263552983,0.100636031522894,1.22712569061798
3,14,0.286301666805446,16.9614197362343,0.0712000353962643,12.4631227913224
4,14,0.303364812381564,15.475333259733,0.0882631809723833,10.9770363148212
