reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	ascertainementmin	ascertainementmax	ascertainementsd	IDname
REG-11	2020-03-02	0	25	5	1	25	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-03	1	25	5	1	3	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-04	2	25	5	1	18	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-05	3	25	5	1	21	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-06	4	25	5	1	13	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-07	5	25	5	1	15	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-08	6	25	5	1	86	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-09	7	25	5	1	158	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-10	8	25	5	1	230	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-11	9	25	5	1	158	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-12	10	25	5	1	85	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-13	11	25	5	1	144	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-14	12	25	5	1	228	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-15	13	25	5	1	260	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-16	14	25	5	1	553	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-17	15	25	5	1	415	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-18	16	25	5	1	516	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-19	17	25	5	1	691	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-20	18	25	5	1	434	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-21	19	25	5	1	877	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-22	20	25	5	1	588	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-23	21	25	5	1	928	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-24	22	25	5	1	587	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-25	23	25	5	1	862	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-02	0	25	5	2	5	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-03	1	25	5	2	6	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-04	2	25	5	2	11	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-05	3	25	5	2	14	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-06	4	25	5	2	22	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-07	5	25	5	2	17	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-08	6	25	5	2	19	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-09	7	25	5	2	48	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-10	8	25	5	2	52	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-11	9	25	5	2	55	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-12	10	25	5	2	88	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-13	11	25	5	2	101	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-14	12	25	5	2	87	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-15	13	25	5	2	102	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-16	14	25	5	2	134	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-17	15	25	5	2	180	0	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-18	16	25	5	2	183	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-19	17	25	5	2	268	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-20	18	25	5	2	302	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-11	2020-03-21	19	25	5	2	239	1	12278210	0.0431010769979476	0.0383280178374869	0.0492320334497468	0.0178731368554414	IDF
REG-75	2020-03-05	0	3	1	1	3	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-06	1	3	1	1	3	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-07	2	3	1	1	6	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-08	3	3	1	1	0	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-09	4	3	1	1	0	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-10	5	3	1	1	37	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-11	6	3	1	1	12	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-12	7	3	1	1	21	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-13	8	3	1	1	27	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-14	9	3	1	1	16	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-15	10	3	1	1	14	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-16	11	3	1	1	34	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-17	12	3	1	1	22	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-18	13	3	1	1	37	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-19	14	3	1	1	43	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-20	15	3	1	1	152	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-21	16	3	1	1	89	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-22	17	3	1	1	91	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-23	18	3	1	1	64	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-24	19	3	1	1	113	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-25	20	3	1	1	123	1	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
REG-75	2020-03-06	1	3	1	2	2	0	5999982	0.0323584318606098	0.0261321123457479	0.0424798039393664	0.0178731368554414	NAquitaine
