rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,IDF,0.0639144120861293,0.426688801638101,0.484370254034042,1.61857939030073,0
2,IDF,0.0765758426577991,0.424119537364931,0.465016976533524,1.53803589897334,0
3,IDF,0.0751628892673796,0.526076021578592,0.631152578076577,1.43962214359142,0
4,IDF,0.0713680764133251,0.3425833780424,0.622918577354304,1.39720626054041,0
5,IDF,0.0796234643522436,0.449656567441059,0.686503288239488,1.27979274564364,0
6,IDF,0.0588340315474414,0.466803254873705,0.536475262601608,1.62789289103247,0
7,IDF,0.061353101617903,0.479161531542791,0.454998780840873,1.68321600205114,0
8,IDF,0.0668330330862757,0.406971720088197,0.5797846319667,1.53881961293956,0
9,IDF,0.0575374991642762,0.341449289342918,0.739293085967362,1.4044800677505,0
10,IDF,0.0512946091740334,0.38862686892392,0.708332135834685,1.53099686109882,0
1,NAquitaine,0.156055357554547,-0.720893762738436,-1.50123423811603,-0.160733621194012,0
2,NAquitaine,0.164790836646118,-0.618526640037567,-0.811592908338282,-1.19591537008669,0
3,NAquitaine,0.185141279786592,-0.775058729564636,-0.756644888531444,-1.79392891657125,0
4,NAquitaine,0.113606028618983,-0.594315884920516,-1.3244397199265,0.119318523392303,0
5,NAquitaine,0.139421278685617,-0.319774692081169,-0.852537583947524,-0.433156493383704,0
6,NAquitaine,0.158299485631775,-0.655264128592425,-1.3823072410723,-0.147874423632598,0
7,NAquitaine,0.110868839045575,-0.613870159398765,-0.487423126561827,-1.45420544015862,0
8,NAquitaine,0.13439340830551,-0.762484140363388,-1.04152277578026,-0.356081347499081,0
9,NAquitaine,0.127230790120833,-0.599179931275573,-1.31768592495017,-0.0419459296841736,0
10,NAquitaine,0.131157245876227,-0.7291360056618,-0.978631793381187,-0.426749794658674,0
1,AURA,0.00622155605235956,-0.515290965107046,0.601971259949704,-1.28733650417404,0
2,AURA,0.0240437810441808,-0.209849634019788,0.626410322071014,-2.92300246988004,0
3,AURA,0.0244927864820465,-0.314863497635264,0.567501886260569,-1.415386446695,0
4,AURA,0.0225409776811085,-0.303389779465469,0.498716398582885,-0.305700316366824,0
