rep,id,b1,Dq,E0,betat1,betat2
1,IDF,2.20613366816291,1.81634477381512,2844.72206019025,-0.270276,-1.0195846566752
2,IDF,2.22707559065613,1.71744939257986,2611.54828594644,-0.270276,-1.0195846566752
3,IDF,2.2203485786398,1.72232249400819,2642.79863189057,-0.270276,-1.0195846566752
4,IDF,2.2207962033859,1.65697158345107,2658.48488345594,-0.270276,-1.0195846566752
5,IDF,2.18829570997581,1.75024591215633,2922.45666097175,-0.270276,-1.0195846566752
6,IDF,2.20877431560969,1.71659741321147,2821.28628522899,-0.270276,-1.0195846566752
7,IDF,2.20144836066668,1.72389030182958,2837.18649456223,-0.270276,-1.0195846566752
8,IDF,2.20464712869686,1.81963621328007,2919.9357443959,-0.270276,-1.0195846566752
9,IDF,2.22159953214287,1.69817196780586,2686.7601851746,-0.270276,-1.0195846566752
10,IDF,2.22893946845359,1.73555490127363,2607.46987717443,-0.270276,-1.0195846566752
1,NAquitaine,2.51162644556713,0.413368193776068,316.192843350207,-0.270276,-1.0195846566752
2,NAquitaine,2.47948881735885,0.517427768801179,382.052059596785,-0.270276,-1.0195846566752
3,NAquitaine,2.50678681741375,0.628850291184739,360.511305672614,-0.270276,-1.0195846566752
4,NAquitaine,2.54815934601835,0.443482773703304,288.844208343792,-0.270276,-1.0195846566752
5,NAquitaine,2.53030591720667,0.552100075830402,315.010630589582,-0.270276,-1.0195846566752
6,NAquitaine,2.50346487212838,0.455068877910562,329.958768707779,-0.270276,-1.0195846566752
7,NAquitaine,2.46890800746357,0.512558358386827,387.441196500156,-0.270276,-1.0195846566752
8,NAquitaine,2.58653036874189,0.516481511767838,258.810535888719,-0.270276,-1.0195846566752
9,NAquitaine,2.51656605849542,0.685378165104538,341.183932544768,-0.270276,-1.0195846566752
10,NAquitaine,2.50548172423433,0.614816221773122,356.909880646712,-0.270276,-1.0195846566752
1,AURA,2.04311453380574,0.524818093979926,349.141678039603,-0.270276,-1.0195846566752
2,AURA,2.04027803265121,0.689175988936151,485.170215669969,-0.270276,-1.0195846566752
3,AURA,2.05819207943407,0.723426080518968,388.497110350155,-0.270276,-1.0195846566752
4,AURA,2.03382806006793,0.621843096887985,461.039539978556,-0.270276,-1.0195846566752
5,AURA,2.03729695617614,0.586787706401326,393.972860726579,-0.270276,-1.0195846566752
6,AURA,2.04149811766949,0.738352290151573,482.237799459375,-0.270276,-1.0195846566752
7,AURA,2.06302731029408,0.590983319419265,302.773542723751,-0.270276,-1.0195846566752
8,AURA,2.06821784939182,0.70816622501328,269.225825470754,-0.270276,-1.0195846566752
9,AURA,2.07516846194965,0.790869065699436,246.294620349249,-0.270276,-1.0195846566752
10,AURA,2.04600721851572,0.64085443806179,375.862983541508,-0.270276,-1.0195846566752
1,Centre,2.45204071204257,4.17257918871147,492.306570508628,-0.270276,-1.0195846566752
2,Centre,2.48576485949421,4.10714947024949,275.698843225265,-0.270276,-1.0195846566752
3,Centre,2.43220452428105,4.57827023336803,439.916422190053,-0.270276,-1.0195846566752
4,Centre,2.43200032765284,3.93235661982533,457.944497406745,-0.270276,-1.0195846566752
5,Centre,2.53017973163558,4.45118993984698,284.443295982515,-0.270276,-1.0195846566752
6,Centre,2.41057133169069,3.75180989873871,468.791120410779,-0.270276,-1.0195846566752
7,Centre,2.46897039828728,3.98040807385457,320.159592634744,-0.270276,-1.0195846566752
8,Centre,2.48954914896648,4.09710469142173,275.301603952324,-0.270276,-1.0195846566752
9,Centre,2.53386703283485,5.2753752737075,342.571265893136,-0.270276,-1.0195846566752
10,Centre,2.48857561816966,4.34145759344397,345.437978318054,-0.270276,-1.0195846566752
1,BFC,1.93129868815111,0.73673580516062,768.674074050582,-0.270276,-1.0195846566752
2,BFC,1.92240499184272,0.82814783098698,836.350348467884,-0.270276,-1.0195846566752
3,BFC,1.93741792078496,0.839068921740475,824.388559925831,-0.270276,-1.0195846566752
4,BFC,1.89165456532392,0.761758339575319,878.769896958562,-0.270276,-1.0195846566752
5,BFC,1.92592644354428,0.90906056936828,808.202767320228,-0.270276,-1.0195846566752
6,BFC,1.91284302791739,0.716720991133521,832.122879109858,-0.270276,-1.0195846566752
7,BFC,1.90318837315956,0.902866200148289,881.954169287452,-0.270276,-1.0195846566752
8,BFC,1.92927614919863,0.717401914661842,792.427912149944,-0.270276,-1.0195846566752
9,BFC,1.93484673322957,0.796547468526723,798.669043217061,-0.270276,-1.0195846566752
10,BFC,1.88460901887368,0.785585606072072,890.510211889254,-0.270276,-1.0195846566752
1,Normandie,1.95095367225864,3.00742903822772,1743.626802667,-0.270276,-1.0195846566752
2,Normandie,1.99001913435045,2.98509126914518,1556.01869808729,-0.270276,-1.0195846566752
3,Normandie,1.97556507982434,2.90946948631578,1752.92394182537,-0.270276,-1.0195846566752
4,Normandie,1.95181025865223,3.3604771300288,1845.27730517821,-0.270276,-1.0195846566752
5,Normandie,1.90728537414951,3.3864511951191,2174.02535968583,-0.270276,-1.0195846566752
6,Normandie,1.99391464018515,3.50815147900718,1885.76212938751,-0.270276,-1.0195846566752
7,Normandie,2.03130902932071,3.23498687092701,1402.56761384358,-0.270276,-1.0195846566752
8,Normandie,1.98962077148645,3.21722865465956,1964.1358002683,-0.270276,-1.0195846566752
9,Normandie,1.98918836287232,3.20978410971932,1732.35254258724,-0.270276,-1.0195846566752
10,Normandie,1.9993835357916,3.56366080250415,1645.19642489202,-0.270276,-1.0195846566752
1,HDF,1.80794832453124,2.01275541548354,1169.04535359423,-0.270276,-1.0195846566752
