rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,IDF,0.196793299209313,0.551998528660038,0.823779822102647,0.468002827283597,0
2,IDF,0.199624099254559,0.575269907876312,0.823837509250666,0.463929908641848,0
3,IDF,0.202260992762275,0.565214457987255,0.940979618539595,-0.214700879984422,0
4,IDF,0.201078858411508,0.594867041799632,0.63283928018022,0.87863100180682,0
5,IDF,0.194150369182415,0.572398926090188,0.618408906105592,0.962186216760146,0
6,IDF,0.183231254689226,0.483682987073852,0.858026055135277,0.555573277151598,0
7,IDF,0.199501734079537,0.56120696049562,0.756923889210509,0.630470843934174,0
8,IDF,0.199014314416733,0.607662091113751,0.964101785628146,-0.234959923203028,0
9,IDF,0.199439662385284,0.60522446964762,0.785506537382201,0.61747596350381,0
10,IDF,0.191795382538969,0.534527195280031,0.623848979665237,0.986466815663054,0
1,NAquitaine,0.273234164995855,-0.907050395206108,-0.756116165696404,-1.83562988337019,0
2,NAquitaine,0.291043753123072,-0.345038541528109,-2.15844740478996,-0.0387991397170927,0
3,NAquitaine,0.26622488188281,-0.666464128877424,-1.15155151096275,-0.603885575199348,0
4,NAquitaine,0.272627844473455,-0.483851767755619,-2.29353158399462,0.0239587480251431,0
5,NAquitaine,0.248295848998629,-0.701112411629235,-1.48627427700561,-0.171562977138928,0
6,NAquitaine,0.239950951267501,-0.694978207072636,-0.749874036678423,-0.933133023615426,0
7,NAquitaine,0.269900732946953,-0.629383743972906,-2.08235178331922,-0.0108164948642993,0
8,NAquitaine,0.276450030051626,-0.668915974563826,-2.01075443152875,-0.105843050762164,0
9,NAquitaine,0.261204559627093,-0.48509858329971,-1.51402873254523,-0.164266507389501,0
10,NAquitaine,0.278305111256291,-0.602250909139227,-1.72593682334228,-0.245956478072452,0
1,AURA,0.153056261680118,-0.573996019772848,0.29355783103081,-0.601774080335099,0
2,AURA,0.176700185003869,-0.467420968960699,0.26963067890604,-1.60810366402097,0
3,AURA,0.153526599122905,-0.61851861155324,0.399527375096251,-1.830902568961,0
4,AURA,0.151826642306879,-0.428006532715705,0.42737477232407,-1.65423602314316,0
5,AURA,0.165362800141762,-0.499113731842262,0.368035695495062,-2.28749629310223,0
6,AURA,0.156498260359662,-0.434176144100324,0.348623126663938,-1.14548981325079,0
7,AURA,0.165552296093582,-0.606046413155169,0.358186703711694,-2.29400468973115,0
8,AURA,0.160438462556053,-0.476851404072259,0.368446853086405,-2.14654562479592,0
9,AURA,0.155047198878532,-0.489351197624188,0.333047794990053,-0.999488406690263,0
10,AURA,0.174529678441725,-0.397718848637331,0.311354065376272,-2.10573851181015,0
1,Centre,0.415447789471616,1.60931169596724,-0.399197464064403,-0.0749623985956534,0
2,Centre,0.349588965891823,1.476350545194,-1.02239674712473,0.779519676124228,0
3,Centre,0.30629032252947,1.30027080444032,-0.86328840168824,0.913540941173708,0
4,Centre,0.328736542966355,1.38086789360968,-1.35026698086416,0.968743747353584,0
5,Centre,0.360093093885554,1.35678361676345,-0.390317566971131,0.290693650413871,0
6,Centre,0.349054565364072,1.33142352682824,-0.316416940384747,0.175229294969473,0
7,Centre,0.31849868343189,1.35477910319115,-0.867188141330063,0.83397690662208,0
8,Centre,0.331405160295348,1.47903010726607,-0.724929874383409,0.742634654307911,0
9,Centre,0.29795833075703,1.47429923910457,-0.615795203746403,0.894366189179196,0
10,Centre,0.397923161091113,1.47428213510265,-0.79328281167943,0.487414097839618,0
1,BFC,0.067000311407292,-0.0737415406895282,-0.889600726321953,-0.373096745611111,0
2,BFC,0.0558217925661782,-0.498968670605093,-1.36247504254587,0.103579244350842,0
3,BFC,0.0658444320446548,-0.363427923607544,-0.559667238608037,-1.37486646593586,0
4,BFC,0.0437750527663488,-0.471595598669098,-1.06417814189638,-0.051175286375136,0
5,BFC,0.0522824621110029,-0.256559774948123,-0.537759876298505,-0.998374629782298,0
6,BFC,0.0375593692450279,-0.522245282056293,-0.61460257619869,-0.590406477894923,0
7,BFC,0.0555730480543507,-0.246157945713613,-1.68635742883073,0.256321100727163,0
8,BFC,0.047664357993055,-0.365691352643665,-0.524160633119,-1.15836937420001,0
9,BFC,0.0485855471026312,-0.36206499318301,-0.702288472436707,-0.478114541919125,0
10,BFC,0.0639821268446015,-0.428738030619084,-0.84275602576228,-0.453387297720865,0
1,Normandie,0.185468841846703,1.01312566330569,1.12415660916192,-1.387845453986,0
2,Normandie,0.243669951595702,1.27307731140777,1.02256969937269,-0.330403473888916,0
3,Normandie,0.22347313345046,1.29798794666838,1.18293004129448,-1.12811885434896,0
4,Normandie,0.228388893775494,1.20536701840055,1.10423434784606,-1.25941267430078,0
5,Normandie,0.23201336164312,1.14477074971423,0.983127994445679,-0.13804414614749,0
6,Normandie,0.223557872127331,1.38788232166576,1.14367221545178,-1.24226854098285,0
7,Normandie,0.208396516872279,1.17583379242967,1.09378042765688,-0.0959441630407716,0
8,Normandie,0.237185695331024,1.32698570134757,1.06333178877072,-0.296808481216835,0
9,Normandie,0.225002238449176,1.1935423007839,1.12580860244019,-0.576431171410948,0
10,Normandie,0.197405916022418,1.19836949590343,1.13716284791067,-0.121854096976881,0
1,HDF,0.0999548839845505,0.637193760732772,0.682293800179525,-0.399780764942381,0
