rep,id,transmission,ascertainment
1,Guadeloupe,1.62657964151529,1.2876853366388
2,Guadeloupe,1.94051966204002,0.772345711156708
3,Guadeloupe,1.85075248810101,1.12319133163275
4,Guadeloupe,1.77021167465344,0.98211258017555
5,Guadeloupe,1.64310537978464,0.963736488053876
6,Guadeloupe,1.12728704083205,1.3938406104808
7,Guadeloupe,1.1187945133356,0.878582578881331
8,Guadeloupe,1.61315682562883,1.25667637204627
9,Guadeloupe,1.95506132774909,0.966814602100469
10,Guadeloupe,1.82780099153245,1.04416432543601
1,Martinique,2.24137633104744,0.0992253119564856
2,Martinique,1.40100569442267,0.1945070656755
3,Martinique,1.516791732771,0.214832565970383
4,Martinique,1.93777851633044,0.152354320786606
5,Martinique,1.88691922434676,0.133088052055781
6,Martinique,1.37448096405129,0.294566421232819
7,Martinique,1.56850303466793,0.263514630068653
8,Martinique,2.19309932207627,0.129165429911434
9,Martinique,1.18836186299918,0.174661533958104
10,Martinique,2.09328366950864,0.106113382009006
1,Guyane,1.29932082920275,0.0242399992119783
2,Guyane,1.05652812589652,0.0484126126913571
3,Guyane,1.42681147359746,0.0297810807031364
4,Guyane,1.70309469926628,0.0234431526015304
5,Guyane,1.2829995064337,0.0417878453586528
6,Guyane,1.45851794609917,0.0328689357811452
7,Guyane,1.55339119935565,0.02812356987587
8,Guyane,1.13275942732099,0.051812108011143
9,Guyane,1.29589890999835,0.0544757833196369
10,Guyane,1.21509287247643,0.0193741700722765
1,Reunion,1.67341070739083,0.188538226222888
2,Reunion,1.71043747436802,0.304054031952226
3,Reunion,1.20302071296893,0.197509468936847
4,Reunion,1.18564187669101,0.157627701914884
5,Reunion,1.04330797608122,0.190998879213436
6,Reunion,1.95369566192855,0.191849637545667
7,Reunion,2.19090520130555,0.164191106388634
8,Reunion,1.25925433808863,0.23695605570877
9,Reunion,1.77579712088387,0.110464195527225
10,Reunion,1.42493630811847,0.17292810203463
1,Mayotte,1.04674936616906,0.191469863704613
2,Mayotte,1.40362475447766,0.263960559242603
3,Mayotte,1.21166575263594,0.0958387966813498
4,Mayotte,1.25479272466499,0.693089629888643
5,Mayotte,2.47067121765256,0.294240281518725
6,Mayotte,1.41671949194105,0.102976439302608
7,Mayotte,1.55976748605252,0.0899893842634424
8,Mayotte,1.81001414742948,0.138546002956772
9,Mayotte,1.62667093923938,0.721820479205818
10,Mayotte,1.22479207443143,0.0470887982441719
1,IDF,2.19882672324533,0.193187309123419
2,IDF,2.21799277134017,0.196702383723961
3,IDF,2.16000982606299,0.213003154966957
4,IDF,2.25124397649809,0.180254543801528
5,IDF,2.19589401630687,0.199036609369876
6,IDF,2.23723358582531,0.188630640230336
7,IDF,2.35294886221159,0.166128555139701
8,IDF,2.19589401630687,0.200746973629682
9,IDF,2.23297817414122,0.199469701340551
10,IDF,2.2055039325539,0.198623002207639
1,Centre,1.98710418724568,0.096224659330697
2,Centre,1.7439143741234,0.142496652719434
3,Centre,2.41865189542006,0.060149849229545
4,Centre,2.03156346480937,0.0874709565091744
5,Centre,1.87640492776553,0.114672880314699
6,Centre,2.11969494221386,0.0803791643438904
7,Centre,1.9041225264161,0.102978166768898
8,Centre,2.35998349477395,0.0633650704015498
9,Centre,1.88518504765914,0.12026718123865
10,Centre,2.02637913076543,0.0943392870395748
1,BFC,1.44182988516365,0.212522605554029
2,BFC,1.48137291321576,0.222615206356028
3,BFC,1.33566186581855,0.259647107350562
4,BFC,1.3724154350984,0.244632984052903
5,BFC,1.44588383183485,0.203543722099852
6,BFC,1.41979501128299,0.221674097606721
7,BFC,1.33661939292936,0.234022825558885
8,BFC,1.54774420937612,0.172639914332176
9,BFC,1.36267345568345,0.237619232824506
10,BFC,1.32419428378572,0.277509601172458
1,Normandie,1.33609731716316,0.573602677242554
2,Normandie,1.44914466052186,0.513211223566367
3,Normandie,1.47481236128447,0.523053832618917
4,Normandie,1.71915260991211,0.391781989808615
5,Normandie,1.45159026494299,0.55148167436685
6,Normandie,1.56076791734192,0.404586544014223
7,Normandie,1.52107398708677,0.437153372083359
8,Normandie,1.46398246444461,0.545450791301443
9,Normandie,1.63299424664996,0.440049508917363
10,Normandie,1.45257879928448,0.47613034498108
1,HDF,1.16346639606,0.158761697587724
2,HDF,1.14756204007502,0.170948518633671
3,HDF,1.08833222282697,0.202548600295378
4,HDF,1.05631778848394,0.200403917795182
5,HDF,1.04337555782865,0.205088933826541
6,HDF,1.15754810531271,0.176882348846151
7,HDF,1.11862979135202,0.175908434190714
8,HDF,1.17790949331319,0.175509848477346
9,HDF,1.10016293182497,0.192906356938825
10,HDF,1.0772904659972,0.18922931148407
1,GrandEst,1.49060258182647,0.382582706531122
2,GrandEst,1.61400113649953,0.338491649151843
3,GrandEst,1.66436798193713,0.323857136532737
4,GrandEst,1.518811947718,0.379825251038039
5,GrandEst,1.63766353281945,0.32925171228622
6,GrandEst,1.62625674979284,0.328123331735145
7,GrandEst,1.51931421766755,0.380611786365618
8,GrandEst,1.53191418119641,0.363991371016863
9,GrandEst,1.61615867849961,0.332252050842633
10,GrandEst,1.53328333287733,0.384541316465155
1,PaysLoire,1.70780412120931,0.145719588657151
2,PaysLoire,1.35878679355874,0.270160216355153
3,PaysLoire,1.33852930642691,0.285773108455402
4,PaysLoire,1.35795845635943,0.25531612294374
5,PaysLoire,1.48108254315669,0.194853728741106
6,PaysLoire,1.23949965006616,0.306316438400279
7,PaysLoire,1.57189253208712,0.164566124697045
8,PaysLoire,1.48684623199067,0.216148241906682
9,PaysLoire,1.65611335008502,0.192277245408606
10,PaysLoire,1.7504315815685,0.154145486593092
1,Bretagne,1.17207054703862,0.198402601757743
2,Bretagne,1.08480954479518,0.222289125915085
3,Bretagne,1.18867710812628,0.180462939781619
4,Bretagne,1.42943141852395,0.144915962351531
5,Bretagne,1.2748213760042,0.19437284062084
6,Bretagne,1.2091799328459,0.187550139963427
7,Bretagne,1.2259241217688,0.15920521509921
