rep,id,eta_transmission,eta_ascertainment
6,Occitanie,0.100576945639962,0.4731342211207
7,Occitanie,0.0387957494095772,0.715798223686785
8,Occitanie,0.0746037310146119,0.536938125128332
9,Occitanie,0.0339191398377287,0.559552379851647
10,Occitanie,-0.00650995656462384,0.751723787766242
1,AURA,-0.0576941387856803,-0.322110321272485
2,AURA,0.0388008817769145,-0.549092179660164
3,AURA,-0.0879138682840203,-0.208151738062051
4,AURA,-0.00622681948799805,-0.418041783623944
5,AURA,-0.0730728180304827,-0.222721211348698
6,AURA,-0.0421772573638845,-0.329590236437022
7,AURA,0.0194840913344009,-0.523572590354149
8,AURA,0.0175796687039499,-0.525804266296413
9,AURA,-0.0153886542632588,-0.400830970832204
10,AURA,0.0437630940164111,-0.490150866866867
1,PACA,0.217911036729813,0.0848497131813462
2,PACA,0.192488579761873,0.1509263615906
3,PACA,0.231227883775273,0.0221912044562195
4,PACA,0.24565907788995,-0.00349292054238572
5,PACA,0.173061730012593,0.216278032269374
6,PACA,0.18086319589644,0.158925566808908
7,PACA,0.258770153204286,-0.00455084156529423
8,PACA,0.264116714915608,-0.0443106449820203
9,PACA,0.230088488058519,0.0239623330385058
10,PACA,0.220789360970995,0.11965697844876
1,Corse,0.0422031769309886,1.66399732321245
2,Corse,-0.0570467291319269,1.67729913835426
3,Corse,-0.00194028023250089,1.83512324910433
4,Corse,0.12914933004882,1.33041886260685
5,Corse,-0.0698145196373554,1.92610534752056
6,Corse,-0.0439490618518384,1.89738807466072
7,Corse,-0.0479349030986114,1.98642670041322
8,Corse,-0.0633985293123123,1.86008014123126
9,Corse,-0.015573863308717,1.76276330008575
10,Corse,-0.132693300841364,1.83410846293896
