rep,id,b,Dq,E0,A0,Di
1,IDF,0.691984881942797,6.1154551998068,237.595809164466,3383.21513046044,46.6069469695992
2,IDF,0.792076931057695,5.50622215580123,66.7550824978693,2951.67796426571,23.7868173220299
3,IDF,0.70584399295606,5.42851599149565,185.210884965297,3109.78559178419,55.018448911632
4,IDF,0.747183067988949,5.4879186802604,227.965361868357,3323.0698383052,26.5818430076182
5,IDF,0.671341009650815,6.19189010651694,62.4126563097367,3474.21117297237,77.79102462231
6,IDF,0.790432844810325,5.14718937653018,53.1208411020826,3197.79747795624,21.0063713413644
7,IDF,0.697849653001518,5.37797172987382,177.787395503177,3203.86830986139,57.8716968566371
8,IDF,0.772355444804679,4.98033775058209,155.212425711684,3068.28905093194,25.9297384050148
9,IDF,0.640335928635784,6.40909395772475,171.528192762615,3636.83001573477,118.519992726378
10,IDF,0.71764568549886,5.58213942202579,363.694491637255,3201.78172239236,39.357338662335
1,NAquitaine,0.659650095999516,3.17246607074657,279.846527808266,1834.02120808611,38.5534328764668
2,NAquitaine,0.810630593811658,2.5297733494816,412.56349091629,1414.76612753499,14.178344017111
3,NAquitaine,0.80346270127069,2.01826582191552,349.900183265375,1203.11858540201,20.765281759691
4,NAquitaine,0.744709572948928,3.28683966010918,197.031639533817,1554.31951547153,23.8334290719348
5,NAquitaine,0.788502010894309,2.05600415720553,434.584208046437,1025.17662145194,31.885714506041
6,NAquitaine,0.940897025657846,2.09106473509122,403.105609327506,1217.04892115363,10.5468440872431
7,NAquitaine,0.78706800086451,3.65825610963812,719.273224819477,1145.74588152761,20.2883487256438
8,NAquitaine,0.769916169431462,2.07719718086999,299.199988931217,1343.70879718586,23.5940086395157
9,NAquitaine,0.763066947240542,1.93162219086727,421.481755698729,1271.4817367982,30.2558153614808
10,NAquitaine,0.91373527716686,2.43788025929296,363.670167691951,878.842434713808,18.7919067043491
1,AURA,0.539614124852392,6.59123970452339,217.795943117141,2570.21963327284,71.9246521875176
2,AURA,0.555754918946022,5.71537617974904,411.098635441536,2649.0371252652,37.5792842616317
3,AURA,0.642164715214296,4.93395887148475,426.353313360594,2000.26502702866,26.9509189002754
4,AURA,0.545383682786991,6.35564837867815,362.072570578155,2575.19440066891,53.1162499686025
5,AURA,0.576924083068762,6.47451923291137,207.940923388169,2494.09752938953,40.3435454367889
6,AURA,0.541130315854917,6.07625313378238,434.212491315506,2463.61777029035,56.7834385207836
7,AURA,0.593765223269326,5.18871591444218,158.5982537582,2480.39714545772,31.6571026423332
8,AURA,0.543727499520932,5.52306964822962,165.917587490252,2911.51871123435,45.1334067261384
9,AURA,0.605185637017142,5.69758392947856,385.330702911982,2282.24504974818,31.0291166840088
10,AURA,0.539457891436842,5.46030086486376,580.178192520034,2623.38529150136,50.5552654322712
1,Centre,0.856656828520769,16.6042306687822,839.976797319762,150.64166672547,47.4786685955251
2,Centre,1.06089107104578,8.78462030999459,539.482904578877,111.788773656332,34.213945519643
3,Centre,0.951907857336914,14.4289527175466,362.811925832854,328.159646436624,32.6299981481299
4,Centre,0.952948011183237,14.3893175316563,591.058451537883,179.191886026307,51.4097281723565
5,Centre,0.992860623280789,10.0862808417715,390.350714551907,268.164360656985,30.1377002498601
6,Centre,0.967344336922062,12.303437497589,568.035291378168,185.673886426147,41.1696470060971
7,Centre,0.965495868482714,11.6464923200629,525.64420738693,159.66872224499,90.4482847037832
8,Centre,0.913104027674538,13.4133641387523,468.436187173605,279.908202744386,54.6282148144154
9,Centre,0.969038887633894,14.689093653815,419.838677916558,231.879806330476,61.8922457578802
10,Centre,0.97063072132745,14.9581406921371,404.190390336648,200.007392513145,66.7513798418365
1,BFC,1.03083381069565,1.31792165550551,319.177495383534,704.103581868181,6.08675026620552
2,BFC,0.719582463133446,1.78570987073109,434.846431444422,937.264433266001,12.3838166577949
3,BFC,0.74696948665594,2.1300903107012,420.307872338207,1040.25131772412,9.47301565245874
4,BFC,0.743636858054679,1.74321271872582,402.64548173799,874.728963226627,11.2073559151439
5,BFC,0.988147336646931,1.35061595052274,519.885523912128,613.200710028822,6.53017411556213
6,BFC,0.745109201543739,2.02712663996643,176.666529731415,1235.04379772965,9.50783743732257
7,BFC,0.725549946043569,1.92206244072714,440.331819458495,1049.78229891816,10.3543442228832
8,BFC,0.831602380747192,1.79417520881927,506.30965139767,784.359863317767,8.57805843309418
9,BFC,0.86272241910379,1.59465424404324,879.04345247518,603.839583943603,7.71716351071364
10,BFC,0.804198324297703,2.18422026339146,260.50293370262,1254.18937124293,7.45063729122633
1,Normandie,0.993030543941452,12.9521457571938,2555.22998769619,2170.62065800983,11.0992410255452
2,Normandie,1.1217666070685,9.03340267692128,3451.12823975663,1688.43891701368,7.7550459071178
3,Normandie,0.863100295081707,10.9188050681203,3198.17759725003,2416.36313680824,15.0609807683663
4,Normandie,1.16124465780663,7.48069967413681,4515.88495678002,249.92617182884,9.21452299967137
5,Normandie,0.878860509074409,9.6639005144818,3800.6704070238,1963.25379590151,12.2814372681903
6,Normandie,1.1199685851764,8.15984773975781,4702.05183592524,803.874949593074,7.60162702706686
7,Normandie,0.805240432208354,12.4667378543805,4117.64124732225,1249.64682981316,59.9814892959533
8,Normandie,1.04259965867467,7.84648319868531,4580.74526715261,669.653833082947,11.6871772563254
9,Normandie,0.951028234235302,12.4712577347943,4528.58397081558,780.8966418956,14.6291729424308
10,Normandie,0.8369220199981,11.4931934380374,4729.18504018025,1487.64087061418,17.8927841561933
1,HDF,0.56808541515944,13.5495949924417,3547.45153272346,596.786815693569,90.7359859950258
2,HDF,0.603974105346254,13.0987650695601,3393.54363630024,751.506204866762,47.726296416262
