rep,id,eta_b,eta_Dq,eta_E0,eta_A0
1,IDF,0.120838949334693,0.637472950041187,0.053378542940425,1.36631321769586
2,IDF,0.120561102427042,0.675046496348071,-0.879942140909621,1.50517890249695
3,IDF,0.142468770762614,0.526802825399787,-1.23827421413163,1.39434756759342
4,IDF,0.13432522021672,0.598746830242055,-0.81311237300358,1.42311230653725
5,IDF,0.154199246849893,0.544592461642794,0.0597333215021066,1.1207872989897
6,IDF,0.138747897639513,0.609766079907338,-1.39736192797253,1.42123990498055
7,IDF,0.122610367676474,0.641163307355155,-0.804722558595319,1.46602560431394
8,IDF,0.133140672438316,0.562422156465077,-0.641822133412535,1.38395496238694
9,IDF,0.149385346673451,0.540359887295437,-0.159694467129197,1.20814137718002
10,IDF,0.137426858255784,0.461989843257799,-0.531405213569267,1.36269941684096
1,NAquitaine,0.143676410754494,-0.231751901239701,-1.27270446971392,0.539340362462708
2,NAquitaine,0.170399193263108,0.0113135209236846,-0.759491855756231,0.351519334677952
3,NAquitaine,0.130679722581406,-0.0863478730075165,0.0883549208729132,0.208156033435504
4,NAquitaine,0.137073371529403,-0.202701148067844,-0.167914111220952,0.304873609516845
5,NAquitaine,0.196210092615376,-0.247821357462178,-0.883885756695742,0.326779543952248
6,NAquitaine,0.163668926873506,-0.181825659521981,-0.150231152781426,0.181324573365144
7,NAquitaine,0.106494516616985,0.272349525668842,-0.152172739074217,0.484093991538598
8,NAquitaine,0.181352492421618,-0.597197174214184,-1.08531746373268,0.350365913330311
9,NAquitaine,0.190316520287034,-0.312478588838435,-0.393939421968321,0.149498369211322
10,NAquitaine,0.227214759712447,-1.01625993824154,-0.263534696067503,-0.261205925868479
1,AURA,0.071807111870496,0.214794323217613,-0.661033270578362,0.767978580823539
2,AURA,0.0400875430463821,0.425710094641791,0.205589312502742,0.607537806775464
3,AURA,0.0246424777175837,0.562268961791505,-0.911217495690135,1.05329128075369
4,AURA,0.0377865513587882,0.395452427762046,-0.1080683662022,0.772127049680673
5,AURA,0.070563462623396,0.351528394983692,-0.576959090826059,0.682889160535654
6,AURA,0.0418291253568991,0.456793504250306,0.370331410624505,0.538202945875171
7,AURA,0.034647920420959,0.38620937153491,0.0861731701387648,0.761720278311848
8,AURA,0.0231015693067269,0.613737542905713,-0.502883006278009,0.989366248873325
9,AURA,0.0363612396000125,0.412373896564752,-0.258344467134733,0.8370347538345
10,AURA,0.0598250257514165,0.32265232167798,0.449493149048572,0.277411881347262
1,Centre,0.356533846918228,1.37231903811535,-0.484163164069172,-3.48268784102997
2,Centre,0.264349770866224,1.56862150307353,-0.120354271433966,-3.6868620043218
3,Centre,0.276298013267675,1.56686948655651,-0.433098209689481,-1.93554648961779
4,Centre,0.277977081375906,1.52705032079652,-0.483193922159262,-1.70039396688149
5,Centre,0.309124340716311,1.8160570259075,-0.396052873438557,-2.7662759105187
6,Centre,0.358736699456377,1.06134238126274,-0.489589237177883,-4.14946448032087
7,Centre,0.26698599644972,1.58840047596292,-0.289973008332837,-1.58821780966125
8,Centre,0.271853264918155,1.38625306434641,-0.439225755273104,-1.69713143279475
9,Centre,0.319713015399911,1.40373327900206,-0.445980781420398,-3.10009220988766
10,Centre,0.272218328372394,1.6894136879466,-0.496430093652426,-1.48399492104585
1,BFC,-0.070517116978585,0.0097762761061445,-0.312238319459575,0.385190838105466
2,BFC,-0.0276933166057164,-0.231793810294137,-0.182479129642353,0.177103497069127
3,BFC,-0.0203013178925464,-0.174262960937675,-0.143296925751871,0.0818901582170378
4,BFC,-0.0177945538431493,-0.202393835783087,-0.95950789303577,0.382757496590288
5,BFC,-0.0270456744663835,-0.00140925502027921,-0.280030854457364,0.090535805233122
6,BFC,-0.0773989366815333,0.162093199208396,-1.26864973280674,0.727380452128202
7,BFC,-0.0127167513478726,-0.255549211641682,-0.248681303810677,0.0946291327453135
8,BFC,-0.0206448868387586,0.00045495268734258,-0.568887878379538,0.313478842392277
9,BFC,0.00877341020907604,-0.471147734616657,-0.693559988669181,0.194322959321997
10,BFC,-0.058235611643053,-0.000184305172506366,-0.783278255716009,0.568862296041339
1,Normandie,0.0882922202381903,1.98166163845062,1.93450439415266,-0.198174127929202
2,Normandie,0.0992496528613415,1.52541051805733,2.00801817780526,-2.35100571035352
3,Normandie,0.159261719708821,1.60914208053845,1.81766606428894,-0.942879023892869
4,Normandie,0.100040659012848,1.64424651954199,1.98402652513036,-0.462074242536433
5,Normandie,0.151658307482023,1.43178947166209,1.79031875433082,-1.09779453562269
6,Normandie,0.0522346269635847,1.48691974455837,1.96512355376524,-0.340233984630197
7,Normandie,0.142745189016582,1.77772007427688,1.98764766743776,-3.44118430484234
8,Normandie,0.0270102770873041,1.75009542001761,2.16017339261974,-2.57001540891053
9,Normandie,0.069560226044921,1.73007410060715,2.0658383282834,-0.506732069007387
10,Normandie,0.132675217457692,1.5000774669051,1.75487471772777,0.168272501333803
1,HDF,-0.0114110139755553,1.28573891718614,1.50222625482163,-1.79368431460424
2,HDF,0.0440368383940195,1.09706481075013,1.26508026449023,-2.01983133298678
3,HDF,0.0239902470732355,1.11905535988733,1.31410442552185,-1.63778054806883
4,HDF,0.0218420505560008,1.01957430058158,1.36192831353117,-1.69126762542375
5,HDF,0.00841383851583526,1.18259182553314,1.25999731769533,-0.479278361367382
6,HDF,0.0336740137702154,1.13160255585753,1.2888621601014,-2.64244376932908
7,HDF,0.035344290563988,1.21646032374887,1.33629376293497,-2.50279519926115
8,HDF,0.0490621182419686,1.0229702131578,1.30042748070223,-2.92232228279793
9,HDF,-0.00254566387876925,1.20511852723388,1.30186144439118,-0.488882073295598
10,HDF,0.0361836262702272,1.06458314979924,1.33274193333106,-3.58765403457796
1,GrandEst,0.0166522157850691,0.94043824143341,-0.0335526928636589,1.44095243351019
2,GrandEst,0.0170462983697599,0.998183388436091,0.00106637612460615,1.46137101207893
3,GrandEst,-0.0113966790692518,0.947593602374274,-0.172814916463796,1.57642895999345
4,GrandEst,-0.00867918120672093,1.05109906357331,-0.361975462844401,1.61606632682219
5,GrandEst,-0.00613159623778572,0.986103481044322,-0.104214291632517,1.52587861496262
6,GrandEst,0.0123630062370153,0.924483988329251,0.226737248665836,1.40303776851509
7,GrandEst,-0.00488686139949105,1.01965120575457,-0.212967738887299,1.59544368379261
8,GrandEst,0.000765900974267989,0.952958986477208,-0.833899425336132,1.6101535889149
9,GrandEst,0.0102206252369216,0.896294979927676,-0.437059290690356,1.56189752560765
10,GrandEst,0.013772686876558,0.940980590866273,0.114180641438118,1.42714616247767
1,PaysLoire,-0.0956223745712367,-2.88764868876622,1.20866893129557,1.4248691402359
2,PaysLoire,-0.0207254141047277,-3.40422719934877,1.10149111578535,1.11173786564501
3,PaysLoire,0.0161516542006538,-3.50896312573457,1.16306423456628,0.683681234787381
4,PaysLoire,-0.0438216650332024,-2.03427179488746,0.953577755746335,1.35613884486089
5,PaysLoire,-0.0405855743900622,-1.24731501305841,1.34121499791704,0.96030090112048
6,PaysLoire,-0.115960279954433,-2.52769372924278,1.21629746662609,1.65097780662263
7,PaysLoire,0.0191496105350333,-2.77347414789677,1.08827565465175,0.856141365085889
8,PaysLoire,-0.0393936728519479,-3.3699936869539,1.49243355438443,0.603490021295398
