rep,id,b1,Dq,E0,A0,beta,eta_b1,eta_Dq,eta_E0,eta_A0,eta_beta
1,1,-0.192199839689057,0.891741386131756,7.26795632651687,7.71981421415346,-0.369074621009392,-0.000953821548848294,0.380342584881248,0.369948463473635,2.27476723426521,0
2,1,-0.176866429017876,0.916558714638195,7.7678733410942,7.43258640654407,-0.369074621009392,0.0143795891223333,0.405159913387687,0.869865478050963,1.98753942665582,0
3,1,-0.174384796766374,0.773387697667423,7.29480880091433,7.60726514565345,-0.369074621009392,0.016861221373835,0.261988896416915,0.396800937871101,2.1622181657652,0
4,1,-0.178196050080492,0.859811890139023,7.67856375658702,7.48120773790765,-0.369074621009392,0.0130499680597171,0.348413088888514,0.78055589354379,2.0361607580194,0
5,1,-0.179894543623248,0.874048367711741,7.307781917325,7.64496929282972,-0.369074621009392,0.0113514745169607,0.362649566461232,0.409774054281769,2.19992231294147,0
1,2,-0.053255353162848,0.187391503404504,5.86020832811072,5.75297048926148,-0.369074621009392,0.137990664977361,-0.324007297846004,-1.03779953493251,0.307923509373233,0
2,2,-0.0757998477695929,0.163215490098644,6.72562662445637,4.53082155262708,-0.369074621009392,0.115446170370616,-0.348183311151865,-0.172381238586858,-0.914225427261169,0
3,2,-0.0910395062420244,-0.110837713487031,6.14131724093026,5.70577998527625,-0.369074621009392,0.100206511898185,-0.622236514737539,-0.756690622112975,0.260733005387995,0
4,2,-0.0671267401329969,0.0107890603181668,6.47233924037111,5.18275014128796,-0.369074621009392,0.124119278007212,-0.500609740932342,-0.425668622672124,-0.262296838600292,0
5,2,-0.0316857374574384,-0.303158839008552,6.61900516248536,4.22306323009848,-0.369074621009392,0.159560280682771,-0.81455764025906,-0.279002700557873,-1.22198374978977,0
1,3,-0.233494041488054,0.541311070616893,6.27399977847434,6.51085095688538,-0.369074621009392,-0.0422480233478449,0.0299122693663844,-0.624008084568889,1.06580397699713,0
2,3,-0.243369759328199,0.682520527687844,7.17926047541353,5.53656730862158,-0.369074621009392,-0.0521237411879902,0.171121726437335,0.281252612370293,0.0915203287333242,0
3,3,-0.251086927618523,0.637925893371428,6.5580360139726,6.47979129765341,-0.369074621009392,-0.0598409094783139,0.12652709212092,-0.339971849070635,1.03474431776516,0
4,3,-0.228159941707427,0.607657901308734,6.35473298250729,6.38283492103154,-0.369074621009392,-0.0369139235672176,0.0962591000582258,-0.54327488053594,0.937787941143288,0
5,3,-0.239526997013051,0.660956374231023,6.77353095957149,6.21211768405525,-0.369074621009392,-0.048280978872842,0.149557572980515,-0.124476903471741,0.767070704167,0
1,4,0.115158210283038,1.3736638772478,5.8521665377681,3.25813507545131,-0.369074621009392,0.306404228423247,0.862265075997295,-1.04584132527514,-2.18691190443694,0
2,4,0.0981747959532299,1.77590515379277,6.0833654417467,3.26475771127085,-0.369074621009392,0.289420814093439,1.26450635254226,-0.814642421296536,-2.18028926861741,0
3,4,0.055067057260043,1.51759663026968,6.08343843557749,3.76989255978248,-0.369074621009392,0.246313075400252,1.00619782901917,-0.814569427465742,-1.67515442010577,0
4,4,0.116376152980448,1.19760274630877,5.74551985479888,3.61574906779164,-0.369074621009392,0.307622171120657,0.68620394505826,-1.15248800824435,-1.82929791209661,0
5,4,0.0815028982670792,1.38677975328619,6.15192156518618,1.90879135957886,-0.369074621009392,0.272748916407288,0.875380952035678,-0.74608629785705,-3.53625562030939,0
1,5,-0.281572111091508,0.223995465805124,6.36215475695841,5.62235873970286,-0.369074621009392,-0.0903260929512995,-0.287403335445384,-0.535853106084824,0.177311759814608,0
2,5,-0.274505426653344,-0.112191883516785,6.53444938093592,5.2433504000408,-0.369074621009392,-0.0832594085131349,-0.623590684767293,-0.363558482107309,-0.201696579847455,0
3,5,-0.273775264377816,-0.125608551156926,5.94826674842514,5.86781553011898,-0.369074621009392,-0.0825292462376072,-0.637007352407434,-0.949741114618091,0.422768550230729,0
4,5,-0.346210741493078,0.136099159068912,5.99054175832336,6.26094034258156,-0.369074621009392,-0.154964723352869,-0.375299642181597,-0.907466104719874,0.815893362693314,0
5,5,-0.319139323377925,-0.0106846945227135,6.18033122471763,6.00998703200958,-0.369074621009392,-0.127893305237716,-0.522083495773222,-0.717676638325599,0.564940052121334,0
1,6,-0.181081494077356,1.62552264527732,8.51003084486972,4.28977164552105,-0.369074621009392,0.0101645240628528,1.11412384402681,1.61202298182649,-1.1552753343672,0
2,6,-0.108039219097953,1.76140504158486,8.25292080609651,4.49868919310202,-0.369074621009392,0.0832067990422558,1.25000624033435,1.35491294305328,-0.946357786786231,0
3,6,-0.0830465899412979,1.61943011763005,8.34938124929718,1.48085859966797,-0.369074621009392,0.108199428198911,1.10803131637954,1.45137338625395,-3.96418838022028,0
4,6,-0.164487509294169,1.76310083550222,8.54525919997037,3.92249632927627,-0.369074621009392,0.0267585088460404,1.25170203425171,1.64725133692714,-1.52255065061198,0
5,6,-0.092965200068987,1.61891067651641,8.16217712885076,5.63093205442049,-0.369074621009392,0.098280818071222,1.1075118752659,1.26416926580753,0.18588507453224,0
1,7,-0.282331133017034,1.36052229646592,8.19594386043958,5.64337074322741,-0.369074621009392,-0.0910851148768252,0.84912349521541,1.29793599739635,0.198323763339158,0
2,7,-0.249612683171256,1.28213208831494,8.21531247087901,4.01053215836467,-0.369074621009392,-0.0583666650310475,0.770733287064428,1.31730460783577,-1.43451482152359,0
