rep,id,eta_b1,eta_b2,eta_Dq,eta_E0,eta_A0
1,IDF,0.38654408770307,-0.275121873953914,0.757611161329029,-0.637374156851736,0.312859642473191
2,IDF,0.37292056124384,-0.201964179362174,0.709335276222119,-1.17980738058105,0.522562520346429
3,IDF,0.357712897483137,-0.234260544823829,0.693015319316381,-1.22176731697889,0.626827116807314
4,IDF,0.389520836553259,-0.220479229433402,0.692928373982445,-1.36597748487377,0.463620379157677
5,IDF,0.386775358199708,-0.200877365954361,0.704026219722082,-0.731011672769873,0.28182180149836
6,IDF,0.34359848176982,-0.204964615669329,0.790306833306188,-1.25201792832149,0.714324808300906
7,IDF,0.358619258785531,-0.257829049184078,0.743551979064875,-1.02560153890505,0.614705484349057
8,IDF,0.387232496326516,-0.214441729339855,0.671609985754204,-1.50165264452917,0.513650773832835
9,IDF,0.387036769396103,-0.235520487485937,0.732640375253504,-0.547452659423784,0.224588560098247
10,IDF,0.346840328246765,-0.21829451426766,0.712799475071798,-1.71067694282094,0.779647959000283
1,NAquitaine,0.187059134214651,0.194957894783581,-0.384134679584164,0.024262990145727,-0.296464329409401
2,NAquitaine,0.116394369940809,0.0967232073180835,-0.293991269563203,-0.442235649534509,0.707104181594364
3,NAquitaine,0.27903925891861,0.149460058555789,-0.167342824245305,-0.550011769791853,-0.092757650589455
4,NAquitaine,0.193550978546276,0.218444278238126,-0.452926878840858,-0.672613587613168,0.343579139828747
5,NAquitaine,0.144926242500799,0.181185151252431,-0.509239517934457,0.217168197690767,-0.3529023321575
6,NAquitaine,0.206466607273866,0.177267095366486,-0.452553014263887,-0.517406344971028,0.225572851787028
7,NAquitaine,0.251899019243499,0.088016179215819,-0.382629739934083,0.10193010804487,-1.06536087161117
8,NAquitaine,0.216002249505651,0.20219549794353,-0.161315865550212,-0.419589702376768,0.0888378895112213
9,NAquitaine,0.26186987831064,0.187349945088753,-0.0693241731380212,-0.276582209988482,-0.237836522217274
10,NAquitaine,0.275828090150625,0.0863665324425782,-0.254892484836322,0.0249199696308388,-0.872339890779169
1,AURA,0.144027855066647,-0.12573413657379,0.462897728588479,0.139015808471001,-0.297506620299168
2,AURA,0.109258281437939,-0.14282911819579,0.431461608878356,-0.4311769031494,0.637496301024344
3,AURA,0.154028069406485,-0.0938575682418818,0.510279974942181,0.205784673761715,-0.860707377559055
4,AURA,0.152415045518846,-0.182145746187573,0.386434566769022,-0.760807960694874,0.539827720524411
5,AURA,0.167522129068059,-0.189411884837435,0.452193993250658,-0.39031342783168,0.199690628501485
6,AURA,0.0936160775544114,-0.138331899077287,0.645821848116925,-0.362433444557321,0.709992069685683
7,AURA,0.0935035792927998,-0.148800960693467,0.636231172180153,0.640037317770694,-1.15750454689392
8,AURA,0.0682104145398703,-0.11606692447001,0.557450218685198,0.122091988144359,0.535059275630078
9,AURA,0.117565016386539,-0.0970359203930486,0.539905987400638,0.0417973939802006,0.0759746607234232
10,AURA,0.101978759122018,-0.105797735623119,0.575455820734725,-0.190036827329846,0.474324403350178
1,Centre,0.277629560429365,0.420725025830179,1.35366463421862,-0.58667017674802,-1.84403119131663
2,Centre,0.208049806103462,0.573001987834608,1.38352308343458,-0.450792497880362,-2.24848232702149
3,Centre,0.0624323703243694,0.485122836121185,1.22206852547879,-0.226792864917147,-0.955360017914722
4,Centre,0.154601516782995,0.476623339988491,1.42940243155669,-1.18379804739252,-0.0284302875140712
5,Centre,0.235266158428489,0.506633274723606,1.1899878932812,-0.653794202926692,-1.3928101035488
6,Centre,0.216652680310064,0.35791781911284,1.53693251856292,-0.363547960843358,-1.14698764739385
7,Centre,0.339054151449743,0.407023966707826,1.44535893345173,-0.635164494698812,-2.32769106484025
8,Centre,0.184551622532614,0.43957043169861,1.55835022604867,-0.50044464914698,-1.00484943480523
9,Centre,0.211055873765831,0.339941766422728,1.75701077888049,-0.066061006919115,-2.47677170580988
10,Centre,0.0969196826419284,0.523286650718614,1.38112909771648,-0.198997334950872,-1.38871501055634
1,BFC,-0.00960930743524424,-0.0529986229899408,0.00380219368710117,-0.25964739032307,0.0641692227949219
2,BFC,-0.00565775753915723,-0.0552658112210256,-0.0457492442831549,-0.285022983639317,0.0976320671567594
3,BFC,-0.0384106809415138,0.0272589722916358,-0.33198801841446,-1.12149836363307,0.719366040431301
4,BFC,-0.0767146496127041,-0.0353500944837009,-0.355939981316105,-0.352705746692129,0.550576134845928
5,BFC,-0.0533001312443339,-0.0916985449127316,-0.175746269619617,-0.508557912374797,0.626754421846917
