rep,id,b1,Dq,E0,betat1,eta_b1,eta_Dq,eta_E0,eta_betat1
1,1,0.827367664125972,0.56154604574545,7.69796194402177,-0.270276882040107,0.111990070564243,0.443448887948029,0.811034190527976,0
2,1,0.822985258160413,0.534338176201601,7.7356128686114,-0.270276882040107,0.107607664598685,0.41624101840418,0.8486851151176,0
3,1,0.802191005170113,0.572494751294979,7.87525686650001,-0.270276882040107,0.086813411608384,0.454397593497558,0.988329113006207,0
4,1,0.801974919547,0.546269911344206,7.86606813115919,-0.270276882040107,0.0865973259852707,0.428172753546786,0.979140377665391,0
5,1,0.79924830593351,0.548195035174563,7.87985982374254,-0.270276882040107,0.0838707123717808,0.430097877377142,0.992932070248738,0
1,2,0.906109031563722,-0.467010757187502,5.87116678942555,-0.270276882040107,0.190731438001993,-0.585107914984923,-1.01576096406825,0
2,2,0.917932381889233,-0.685235098243301,5.90159661590227,-0.270276882040107,0.202554788327504,-0.803332256040722,-0.985331137591526,0
3,2,0.898542024413122,-1.49266869003007,5.98040495571487,-0.270276882040107,0.183164430851393,-1.61076584782749,-0.906522797778925,0
4,2,0.908524476117379,-0.937998340657798,5.84710121477015,-0.270276882040107,0.19314688255565,-1.05609549845522,-1.03982653872365,0
5,2,0.914937829678285,-0.533155103101856,5.91376891730189,-0.270276882040107,0.199560236116556,-0.651252260899277,-0.973158836191907,0
1,3,0.681594198704652,-0.313061754210038,6.39155209260709,-0.270276882040107,-0.0337833948570772,-0.431158912007459,-0.495375660886712,0
2,3,0.679167759321725,-0.227296932774628,6.60292574501672,-0.270276882040107,-0.0362098342400039,-0.345394090572049,-0.28400200847708,0
3,3,0.661390957728872,-0.290767433654389,6.83439548073392,-0.270276882040107,-0.0539866358328571,-0.40886459145181,-0.0525322727598789,0
4,3,0.676022807744684,-0.190566622480391,6.59658181648009,-0.270276882040107,-0.0393547858170451,-0.308663780277812,-0.290345937013708,0
5,3,0.67068958415847,-0.114366783304087,6.65184817057956,-0.270276882040107,-0.0446880094032589,-0.232463941101508,-0.235079582914236,0
1,4,0.829803527320482,1.39682449652103,6.50611947268189,-0.270276882040107,0.114425933758754,1.27872733872361,-0.38080828081191,0
2,4,0.884617586390214,1.58092688294392,5.99777783954699,-0.270276882040107,0.169239992828485,1.4628297251465,-0.889149913946805,0
3,4,0.926074665635685,1.65862976550714,5.6781581042409,-0.270276882040107,0.210697072073956,1.54053260770971,-1.2087696492529,0
